fname time Tem kT_1 A Rs Io Rsh dev  
01FR 01fr.dat 292.1 39.69  2.114E+001 2.278E+003 3.882E-010 1.000E+015 4.908E-003 
02FR 02fr.dat 292.1 39.69  2.152E+001 2.624E+003 3.386E-010 1.000E+015 3.532E-003 
03FR 03fr.dat 555 20.89  2.133E+001 2.373E+003 3.566E-010 1.000E+015 5.310E-003 
04FR 04fr.dat 294.1 39.42  2.143E+001 2.528E+003 4.248E-010 1.000E+015 3.688E-003 
05FR 05fr.dat 293.8 39.46  2.150E+001 2.551E+003 4.098E-010 1.000E+015 3.743E-003 
06FR 06fr.dat 295.1 39.29  2.078E+001 2.045E+003 6.081E-010 1.000E+015 4.030E-003 
07FR 07fr.dat 295 39.3  2.109E+001 2.115E+003 5.226E-010 1.000E+015 5.082E-003 
08FR 08fr.dat 295 39.3  2.110E+001 2.204E+003 5.184E-010 1.000E+015 4.437E-003 
09FR 09fr.dat 297.6 38.96  2.239E+001 2.678E+003 4.120E-010 1.000E+015 1.060E-002 
10FR 10fr.dat 297.5 38.97  2.082E+001 1.821E+003 6.838E-010 1.000E+015 5.678E-003 
11FR 11fr.dat 297.5 38.97  2.091E+001 1.936E+003 6.632E-010 1.000E+015 5.274E-003 
12FR 12fr.dat 300.1 38.63  2.108E+001 2.048E+003 7.759E-010 1.000E+015 6.606E-003 
13FR 13fr.dat 300 38.65  2.098E+001 1.885E+003 7.806E-010 1.000E+015 3.944E-003 
14FR 14fr.dat 302.6 38.32  2.093E+001 1.788E+003 9.801E-010 1.000E+015 4.122E-003 
15FR 15fr.dat 302.5 38.33  2.132E+001 1.932E+003 8.299E-010 1.000E+015 5.344E-003 
16FR 16fr.dat 302.5 38.33  2.112E+001 1.831E+003 8.770E-010 1.000E+015 5.900E-003 
17FR 17fr.dat 305.1 38  2.098E+001 1.764E+003 1.134E-009 1.000E+015 5.697E-003 
18FR 18fr.dat 305 38.01  2.135E+001 1.781E+003 9.817E-010 1.000E+015 5.206E-003 
19FR 19fr.dat 305 38.01  2.120E+001 1.768E+003 1.047E-009 1.000E+015 5.418E-003 
20FR 20fr.dat 307.5 37.7  2.095E+001 1.525E+003 1.324E-009 1.000E+015 6.029E-003 
21FR 21fr.dat 307.5 37.7  2.152E+001 1.805E+003 1.113E-009 1.000E+015 5.154E-003 
22FR 22fr.dat 307.5 37.7  2.129E+001 1.635E+003 1.167E-009 1.000E+015 5.291E-003 
23FR 23fr.dat 310 37.4  2.176E+001 1.687E+003 1.220E-009 1.000E+015 5.504E-003 
24FR 24fr.dat 310 37.4  2.154E+001 1.650E+003 1.328E-009 1.000E+015 5.861E-003 
25FR 25fr.dat 310 37.4  2.125E+001 1.482E+003 1.462E-009 1.000E+015 6.322E-003 
26FR 26fr.dat 312.6 37.09  2.113E+001 1.395E+003 1.799E-009 1.000E+015 6.306E-003 
27FR 27fr.dat 312.5 37.1  2.161E+001 1.529E+003 1.545E-009 1.000E+015 4.813E-003 
28FR 28fr.dat 312.5 37.1  2.154E+001 1.486E+003 1.586E-009 1.000E+015 3.948E-003 
29FR 29fr.dat 315 36.81  2.132E+001 1.383E+003 1.906E-009 1.000E+015 9.053E-003 
30FR 30fr.dat 315 36.81  2.154E+001 1.442E+003 1.813E-009 1.000E+015 5.115E-003 
31FR 31fr.dat 315 36.81  2.120E+001 1.390E+003 2.045E-009 1.000E+015 5.091E-003 
32FR 32fr.dat 317.6 36.51  2.138E+001 1.324E+003 2.249E-009 1.000E+015 6.246E-003 
33FR 33fr.dat 317.5 36.52  2.156E+001 1.329E+003 2.243E-009 1.000E+015 4.827E-003 
34FR 34fr.dat 317.5 36.52  2.160E+001 1.273E+003 2.294E-009 1.000E+015 4.745E-003 
35FR 35fr.dat 320.1 36.22  2.163E+001 1.217E+003 2.690E-009 1.000E+015 4.113E-003 
36FR 36fr.dat 320 36.23  2.162E+001 1.197E+003 2.766E-009 1.000E+015 5.065E-003 
37FR 37fr.dat 320 36.23  2.169E+001 1.200E+003 2.694E-009 1.000E+015 4.041E-003 
38FR 38fr.dat 322.5 35.95  2.179E+001 1.134E+003 3.154E-009 1.000E+015 5.104E-003 
39FR 39fr.dat 322.5 35.95  2.230E+001 1.220E+003 2.962E-009 1.000E+015 1.060E-002 
40FR 40fr.dat 322.4 35.96  2.200E+001 1.122E+003 3.132E-009 1.000E+015 3.792E-003 
41FR 41fr.dat 325.1 35.66  2.200E+001 1.112E+003 3.461E-009 1.000E+015 3.355E-003 
42FR 42fr.dat 325 35.67  2.209E+001 1.057E+003 3.439E-009 1.000E+015 4.155E-003 
43FR 43fr.dat 325 35.67  2.195E+001 1.077E+003 3.569E-009 1.000E+015 4.265E-003 
44FR 44fr.dat 327.6 35.39  2.172E+001 9.661E+002 4.311E-009 1.000E+015 3.788E-003 
45FR 45fr.dat 327.6 35.39  2.174E+001 9.236E+002 4.368E-009 1.000E+015 4.193E-003 
46FR 46fr.dat 327.5 35.4  2.185E+001 1.008E+003 4.333E-009 1.000E+015 4.351E-003 
47FR 47fr.dat 330.1 35.12  2.216E+001 9.529E+002 4.512E-009 1.000E+015 4.620E-003 
48FR 48fr.dat 330.1 35.12  2.205E+001 9.029E+002 4.932E-009 1.000E+015 3.232E-003 
49FR 49fr.dat 329.9 35.14  2.216E+001 9.776E+002 4.707E-009 1.000E+015 2.896E-003 
50FR 50fr.dat 332.6 34.86  2.237E+001 9.186E+002 4.986E-009 1.000E+015 3.588E-003 
51FR 51fr.dat 332.5 34.87  2.202E+001 9.607E+002 5.439E-009 1.000E+015 3.662E-003 
52FR 52fr.dat 332.6 34.86  2.196E+001 7.941E+002 5.640E-009 1.000E+015 4.561E-003 
53FR 53fr.dat 332.5 34.87  2.256E+001 8.416E+002 5.215E-009 1.000E+015 3.904E-003 
54FR 54fr.dat 335 34.61  2.229E+001 8.948E+002 6.032E-009 1.000E+015 3.996E-003 
55FR 55fr.dat 335.1 34.6  2.234E+001 8.742E+002 6.054E-009 1.000E+015 4.058E-003 
56FR 56fr.dat 335 34.61  2.241E+001 9.068E+002 6.200E-009 1.000E+015 3.919E-003 
57FR 57fr.dat 337.5 34.35  2.221E+001 8.788E+002 6.838E-009 1.000E+015 4.199E-003 
58FR 58fr.dat 337.5 34.35  2.251E+001 7.851E+002 6.858E-009 1.000E+015 3.764E-003 
59FR 59fr.dat 337.5 34.35  2.239E+001 8.530E+002 7.298E-009 1.000E+015 4.147E-003 
60FR 60fr.dat 340.1 34.09  2.217E+001 6.838E+002 8.003E-009 1.000E+015 2.713E-003 
61FR 61fr.dat 340 34.1  2.261E+001 7.880E+002 8.308E-009 1.000E+015 3.559E-003 
62FR 62fr.dat 339.9 34.11  2.239E+001 7.888E+002 8.578E-009 1.000E+015 4.194E-003 
