Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.186566795E+00 1.280926310E+0 -9.435951500E-02 1.186566795E+00 1.280926310E+0 -9.435951500E-02
1.468000E+10 1.186578283E+00 1.271202131E+0 -8.462384800E-02 1.186578283E+00 1.271202131E+0 -8.462384800E-02
2.154000E+10 1.186595008E+00 1.261811363E+0 -7.521635500E-02 1.186595008E+00 1.261811363E+0 -7.521635500E-02
3.162000E+10 1.186619493E+00 1.252721603E+0 -6.610211000E-02 1.186619493E+00 1.252721603E+0 -6.610211000E-02
4.642000E+10 1.186654981E+00 1.243933279E+0 -5.727829800E-02 1.186654981E+00 1.243933279E+0 -5.727829800E-02
6.813000E+10 1.186706106E+00 1.235444184E+0 -4.873807800E-02 1.186706106E+00 1.235444184E+0 -4.873807800E-02
1.000000E+11 1.186779445E+00 1.227238063E+0 -4.045861800E-02 1.186779445E+00 1.227238063E+0 -4.045861800E-02
1.468000E+11 1.186883405E+00 1.219304604E+0 -3.242119900E-02 1.186883405E+00 1.219304604E+0 -3.242119900E-02
2.154000E+11 1.187028663E+00 1.211647802E+0 -2.461913900E-02 1.187028663E+00 1.211647802E+0 -2.461913900E-02
3.162000E+11 1.187227514E+00 1.204240772E+0 -1.701325800E-02 1.187227514E+00 1.204240772E+0 -1.701325800E-02
4.642000E+11 1.187492095E+00 1.197083434E+0 -9.591339000E-03 1.187492095E+00 1.197083434E+0 -9.591339000E-03
6.813000E+11 1.187831541E+00 1.190173577E+0 -2.342036000E-03 1.187831541E+00 1.190173577E+0 -2.342036000E-03
1.000000E+12 1.193026985E+00 1.183497586E+0 9.529399000E-03 1.193026985E+00 1.183497586E+0 9.529399000E-03
1.468000E+12 1.198376321E+00 1.177046715E+0 2.132960600E-02 1.198376321E+00 1.177046715E+0 2.132960600E-02
2.154000E+12 1.198940871E+00 1.170823874E+0 2.811699700E-02 1.198940871E+00 1.170823874E+0 2.811699700E-02
3.162000E+12 1.199558802E+00 1.164806898E+0 3.475190400E-02 1.199558802E+00 1.164806898E+0 3.475190400E-02
4.642000E+12 1.200294656E+00 1.158995437E+0 4.129921900E-02 1.200294656E+00 1.158995437E+0 4.129921900E-02
6.813000E+12 1.200622376E+00 1.153387417E+0 4.723495900E-02 1.200622376E+00 1.153387417E+0 4.723495900E-02
1.000000E+13 1.204991276E+00 1.147971532E+0 5.701974400E-02 1.204991276E+00 1.147971532E+0 5.701974400E-02
