fname time Tem kT_1 Io Et Ud Iph dev 
01RV 01rv.dat 295.9 39.18 3.299E-003 1.699E-003 8.564E-001 0.000E+000 1.632E-002 
02RV 02rv.dat 295.9 39.18 5.338E-003 1.794E-003 1.041E+000 0.000E+000 1.790E-002 
03RV 03rv.dat 298 38.91 1.698E-003 1.576E-003 4.811E-001 0.000E+000 1.059E-002 
04RV 04rv.dat 298 38.91 7.816E-003 1.875E-003 1.076E+000 0.000E+000 1.451E-002 
05RV 05rv.dat 300.1 38.63 1.968E-003 1.593E-003 4.582E-001 0.000E+000 7.760E-003 
06RV 06rv.dat 300 38.65 2.209E-003 1.617E-003 5.304E-001 0.000E+000 1.219E-002 
07RV 07rv.dat 300 38.65 1.222E-003 1.490E-003 2.294E-001 0.000E+000 1.069E-002 
08RV 08rv.dat 302.1 38.38 7.471E-003 1.853E-003 1.037E+000 0.000E+000 1.755E-002 
09RV 09rv.dat 302 38.39 1.959E-003 1.587E-003 4.920E-001 0.000E+000 9.863E-003 
10RV 10rv.dat 302 38.39 2.208E-003 1.607E-003 5.148E-001 0.000E+000 1.325E-002 
11RV 11rv.dat 302 38.39 1.951E-003 1.569E-003 3.826E-001 0.000E+000 9.661E-003 
12RV 12rv.dat 305.1 38 9.744E-004 1.435E-003 2.152E-001 0.000E+000 1.320E-002 
13RV 13rv.dat 305 38.01 4.649E-003 1.756E-003 8.839E-001 0.000E+000 1.587E-002 
14RV 14rv.dat 305 38.01 6.750E-003 1.825E-003 1.004E+000 0.000E+000 1.291E-002 
15RV 15rv.dat 305 38.01 6.286E-003 1.820E-003 1.047E+000 0.000E+000 1.298E-002 
16RV 16rv.dat 307 37.77 2.180E-003 1.589E-003 6.930E-001 0.000E+000 1.507E-002 
17RV 17rv.dat 307 37.77 5.926E-003 1.788E-003 1.101E+000 0.000E+000 1.489E-002 
18RV 18rv.dat 307 37.77 5.263E-004 1.279E-003 5.438E-016 0.000E+000 1.212E-002 
19RV 19rv.dat 307 37.77 4.892E-003 1.751E-003 1.008E+000 0.000E+000 1.826E-002 
20RV 20rv.dat 310.1 37.39 5.093E-003 1.744E-003 9.936E-001 0.000E+000 1.604E-002 
21RV 21rv.dat 310 37.4 7.764E-003 1.821E-003 1.100E+000 0.000E+000 1.418E-002 
22RV 22rv.dat 310 37.4 6.218E-003 1.792E-003 1.125E+000 0.000E+000 1.512E-002 
23RV 23rv.dat 310 37.4 7.456E-003 1.825E-003 1.177E+000 0.000E+000 1.592E-002 
24RV 24rv.dat 312.1 37.15 4.195E-003 1.696E-003 9.040E-001 0.000E+000 1.417E-002 
25RV 25rv.dat 312.1 37.15 6.747E-003 1.811E-003 1.007E+000 0.000E+000 1.189E-002 
26RV 26rv.dat 312 37.16 4.450E-003 1.708E-003 9.170E-001 0.000E+000 1.618E-002 
27RV 27rv.dat 312.1 37.15 4.384E-003 1.713E-003 8.023E-001 0.000E+000 1.834E-002 
28RV 28rv.dat 315.1 36.8 4.560E-003 1.701E-003 8.205E-001 0.000E+000 1.192E-002 
29RV 29rv.dat 315 36.81 1.350E-003 1.465E-003 3.787E-001 0.000E+000 7.114E-003 
30RV 30rv.dat 315 36.81 5.982E-003 1.765E-003 9.351E-001 0.000E+000 8.965E-003 
31RV 31rv.dat 317.1 36.56 1.005E-002 1.850E-003 1.098E+000 0.000E+000 1.486E-002 
32RV 32rv.dat 317 36.57 1.309E-002 1.909E-003 1.241E+000 0.000E+000 1.056E-002 
33RV 33rv.dat 317 36.57 6.836E-003 1.780E-003 9.820E-001 0.000E+000 1.326E-002 
34RV 34rv.dat 320 36.23 1.413E-002 1.926E-003 1.314E+000 0.000E+000 1.245E-002 
35RV 35rv.dat 320 36.23 1.458E-002 1.931E-003 1.335E+000 0.000E+000 1.139E-002 
36RV 36rv.dat 320 36.23 1.941E-002 1.987E-003 1.377E+000 0.000E+000 1.249E-002 
37RV 37rv.dat 322 36.01 5.719E-003 1.739E-003 9.566E-001 0.000E+000 1.478E-002 
38RV 38rv.dat 322.1 36 9.553E-003 1.835E-003 1.128E+000 0.000E+000 1.514E-002 
39RV 39rv.dat 322 36.01 2.496E-002 2.034E-003 1.580E+000 0.000E+000 9.603E-003 
40RV 40rv.dat 325 35.67 1.601E-002 1.933E-003 1.340E+000 0.000E+000 8.291E-003 
41RV 41rv.dat 325.1 35.66 1.976E-002 1.972E-003 1.443E+000 0.000E+000 1.298E-002 
42RV 42rv.dat 325.1 35.66 1.279E-002 1.884E-003 1.248E+000 0.000E+000 9.970E-003 
43RV 43rv.dat 327 35.46 6.366E-003 1.749E-003 9.576E-001 0.000E+000 9.336E-003 
44RV 44rv.dat 327 35.46 1.114E-002 1.855E-003 1.181E+000 0.000E+000 1.154E-002 
45RV 45rv.dat 330.1 35.12 1.393E-002 1.893E-003 1.307E+000 0.000E+000 1.368E-002 
46RV 46rv.dat 330 35.13 6.217E-002 2.185E-003 1.884E+000 0.000E+000 1.406E-002 
47RV 47rv.dat 330 35.13 2.477E-002 2.007E-003 1.557E+000 0.000E+000 1.030E-002 
