N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 9.722557000E-03 1.047617900E-02 1.100338000E-02 1.138577200E-02
1.600000000E+01 1.882654500E-02 1.724112800E-02 1.527500900E-02 1.338681500E-02
1.700000000E+01 9.192066200E-02 9.567924400E-02 9.780667800E-02 1.008731530E-01
1.549996187E+01 -1.227474970E-01 -1.427771020E-01 -1.593624830E-01 -1.743241140E-01
1.649996187E+01 5.900125000E-02 6.192128600E-02 6.386308100E-02 6.560812000E-02
1.674996808E+01 7.736334000E-02 7.927896800E-02 8.256112100E-02 8.500968400E-02
1.624993176E+01 4.069042800E-02 4.167173000E-02 4.226425400E-02 4.246543900E-02
1.574996808E+01 -2.065066300E-02 -2.811477800E-02 -3.517573500E-02 -4.104834800E-02
1.524993176E+01 -1.523063360E-01 -1.431453760E-01 -1.339945270E-01 -1.250716330E-01
