x N
1.4884983E+0 1.6423594E+21
1.4785378E+0 1.5048830E+21
1.4666702E+0 1.3594807E+21
1.4541903E+0 1.2568351E+21
1.4400990E+0 1.2019084E+21
1.4261498E+0 1.1840968E+21
1.4113483E+0 1.1483493E+21
1.3961985E+0 1.1664596E+21
1.3815511E+0 1.2240383E+21
1.3675030E+0 1.2502534E+21
1.3531595E+0 1.2836068E+21
1.3395667E+0 1.2778138E+21
1.3247914E+0 1.2542575E+21
1.3103601E+0 1.2957514E+21
1.2962081E+0 1.3083287E+21
1.2817360E+0 1.2867195E+21
1.2667726E+0 1.2819360E+21
1.2518479E+0 1.3165956E+21
1.2373287E+0 1.3217090E+21
1.2221611E+0 1.3048458E+21
1.2068917E+0 1.3284622E+21
1.1918916E+0 1.3038771E+21
1.1756436E+0 1.2960148E+21
1.1600449E+0 1.3178745E+21
1.1438875E+0 1.3241880E+21
1.1280054E+0 1.3310053E+21
1.1115513E+0 1.3183742E+21
1.0948813E+0 1.3165589E+21
1.0778746E+0 1.3327125E+21
1.0610966E+0 1.3350666E+21
1.0436010E+0 1.3111373E+21
1.0256162E+0 1.2844689E+21
1.0067414E+0 1.2832465E+21
9.8804946E-1 1.2834732E+21
9.6844974E-1 1.2715069E+21
9.4862877E-1 1.2410517E+21
9.2718725E-1 1.2354340E+21
9.0626827E-1 1.2388870E+21
8.8392355E-1 1.2148473E+21
8.6105534E-1 1.2229823E+21
8.3782247E-1 1.2297174E+21
