N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 5.917618300E-02 5.839309600E-02 5.845054700E-02 5.833828400E-02
1.016672606E+01 5.908813600E-02 5.825910800E-02 5.825824900E-02 5.807548000E-02
1.033324570E+01 5.896160100E-02 5.806843400E-02 5.798759300E-02 5.771016400E-02
1.049996187E+01 5.878146400E-02 5.780074300E-02 5.761363000E-02 5.721391200E-02
1.066670514E+01 5.852844300E-02 5.743213700E-02 5.707740600E-02 5.656103100E-02
1.083333839E+01 5.817970900E-02 5.693793000E-02 5.642042100E-02 5.573810000E-02
1.100000000E+01 5.771159600E-02 5.629904100E-02 5.560654700E-02 5.475765000E-02
1.116672606E+01 5.710536800E-02 5.551223000E-02 5.465548900E-02 5.367098600E-02
1.133324570E+01 5.635694400E-02 5.460263700E-02 5.362969700E-02 5.257260900E-02
1.149996187E+01 5.548890800E-02 5.363348600E-02 5.262543100E-02 5.158898000E-02
1.166670514E+01 5.456047100E-02 5.270580200E-02 5.177071400E-02 5.085155700E-02
1.183333839E+01 5.366832600E-02 5.194308200E-02 5.118858600E-02 5.046245100E-02
1.200000000E+01 5.293296600E-02 5.146199400E-02 5.096470600E-02 5.046492500E-02
1.216672606E+01 5.246945600E-02 5.133692800E-02 5.111959600E-02 5.083062400E-02
1.233324570E+01 5.234986500E-02 5.157236600E-02 5.160092700E-02 5.147105300E-02
1.249996187E+01 5.257998400E-02 5.209886400E-02 5.230271500E-02 5.226934600E-02
1.266670514E+01 5.306893600E-02 5.279864600E-02 5.309947400E-02 5.311516000E-02
1.283333839E+01 5.370490200E-02 5.354698900E-02 5.389237200E-02 5.392138300E-02
1.300000000E+01 5.434876300E-02 5.424754700E-02 5.459368300E-02 5.462197300E-02
