N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 5.623e+16 305 1.130280061E+00 1.143450595E+00
1.468000E+10 5.623e+16 305 1.134463087E+00 1.143739758E+00
2.154000E+10 5.623e+16 305 1.137667038E+00 1.144148876E+00
3.162000E+10 5.623e+16 305 1.140214125E+00 1.144720549E+00
4.642000E+10 5.623e+16 305 1.142376314E+00 1.145501136E+00
6.813000E+10 5.623e+16 305 1.144373413E+00 1.146538447E+00
1.000000E+11 5.623e+16 305 1.146364474E+00 1.147865149E+00
1.468000E+11 5.623e+16 305 1.148443372E+00 1.149484765E+00
2.154000E+11 5.623e+16 305 1.151001413E+00 1.151724494E+00
3.162000E+11 5.623e+16 305 1.154137470E+00 1.154640960E+00
4.642000E+11 5.623e+16 305 1.156087463E+00 1.156437455E+00
6.813000E+11 5.623e+16 305 1.157922751E+00 1.158165793E+00
1.000000E+12 5.623e+16 305 1.159888684E+00 1.160057143E+00
1.468000E+12 5.623e+16 305 1.161546515E+00 1.161706698E+00
2.154000E+12 5.623e+16 305 1.163482371E+00 1.164057235E+00
3.162000E+12 5.623e+16 305 1.172995125E+00 1.173574072E+00
4.642000E+12 5.623e+16 305 1.175584584E+00 1.175703462E+00
6.813000E+12 5.623e+16 305 1.176383674E+00 1.176377114E+00
1.000000E+13 5.623e+16 305 1.171131958E+00 1.171089756E+00
