1.dat - 29.3.2024  :53866000
T=278.15

cprpf1Mn1.dat - 24.4.2024  :30192000
T=290.76 f=1000000 Vm=0.01 Im=10

cprpf1Mn2.dat - 24.4.2024  :30284000
T=290.77 f=1000000 Vm=0.01 Im=10

cprp100fn1.dat - 24.4.2024  :30378000
T=290.77 f=100000 Vm=0.01 Im=10

cprp100fn2.dat - 24.4.2024  :30472000
T=290.77 f=100000 Vm=0.01 Im=10

cprp10fn1.dat - 24.4.2024  :30566000
T=290.77 f=10000 Vm=0.01 Im=10

cprp10fn2.dat - 24.4.2024  :30660000
T=290.78 f=10000 Vm=0.01 Im=10

cprpf1Mn3.dat - 24.4.2024  :31230000
T=290.93 f=1000000 Vm=0.01 Im=10

cprpf1Mn4.dat - 24.4.2024  :31324000
T=290.94 f=1000000 Vm=0.01 Im=10

cprp100fn3.dat - 24.4.2024  :31418000
T=290.93 f=100000 Vm=0.01 Im=10

cprp100fn4.dat - 24.4.2024  :31510000
T=290.92 f=100000 Vm=0.01 Im=10

cprp10fn3.dat - 24.4.2024  :31606000
T=290.91 f=10000 Vm=0.01 Im=10

cprp10fn4.dat - 24.4.2024  :31700000
T=290.92 f=10000 Vm=0.01 Im=10

cprp0Vn1.dat - 24.4.2024  :32018000
T=290.99 f=1000000 Vm=0.01 Im=10

cprp0V4n1.dat - 24.4.2024  :32270000
T=291.00 f=1000000 Vb=0.4 Vm=0.01 Im=10

cprp0Vn2.dat - 24.4.2024  :32550000
T=291.06 f=1000000 Vm=0.01 Im=10

cprp0V4n2.dat - 24.4.2024  :32800000
T=291.08 f=1000000 Vb=0.4 Vm=0.01 Im=10

cprp0Vn3.dat - 24.4.2024  :33098000
T=291.11 f=1000000 Vm=0.01 Im=10

cprp0V4n3.dat - 24.4.2024  :33348000
T=291.12 f=1000000 Vb=0.4 Vm=0.01 Im=10

rrm1V2n1.dat - 24.4.2024  :33556000
T=291.12 f=1000000 Vb=-1.2 Vm=0.01 Im=10

rrm1Vn1.dat - 24.4.2024  :33698000
T=291.11 f=1000000 Vb=-1 Vm=0.01 Im=10

rrm0V8n1.dat - 24.4.2024  :33838000
T=291.12 f=1000000 Vb=-0.8 Vm=0.01 Im=10

rrm0V6n1.dat - 24.4.2024  :33980000
T=291.12 f=1000000 Vb=-0.6 Vm=0.01 Im=10

rrm0V4n1.dat - 24.4.2024  :34120000
T=291.16 f=1000000 Vb=-0.4 Vm=0.01 Im=10

rrm0V2n1.dat - 24.4.2024  :34262000
T=291.16 f=1000000 Vb=-0.2 Vm=0.01 Im=10

rr2V22E-16n1.dat - 24.4.2024  :34404000
T=291.17 f=1000000 Vm=0.01 Im=10

rr0V2n1.dat - 24.4.2024  :34534000
T=291.18 f=1000000 Vb=0.2 Vm=0.01 Im=10

rr0V4n1.dat - 24.4.2024  :34676000
T=291.22 f=1000000 Vb=0.4 Vm=0.01 Im=10

i1.dat - 26.4.2024  :29916000
T=292.04

d71ai1pr.dat - 26.4.2024  :29916000
T=292.04

d71ai1zv.dat - 26.4.2024  :29916000
T=292.04

i2.dat - 26.4.2024  :29954000
T=292.08

d71ai2pr.dat - 26.4.2024  :29954000
T=292.08

d71ai2zv.dat - 26.4.2024  :29954000
T=292.08

i3.dat - 26.4.2024  :29982000
T=292.10

d71ai3pr.dat - 26.4.2024  :29982000
T=292.10

d71ai3zv.dat - 26.4.2024  :29982000
T=292.10

i4.dat - 26.4.2024  :30012000
T=292.11

d71ai4pr.dat - 26.4.2024  :30012000
T=292.11

d71ai4zv.dat - 26.4.2024  :30012000
T=292.11

