fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UDL060 12:42:50 314.3 36.89 1.000E+000 5.223E-001 2.368E-009 1.491E+003 2.721E+000 2.692E-005 2.435E-005 2.221E-002 2.434E-005 1.374E-007 2.542E-001 1.250E-002 1.099E-005 3.656E-002 
UDL065 12:39:04 314.3 36.89 1.000E+000 5.477E-001 2.302E-009 1.619E+003 2.783E+000 2.984E-005 3.281E-005 2.976E-002 3.279E-005 2.279E-007 2.335E-001 2.000E-002 1.139E-005 4.047E-001 
UDL070 12:36:12 314.3 36.89 1.000E+000 7.101E-001 2.765E-009 1.608E+003 2.830E+000 3.098E-005 4.337E-005 3.790E-002 4.333E-005 4.336E-007 2.641E-001 2.000E-002 2.168E-005 4.581E-001 
UDL075 12:30:28 314.3 36.89 1.000E+000 5.748E-001 2.497E-009 1.460E+003 2.738E+000 2.708E-005 5.457E-005 4.586E-002 5.454E-005 6.645E-007 2.657E-001 2.500E-002 2.658E-005 2.710E-002 
UDL080 12:26:50 314.4 36.88 1.000E+000 6.565E-001 2.782E-009 1.638E+003 2.830E+000 3.101E-005 6.472E-005 5.404E-002 6.468E-005 9.462E-007 2.707E-001 3.000E-002 3.154E-005 9.052E-003 
UDL085 12:22:56 314.2 36.9 1.000E+000 7.648E-001 2.893E-009 1.830E+003 2.915E+000 3.447E-005 7.663E-005 6.308E-002 7.657E-005 1.339E-006 2.771E-001 3.500E-002 3.824E-005 1.036E-002 
UDL090 12:15:46 314.2 36.9 1.000E+000 6.344E-001 2.573E-009 1.659E+003 2.814E+000 3.065E-005 9.423E-005 7.360E-002 9.417E-005 1.957E-006 2.823E-001 4.000E-002 4.892E-005 1.879E-002 
UDL095 12:12:16 314.3 36.89 1.000E+000 5.068E-001 2.136E-009 1.386E+003 2.641E+000 2.380E-005 1.107E-004 8.227E-002 1.106E-004 2.580E-006 2.836E-001 4.500E-002 5.734E-005 2.350E-002 
UDL100 12:08:36 314.3 36.89 1.000E+000 3.220E-001 1.851E-009 1.205E+003 2.572E+000 2.088E-005 1.303E-004 9.028E-002 1.302E-004 3.343E-006 2.844E-001 5.000E-002 6.687E-005 1.415E-002 
UDL105 12:04:36 314.4 36.88 1.000E+000 5.315E-001 2.356E-009 1.370E+003 2.709E+000 2.632E-005 1.490E-004 9.978E-002 1.489E-004 4.368E-006 2.940E-001 5.500E-002 7.942E-005 5.754E-002 
UDL110 12:00:48 314.3 36.89 1.000E+000 5.347E-001 2.205E-009 1.261E+003 2.639E+000 2.318E-005 1.709E-004 1.095E-001 1.708E-004 5.568E-006 2.977E-001 6.008E-002 9.267E-005 4.930E-002 
