fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
00L1 28784 294.03 39.432 1.510187988E+00 3.014550789E+03 5.291722361E-12 3.363904942E+07 9.786405125E-01 3.516568781E-02 
00L2 29416 295.03 39.298 1.528749107E+00 2.834120629E+03 6.824934842E-12 5.269458333E+07 9.756671341E-01 3.401962080E-02 
00L3 30072 296.02 39.167 1.526162396E+00 2.680479110E+03 7.499171880E-12 4.234047068E+07 9.767067963E-01 3.358572921E-02 
00L4 30726 297.02 39.035 1.542852885E+00 2.522316620E+03 9.562558626E-12 4.724408408E+07 9.739522746E-01 3.200574929E-02 
00L5 31382 298.03 38.903 1.539328478E+00 2.405892561E+03 1.004271521E-11 3.152693002E+07 9.761793176E-01 3.244383864E-02 
00L6 32064 299.04 38.771 1.559559452E+00 2.268344888E+03 1.296049603E-11 5.005887543E+07 9.730835132E-01 2.972748075E-02 
00L7 32724 300.01 38.646 1.550445560E+00 2.140125802E+03 1.344345979E-11 3.428779159E+07 9.754607991E-01 2.910953873E-02 
00L8 33388 301.02 38.516 1.584466590E+00 1.947958705E+03 2.046228517E-11 6.100456477E+07 9.680124541E-01 2.469590016E-02 
00L9 34068 302.03 38.388 1.562655105E+00 1.801689557E+03 2.137983997E-11 3.411849037E+07 9.702922169E-01 2.600235076E-02 
0L10 34772 303.04 38.26 1.515998636E+00 1.607747505E+03 2.136860115E-11 2.874223000E+07 9.737251708E-01 2.351568433E-02 
0L11 35444 304.01 38.138 1.571725230E+00 1.482897344E+03 3.430222376E-11 4.775517838E+07 9.645995494E-01 1.945711075E-02 
0L12 36108 305.02 38.011 1.559594913E+00 1.409797850E+03 3.573073477E-11 4.903705878E+07 9.669053201E-01 1.783748072E-02 
0L13 36780 306.04 37.885 1.560500180E+00 1.314854227E+03 4.307654582E-11 1.556860342E+08 9.653797540E-01 1.812191359E-02 
0L14 37440 307.04 37.761 1.594977235E+00 1.315650229E+03 5.173258186E-11 1.543505640E+08 9.638578265E-01 1.976856099E-02 
0L15 38096 308.01 37.642 1.623156510E+00 1.279299485E+03 6.204039067E-11 1.012093283E+08 9.622434728E-01 2.155223077E-02 
0L16 38748 309.03 37.518 1.636777538E+00 1.226391779E+03 7.474841202E-11 1.931762406E+08 9.606395226E-01 2.285726643E-02 
0L17 39390 310.03 37.397 1.656273568E+00 1.205466741E+03 8.446462979E-11 5.039766866E+08 9.606530958E-01 3.244071570E-02 
0L18 40042 311.03 37.277 1.675135949E+00 1.151520382E+03 1.017393559E-10 1.091142609E+08 9.589325738E-01 4.131578337E-02 
0L19 40686 312.04 37.156 1.694828184E+00 1.124936247E+03 1.184672728E-10 9.934027666E+19 9.581241657E-01 3.451990351E-02 
0L20 41338 313.04 37.037 1.693721345E+00 1.080864007E+03 1.309747619E-10 9.995093210E+19 9.586575557E-01 3.909396534E-02 
0L21 41990 314.02 36.922 1.688540660E+00 1.052421034E+03 1.359810202E-10 9.880407141E+19 9.608120867E-01 4.213780868E-02 
0L22 42630 315.04 36.802 1.706569811E+00 1.022323813E+03 1.608865835E-10 9.901551130E+19 9.595392939E-01 4.464706371E-02 
0L23 43284 316.01 36.689 1.718777768E+00 1.013379823E+03 1.708189067E-10 9.887948012E+19 9.610285294E-01 4.545067121E-02 
0L24 43936 317.02 36.572 1.715906373E+00 9.816952916E+02 1.959189996E-10 9.878610322E+19 9.605259281E-01 5.289263888E-02 
0L25 44570 318.02 36.457 1.724584654E+00 9.702882112E+02 2.055980768E-10 9.976469740E+19 9.624058704E-01 5.097585178E-02 
0L26 45212 319.03 36.342 1.709973335E+00 9.371624541E+02 2.214480371E-10 9.895591622E+19 9.635933825E-01 4.582771930E-02 
0L27 45848 320.02 36.23 1.699056652E+00 9.267688463E+02 2.314128690E-10 9.890868494E+19 9.655397005E-01 5.290897081E-02 
0L28 46480 321.04 36.115 1.702812796E+00 9.116997623E+02 2.520629455E-10 9.823293417E+19 9.664266075E-01 4.794033543E-02 
0L29 47116 322.04 36.002 1.705390943E+00 8.991386933E+02 2.848637759E-10 9.344714993E+19 9.662117812E-01 4.775486917E-02 
0L30 47746 323.02 35.893 1.699579700E+00 8.817254289E+02 2.975569138E-10 9.950355582E+19 9.681068060E-01 4.896709057E-02 
0L31 48388 324.02 35.782 1.685363528E+00 8.631773622E+02 3.022575267E-10 4.372937410E+07 9.708385883E-01 5.481357908E-02 
0L32 49024 325.02 35.672 1.698824100E+00 8.491515978E+02 3.597006623E-10 9.928899844E+19 9.691300489E-01 5.372887196E-02 
0L33 49648 326 35.565 1.677649042E+00 8.396167072E+02 3.444268368E-10 4.349120658E+07 9.734415059E-01 5.659202007E-02 
0L34 50336 327.02 35.454 1.674832389E+00 8.368151403E+02 3.807351623E-10 9.985235467E+19 9.738366497E-01 4.702283468E-02 
