Ytrue Ypred RelError Label
1.780000e+11 1.470127e+11 1.740862e-01 SC2973
2.150000e+11 1.566799e+11 2.712564e-01 SC312v2
2.670000e+11 2.595968e+11 2.772748e-02 SC312v6
7.090000e+12 6.228088e+12 1.215672e-01 SC3132v3
3.870000e+12 3.451350e+12 1.081783e-01 SC3132v5
1.910000e+12 1.486487e+12 2.217344e-01 SC3152v1
3.100000e+12 2.946841e+12 4.940600e-02 SC3152v3
3.630000e+11 2.288841e+11 3.694654e-01 SC320v10
4.500000e+11 2.727691e+11 3.938465e-01 SC320v7
1.940000e+11 1.950719e+11 5.525425e-03 SC3252v1
1.170000e+11 1.535707e+11 3.125703e-01 SC3383v1
9.310000e+11 1.079088e+12 1.590635e-01 SC3383v2
8.780000e+12 5.754240e+12 3.446196e-01 SC3411v10
7.570000e+12 5.539087e+12 2.682845e-01 SC3411v9
7.170000e+11 6.150916e+11 1.421316e-01 SC342v1
5.310000e+12 2.244857e+12 5.772397e-01 SC3491v2
7.230000e+12 2.305527e+12 6.811166e-01 SC3492v1
1.630000e+13 5.735800e+12 6.481104e-01 SC3501v6
1.600000e+13 5.400517e+12 6.624677e-01 SC3501v9
9.880000e+12 5.219843e+12 4.716758e-01 SC3502v10
1.520000e+13 5.712771e+12 6.241598e-01 SC3502v8
1.440000e+13 5.619501e+12 6.097569e-01 SC3503
1.490000e+12 1.632345e+12 9.553356e-02 SC3753v2
3.000000e+12 2.729061e+12 9.031303e-02 SC3753v5
3.200000e+12 3.253990e+12 1.687202e-02 SC3753v7
4.480000e+12 4.019894e+12 1.027023e-01 SC4023v2
7.210000e+12 6.339304e+12 1.207622e-01 SC4023v3
2.070000e+12 2.452819e+12 1.849369e-01 SC4023v5
