Ytrue Ypred RelError Label
1.780000e+11 2.480826e+11 3.937224e-01 SC2973
2.150000e+11 3.808020e+11 7.711720e-01 SC312v2
2.670000e+11 2.648807e+11 7.937507e-03 SC312v6
7.090000e+12 6.055703e+12 1.458811e-01 SC3132v3
3.870000e+12 3.714423e+12 4.020069e-02 SC3132v5
1.910000e+12 1.991147e+12 4.248534e-02 SC3152v1
3.100000e+12 3.376640e+12 8.923878e-02 SC3152v3
3.630000e+11 3.376425e+11 6.985532e-02 SC320v10
4.500000e+11 4.859792e+11 7.995376e-02 SC320v7
1.940000e+11 2.969473e+11 5.306564e-01 SC3252v1
1.170000e+11 7.380301e+11 5.307950e+00 SC3383v1
9.310000e+11 1.460102e+12 5.683158e-01 SC3383v2
8.780000e+12 5.955862e+12 3.216558e-01 SC3411v10
7.570000e+12 6.680784e+12 1.174658e-01 SC3411v9
7.170000e+11 4.962266e+11 3.079126e-01 SC342v1
5.310000e+12 3.209113e+12 3.956472e-01 SC3491v2
7.230000e+12 3.702662e+12 4.878753e-01 SC3492v1
1.630000e+13 5.707488e+12 6.498474e-01 SC3501v6
1.600000e+13 4.966604e+12 6.895873e-01 SC3501v9
9.880000e+12 5.922230e+12 4.005840e-01 SC3502v10
1.520000e+13 4.608844e+12 6.967866e-01 SC3502v8
1.440000e+13 5.531034e+12 6.159004e-01 SC3503
1.490000e+12 1.722823e+12 1.562570e-01 SC3753v2
3.000000e+12 3.995677e+12 3.318925e-01 SC3753v5
3.200000e+12 3.566294e+12 1.144668e-01 SC3753v7
4.480000e+12 4.609375e+12 2.887835e-02 SC4023v2
7.210000e+12 6.352261e+12 1.189653e-01 SC4023v3
2.070000e+12 2.378192e+12 1.488851e-01 SC4023v5
