fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 48858 295.1 39.29 7.002302231E-09 3.404858259E+00 8.215672604E+03 6.183977743E-05 3.527971171E+00 2.997681137E+03 0.000000000E+00 2.523985823E-04 5.009489018E-01 2.303974479E-04 4.297084789E-05 3.723083960E-01 2.830159060E-01 1.518319182E-04 2.856501038E-03 
00L2 49382 298.1 38.9 6.136566133E-09 3.313720823E+00 7.902976846E+03 7.238148330E-05 3.666545377E+00 2.575816540E+03 0.000000000E+00 2.526008726E-04 4.958111678E-01 2.309993420E-04 4.331087871E-05 3.781550874E-01 2.840810841E-01 1.524595657E-04 3.933208794E-03 
00L3 49916 301 38.51 1.695876880E-08 3.502890332E+00 8.547317926E+03 8.716779076E-05 3.663168715E+00 2.236292085E+03 0.000000000E+00 2.508916932E-04 4.914515507E-01 2.313696188E-04 4.361058842E-05 3.835349147E-01 2.855891342E-01 1.527039484E-04 2.450138972E-03 
00L4 50442 304.1 38.13 1.833371927E-08 3.453858640E+00 8.486342009E+03 1.020344830E-04 3.724337578E+00 1.965517385E+03 0.000000000E+00 2.507129160E-04 4.853342416E-01 2.320772227E-04 4.389160415E-05 3.896798973E-01 2.856873073E-01 1.536351214E-04 6.156148856E-03 
00L5 50956 307 37.76 1.995776226E-08 3.427650696E+00 8.486240731E+03 1.233213976E-04 3.890411972E+00 1.762534451E+03 0.000000000E+00 2.507106568E-04 4.803901657E-01 2.326367687E-04 4.413007903E-05 3.948773652E-01 2.861164448E-01 1.542381776E-04 3.227480330E-03 
00L6 51652 310 37.4 3.237918298E-08 3.509041278E+00 8.817734905E+03 1.494639848E-04 4.002152338E+00 1.568961920E+03 0.000000000E+00 2.501499711E-04 4.760197820E-01 2.329874915E-04 4.424803860E-05 3.989664879E-01 2.860179828E-01 1.547036944E-04 2.919836919E-03 
00L7 52318 313 37.04 5.630934801E-08 3.560435840E+00 9.725595201E+03 1.738510680E-04 4.115421899E+00 1.411567296E+03 0.000000000E+00 2.489414682E-04 4.699986753E-01 2.332001776E-04 4.423448811E-05 4.035854449E-01 2.839590187E-01 1.557777186E-04 5.943969435E-03 
00L8 52990 316 36.69 9.817499404E-08 3.653479979E+00 1.013877512E+04 1.976233556E-04 4.000310955E+00 1.246119782E+03 0.000000000E+00 2.486083899E-04 4.650154955E-01 2.337995402E-04 4.421154404E-05 4.066535845E-01 2.830841588E-01 1.561780929E-04 3.524690976E-03 
00L9 53670 319 36.34 1.691455818E-08 3.215985841E+00 7.908965719E+03 2.465935192E-04 4.992168945E+00 1.191019542E+03 0.000000000E+00 2.517642780E-04 4.602692283E-01 2.342043622E-04 4.408371070E-05 4.089509517E-01 2.826239324E-01 1.559801052E-04 4.945262338E-03 
0L10 54346 322 36 5.481630678E-08 3.441373744E+00 9.340986333E+03 2.932929137E-04 4.979752129E+00 1.094134713E+03 0.000000000E+00 2.505806303E-04 4.548588004E-01 2.346465540E-04 4.391993774E-05 4.115010367E-01 2.797830611E-01 1.569785446E-04 2.921070461E-03 
0L11 55012 325 35.67 4.688139568E-07 3.900709239E+00 1.372944307E+04 3.195793127E-04 4.445414715E+00 9.374755378E+02 0.000000000E+00 2.469633818E-04 4.504182607E-01 2.339862024E-04 4.351860748E-05 4.129226940E-01 2.767677405E-01 1.572387280E-04 2.399887793E-03 
0L12 55682 328 35.35 1.092419781E-06 4.076902898E+00 1.534606239E+04 3.327299775E-04 3.872300112E+00 8.108958924E+02 0.000000000E+00 2.460621628E-04 4.449279370E-01 2.341571137E-04 4.307764965E-05 4.134804379E-01 2.741713834E-01 1.571194233E-04 2.427435223E-03 
0L13 56370 331 35.02 1.328383974E-06 4.064603668E+00 1.843912711E+04 4.352797410E-04 4.717954513E+00 8.059474012E+02 0.000000000E+00 2.457444413E-04 4.395601630E-01 2.337727383E-04 4.266150960E-05 4.151681506E-01 2.711610400E-01 1.573290529E-04 7.456054743E-03 
0L14 57038 334 34.71 1.114882326E-06 3.974796899E+00 1.555072443E+04 4.632042293E-04 4.773378549E+00 7.149620690E+02 0.000000000E+00 2.467750962E-04 4.340620826E-01 2.342874399E-04 4.212820485E-05 4.142591379E-01 2.683793793E-01 1.569725847E-04 4.634219688E-03 
0L15 57700 337 34.4 2.660675715E-06 4.078696724E+00 1.986085051E+04 4.832767459E-04 4.478027466E+00 6.298941725E+02 0.000000000E+00 2.437939965E-04 4.279228135E-01 2.334126357E-04 4.151945900E-05 4.156826356E-01 2.647025044E-01 1.568532912E-04 9.231237318E-03 
0L16 58358 340 34.1 4.368464752E-06 4.169439951E+00 2.338829927E+04 5.696498422E-04 4.820630563E+00 5.890809542E+02 0.000000000E+00 2.424168353E-04 4.229398200E-01 2.330452197E-04 4.081844505E-05 4.141309432E-01 2.614215919E-01 1.561402972E-04 4.216207935E-03 
