X GeG200 GeG300 GeG400 OrG200 OrG300 OrG400 OrG500 OrG600 OrG700 OrG750 OsG200 OsG300 OsG400 OsG500 OsG600 OsG700
4.64000E+2 2.48957E+14 5.45126E+15 1.12465E+16 0.00000E+0 0.00000E+0 2.73982E+15 9.17440E+15 1.62123E+16 2.26804E+16 2.59034E+16 5.13318E+14 1.99094E+15 3.50825E+15 9.46008E+15 1.60514E+16 2.21465E+16
4.65000E+2 5.70208E+14 5.53458E+15 1.10453E+16 0.00000E+0 0.00000E+0 3.21843E+15 9.59372E+15 1.65536E+16 2.33519E+16 2.67393E+16 6.27519E+14 2.33602E+15 4.08984E+15 9.83226E+15 1.61694E+16 2.23538E+16
4.66000E+2 8.03195E+14 5.79600E+15 1.13249E+16 0.00000E+0 0.00000E+0 3.51119E+15 9.86985E+15 1.68036E+16 2.36936E+16 2.71266E+16 4.28161E+14 2.06622E+15 3.75055E+15 9.79901E+15 1.64915E+16 2.35499E+16
4.67000E+2 1.33619E+15 6.19901E+15 1.15516E+16 0.00000E+0 0.00000E+0 3.72916E+15 1.02064E+16 1.72654E+16 2.40124E+16 2.73747E+16 6.38112E+14 2.39266E+15 4.19385E+15 1.02252E+16 1.68845E+16 2.35482E+16
4.68000E+2 1.30169E+15 6.59901E+15 1.24389E+16 0.00000E+0 0.00000E+0 3.99550E+15 1.05402E+16 1.76668E+16 2.42743E+16 2.75674E+16 7.95011E+14 2.69460E+15 4.64301E+15 1.06934E+16 1.73599E+16 2.41170E+16
4.69000E+2 1.56623E+15 6.99838E+15 1.29734E+16 0.00000E+0 0.00000E+0 4.33211E+15 1.08684E+16 1.79770E+16 2.48099E+16 2.82152E+16 9.83138E+14 2.97932E+15 5.02441E+15 1.12015E+16 1.79986E+16 2.46877E+16
4.70000E+2 1.78070E+15 7.49120E+15 1.37645E+16 0.00000E+0 0.00000E+0 4.62099E+15 1.12360E+16 1.84239E+16 2.54262E+16 2.89158E+16 1.10364E+15 3.29476E+15 5.53915E+15 1.16824E+16 1.84252E+16 2.52810E+16
4.71000E+2 2.01548E+15 7.83502E+15 1.42164E+16 0.00000E+0 0.00000E+0 4.93898E+15 1.17067E+16 1.90549E+16 2.59614E+16 2.94038E+16 1.31576E+15 3.61004E+15 5.95749E+15 1.21879E+16 1.90157E+16 2.58368E+16
4.72000E+2 2.29674E+15 8.15895E+15 1.45716E+16 0.00000E+0 0.00000E+0 5.26874E+15 1.20445E+16 1.93930E+16 2.62113E+16 2.96099E+16 1.46897E+15 3.88527E+15 6.35623E+15 1.26729E+16 1.95853E+16 2.64714E+16
4.73000E+2 2.50223E+15 8.51203E+15 1.50775E+16 0.00000E+0 0.00000E+0 5.50846E+15 1.23054E+16 1.96710E+16 2.65749E+16 3.00163E+16 1.67789E+15 4.20687E+15 6.79078E+15 1.31485E+16 2.00934E+16 2.70746E+16
4.74000E+2 2.80291E+15 8.78954E+15 1.53116E+16 0.00000E+0 0.00000E+0 5.74641E+15 1.26560E+16 2.01399E+16 2.70703E+16 3.05251E+16 1.75514E+15 4.39909E+15 7.10044E+15 1.35434E+16 2.05745E+16 2.77479E+16
4.75000E+2 3.19569E+15 9.11459E+15 1.55380E+16 0.00000E+0 0.00000E+0 5.97543E+15 1.29213E+16 2.04393E+16 2.74115E+16 3.08872E+16 1.92760E+15 4.67602E+15 7.48245E+15 1.40342E+16 2.11759E+16 2.83620E+16
4.76000E+2 3.35679E+15 9.53637E+15 1.62415E+16 0.00000E+0 2.82949E+14 6.33321E+15 1.32741E+16 2.07771E+16 2.76086E+16 3.10145E+16 2.12408E+15 4.97025E+15 7.87441E+15 1.46895E+16 2.21153E+16 2.88993E+16
