fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 38226 291.85 39.727 1.000000000E+00 1.090400171E+00 2.516179149E-12 1.461455236E+03 7.301481215E+00 2.467312544E-04 2.860675813E-03 4.447630043E-01 2.856305429E-03 3.934447152E-01 4.998238974E-04 2.721826979E-01 1.836325014E-03 2.413177116E-01 
00L2 38280 291.87 39.724 1.000000000E+00 9.942426446E-01 2.255027491E-12 6.815492845E+02 6.096800933E+00 1.292116865E-04 2.870979487E-03 4.446380974E-01 2.854864799E-03 3.931865788E-01 4.991038291E-04 2.726029594E-01 1.830894771E-03 2.864969137E-01 
00L3 38426 291.9 39.72 1.000000000E+00 1.049530620E+00 2.375334758E-12 5.097983431E+02 5.584103992E+00 8.640572183E-05 2.886249010E-03 4.603965569E-01 2.855171809E-03 3.804250087E-01 5.000729613E-04 2.729136456E-01 1.832294181E-03 3.700753059E+00 
00L4 38648 291.9 39.72 1.000000000E+00 1.163766595E+00 2.854750036E-12 1.163434884E+18 8.753481378E+00 4.291088830E-04 2.864690904E-03 4.439621407E-01 2.855351657E-03 3.936105301E-01 4.989674868E-04 2.728699474E-01 1.828645178E-03 1.696510652E-01 
00L5 38850 291.9 39.72 1.000000000E+00 6.297168896E-17 1.000000000E-17 2.493047674E+02 1.940008844E+00 1.087838551E-07 2.953375588E-03 4.441881714E-01 2.855273658E-03 3.931130983E-01 4.985770026E-04 2.722062658E-01 1.831581023E-03 8.469053230E-01 
00L6 38942 291.9 39.72 1.000000000E+00 1.040873609E+00 2.466658901E-12 6.058284528E+02 6.080524827E+00 1.208434433E-04 2.877780083E-03 4.601833946E-01 2.854285442E-03 3.796065709E-01 4.986112433E-04 2.721548864E-01 1.831963112E-03 3.653011190E+00 
00L7 39168 291.9 39.72 1.000000000E+00 1.174377925E+00 2.996354766E-12 9.218372423E+17 9.115561698E+00 4.630075038E-04 2.865734153E-03 4.596997765E-01 2.850986941E-03 3.803766817E-01 4.985209409E-04 2.718884699E-01 1.833482065E-03 1.687273776E+00 
00L8 39368 291.9 39.72 1.000000000E+00 1.011987486E+00 2.417685633E-12 5.731222972E+02 5.838765282E+00 1.061913616E-04 2.878266342E-03 4.499034859E-01 2.857453818E-03 3.870562000E-01 4.975911032E-04 2.719081419E-01 1.830013817E-03 3.419702755E-01 
00L9 39566 291.9 39.72 1.000000000E+00 9.967898754E-01 2.330499440E-12 5.957131760E+02 5.774742774E+00 1.053203235E-04 2.872360679E-03 4.434992813E-01 2.852011271E-03 3.936242857E-01 4.978815619E-04 2.728915234E-01 1.824426713E-03 3.689760424E-01 
0L10 39768 291.9 39.72 1.000000000E+00 1.040698967E+00 2.462291951E-12 5.096160887E+02 5.590032357E+00 8.721441961E-05 2.883142054E-03 4.593449341E-01 2.852939238E-03 3.797309881E-01 4.976310752E-04 2.721820444E-01 1.828286938E-03 1.999296156E+00 
