x N
2.5729785E+0 7.8750410E+20
2.5609734E+0 8.0438166E+20
2.5494191E+0 8.1569470E+20
2.5376323E+0 8.0881592E+20
2.5257709E+0 8.2704296E+20
2.5143993E+0 8.2700326E+20
2.5024266E+0 8.1715713E+20
2.4906645E+0 8.1723560E+20
2.4785794E+0 8.0826523E+20
2.4664364E+0 8.0900937E+20
2.4542546E+0 8.2467140E+20
2.4424571E+0 8.2103915E+20
2.4300480E+0 7.9951990E+20
2.4174743E+0 7.9724210E+20
2.4048641E+0 8.0871705E+20
2.3925192E+0 8.1224848E+20
2.3798864E+0 7.8995849E+20
2.3666990E+0 8.0028304E+20
2.3542643E+0 8.0462646E+20
2.3410724E+0 7.2963685E+20
2.3258369E+0 7.3832087E+20
2.3128211E+0 7.9838216E+20
2.2995498E+0 7.9525717E+20
2.2862799E+0 7.9801535E+20
2.2729465E+0 7.8963525E+20
2.2592347E+0 7.9458211E+20
2.2459111E+0 7.9519584E+20
2.2320543E+0 7.9092242E+20
2.2184189E+0 8.0490568E+20
2.2048728E+0 8.0518128E+20
2.1910776E+0 7.9016645E+20
2.1768354E+0 7.8246340E+20
2.1625818E+0 7.9376743E+20
2.1485618E+0 7.7222200E+20
2.1333198E+0 7.4135549E+20
2.1178709E+0 7.1786427E+20
2.1013872E+0 6.8322736E+20
2.0840577E+0 6.4433334E+20
2.0652290E+0 5.9977216E+20
2.0448585E+0 5.6318133E+20
2.0230681E+0 5.4756193E+20
