fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_325 001_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.564700726E-14 1.000000000E+20 1.249531481E+00 5.036375970E-15 1.391526487E-04 
001_325_SRH 001_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.573774477E-14 1.000000000E+20 1.273246202E+00 4.772807781E-15 3.356014289E-04 
002_325 002_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.287743677E-14 1.000000000E+20 1.256718728E+00 7.263776486E-15 1.744090394E-04 
002_325_SRH 002_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.300960815E-14 1.000000000E+20 1.273338666E+00 7.004379716E-15 3.371695358E-04 
003_325 003_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.338754530E-14 1.000000000E+20 1.261936969E+00 1.053459308E-14 2.091433279E-04 
003_325_SRH 003_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.358127641E-14 1.000000000E+20 1.273472737E+00 1.027858738E-14 3.394649369E-04 
004_325 004_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.859977112E-14 1.000000000E+20 1.265718331E+00 1.533471186E-14 2.415541650E-04 
004_325_SRH 004_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.888331433E-14 1.000000000E+20 1.273666147E+00 1.508174201E-14 3.428205636E-04 
005_325 005_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.048164667E-14 1.000000000E+20 1.268499750E+00 2.237602035E-14 2.708670167E-04 
005_325_SRH 005_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.089445748E-14 1.000000000E+20 1.273943111E+00 2.212612170E-14 3.477162385E-04 
006_325 006_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.216807500E-13 1.000000000E+20 1.270626528E+00 3.270056744E-14 2.974441534E-04 
006_325_SRH 006_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.022770863E-13 1.000000000E+20 1.274335368E+00 3.245414923E-14 3.548380314E-04 
007_325 007_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.656187936E-13 1.000000000E+20 1.272367866E+00 4.783214306E-14 3.226176161E-04 
007_325_SRH 007_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.464713499E-13 1.000000000E+20 1.274882420E+00 4.758999249E-14 3.651527986E-04 
008_325 008_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.264635300E-13 1.000000000E+20 1.273933476E+00 6.999670425E-14 3.484490046E-04 
008_325_SRH 008_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.076659257E-13 1.000000000E+20 1.275629377E+00 6.975999000E-14 3.799970615E-04 
009_325 009_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.088656034E-13 1.000000000E+20 1.275483576E+00 1.024431823E-13 3.775518138E-04 
009_325_SRH 009_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.905316847E-13 1.000000000E+20 1.276620706E+00 1.022133998E-13 4.011671197E-04 
010_325 010_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.173731725E-13 1.000000000E+20 1.277131113E+00 1.499118675E-13 4.130041410E-04 
010_325_SRH 010_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.996302995E-13 1.000000000E+20 1.277888574E+00 1.496907451E-13 4.309875651E-04 
011_325 011_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.555989110E-13 1.000000000E+20 1.278936185E+00 2.193223457E-13 4.582997723E-04 
011_325_SRH 011_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.385730320E-13 1.000000000E+20 1.279437230E+00 2.191115973E-13 4.723298535E-04 
012_325 012_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.255319892E-13 1.000000000E+20 1.280899452E+00 3.207899561E-13 5.172739620E-04 
012_325_SRH 012_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.093252586E-13 1.000000000E+20 1.281228603E+00 3.205909698E-13 5.285458510E-04 
013_325 013_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.276508216E-13 1.000000000E+20 1.282963787E+00 4.691319587E-13 5.939377769E-04 
013_325_SRH 013_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.123178937E-13 1.000000000E+20 1.283178835E+00 4.689454528E-13 6.032871208E-04 
014_325 014_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.162263332E-12 1.000000000E+20 1.285032291E+00 6.860936078E-13 6.921828713E-04 
014_325_SRH 014_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.147796305E-12 1.000000000E+20 1.285172357E+00 6.859194354E-13 7.001834125E-04 
015_325 015_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.431268279E-12 1.000000000E+20 1.287237480E+00 1.004561216E-12 8.159406589E-04 
015_325_SRH 015_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.417562282E-12 1.000000000E+20 1.287399916E+00 1.004560468E-12 8.225265467E-04 
016_325 016_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.740616299E-12 1.000000000E+20 1.288855981E+00 1.469782695E-12 9.672435066E-04 
