fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 9:8 298.6 38.83 1.686E+000 6.705E-006 5.219E-010 3.1 1.134 7.179E+002 1.813E-004 0.1147 1.808E-004 5.396E-006 0.2602 
UDL1 9:11 298.7 38.82 1.686E+000 5.168E-006 2.344E-010 2.905 1.084 7.179E+002 1.866E-004 0.1194 1.861E-004 5.788E-006 0.2604 
UDL2 9:13 298.7 38.82 1.686E+000 7.361E-006 6.661E-010 3.177 1.148 7.179E+002 1.861E-004 0.1169 1.857E-004 5.661E-006 0.2609 
UDL3 9:15 298.8 38.8 1.686E+000 6.451E-006 4.601E-010 3.062 1.124 7.179E+002 1.833E-004 0.1161 1.829E-004 5.528E-006 0.2605 
UDL4 9:18 298.8 38.8 1.686E+000 6.674E-006 5.106E-010 3.089 1.13 7.179E+002 1.843E-004 0.1164 1.838E-004 5.577E-006 0.2606 
UDL5 9:21 298.9 38.79 1.686E+000 5.205E-006 2.383E-010 2.897 1.084 7.179E+002 1.861E-004 0.119 1.856E-004 5.752E-006 0.2605 
UDL6 9:24 299 38.78 1.686E+000 6.741E-006 5.451E-010 3.096 1.133 7.179E+002 1.868E-004 0.1178 1.863E-004 5.725E-006 0.2609 
UDL7 9:26 299.1 38.76 1.686E+000 6.553E-006 7.619E-010 3.081 1.157 7.179E+002 1.846E-004 0.1168 1.842E-004 5.604E-006 0.2606 
UDL8 9:29 299.2 38.75 1.686E+000 6.181E-006 4.006E-010 3.016 1.113 7.179E+002 1.832E-004 0.1162 1.828E-004 5.532E-006 0.2605 
UDL9 9:32 299.2 38.75 1.686E+000 5.911E-006 3.533E-010 2.979 1.105 7.179E+002 1.839E-004 0.1168 1.834E-004 5.584E-006 0.2606 
