N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 315 1.500E-4 1.263437782E+00 1.326055345E+00
1.468000E+10 1.000E+17 315 1.500E-4 1.277016134E+00 1.326116716E+00
2.154000E+10 1.000E+17 315 1.500E-4 1.287549615E+00 1.326206385E+00
3.162000E+10 1.000E+17 315 1.500E-4 1.295789062E+00 1.326337188E+00
4.642000E+10 1.000E+17 315 1.500E-4 1.302382438E+00 1.326527485E+00
6.813000E+10 1.000E+17 315 1.500E-4 1.307815381E+00 1.326803243E+00
1.000000E+11 1.000E+17 315 1.500E-4 1.312416421E+00 1.327200594E+00
1.468000E+11 1.000E+17 315 1.500E-4 1.316403238E+00 1.327768613E+00
2.154000E+11 1.000E+17 315 1.500E-4 1.319942863E+00 1.328571665E+00
3.162000E+11 1.000E+17 315 1.500E-4 1.323199321E+00 1.329690124E+00
4.642000E+11 1.000E+17 315 1.500E-4 1.326353711E+00 1.331217417E+00
6.813000E+11 1.000E+17 315 1.500E-4 1.329597644E+00 1.333251365E+00
1.000000E+12 1.000E+17 315 1.500E-4 1.333110100E+00 1.335878663E+00
1.468000E+12 1.000E+17 315 1.500E-4 1.337029044E+00 1.339154710E+00
2.154000E+12 1.000E+17 315 1.500E-4 1.341428369E+00 1.343085414E+00
3.162000E+12 1.000E+17 315 1.500E-4 1.346310365E+00 1.347620953E+00
4.642000E+12 1.000E+17 315 1.500E-4 1.351619359E+00 1.352668197E+00
6.813000E+12 1.000E+17 315 1.500E-4 1.357271193E+00 1.358117453E+00
1.000000E+13 1.000E+17 315 1.500E-4 1.363182155E+00 1.363868178E+00
