N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 4.561907400E-02 4.665201900E-02 4.631433200E-02 4.691383300E-02
1.016672606E+01 4.733297700E-02 4.827995800E-02 4.782491900E-02 5.656704600E-02
1.033324570E+01 4.916584500E-02 4.988540000E-02 4.919825000E-02 5.553843300E-02
1.049996187E+01 5.118209600E-02 5.153567800E-02 5.051355100E-02 5.482045200E-02
1.066670514E+01 5.333423600E-02 5.320633900E-02 5.177915900E-02 5.453599900E-02
1.083333839E+01 5.547340400E-02 5.479865000E-02 5.295040500E-02 5.453243900E-02
1.100000000E+01 5.740182900E-02 5.618924000E-02 5.397024900E-02 5.459677900E-02
1.116672606E+01 5.894241700E-02 5.729307200E-02 5.481512200E-02 5.498432600E-02
1.133324570E+01 6.007768900E-02 5.810876100E-02 5.552350900E-02 5.536253300E-02
1.149996187E+01 6.075932900E-02 5.872527900E-02 5.612662000E-02 5.599348200E-02
1.166670514E+01 6.119038200E-02 5.929102900E-02 5.717237300E-02 5.686281500E-02
1.183333839E+01 6.156778100E-02 5.996220300E-02 5.801649100E-02 5.797506200E-02
1.200000000E+01 6.207158300E-02 6.084779300E-02 5.919053500E-02 5.927353400E-02
1.216672606E+01 6.281407800E-02 6.200572800E-02 6.054908900E-02 6.076555300E-02
1.233324570E+01 6.381111600E-02 6.333477400E-02 6.209339700E-02 6.256215700E-02
1.249996187E+01 6.497742300E-02 6.474581400E-02 6.368172400E-02 6.410961700E-02
1.266670514E+01 6.621714400E-02 6.607322500E-02 6.502723200E-02 6.552947000E-02
1.283333839E+01 6.731729500E-02 6.727469200E-02 6.620747600E-02 6.677190800E-02
1.300000000E+01 6.819680500E-02 6.813716500E-02 6.715851100E-02 6.764815900E-02
