X Y Xfit Yfit
3.3069300E+1 2.1378500E+2 3.6501542E+1 2.0335571E+2
3.6426000E+1 2.3335400E+2 3.8551436E+1 2.2343659E+2
3.9967100E+1 2.5464200E+2 4.0989232E+1 2.4540592E+2
4.3877900E+1 2.7776400E+2 4.3877900E+1 2.6941469E+2
4.8181600E+1 3.0308100E+2 4.7286367E+1 2.9561942E+2
5.2954400E+1 3.3049600E+2 5.1288319E+1 3.2418116E+2
5.8269800E+1 3.6046600E+2 5.5960159E+1 3.5526453E+2
6.3934800E+1 3.9291400E+2 6.1377935E+1 3.8903717E+2
7.0557800E+1 4.2825200E+2 6.7613153E+1 4.2566983E+2
7.7443200E+1 4.6650800E+2 7.4727445E+1 4.6533779E+2
8.5161000E+1 5.0822400E+2 8.2766352E+1 5.0822400E+2
9.3716700E+1 5.5317600E+2 9.1752649E+1 5.5452466E+2
1.0256500E+2 6.0232400E+2 1.0168005E+2 6.0445759E+2
1.1249600E+2 6.5521200E+2 1.1250828E+2 6.5827349E+2
1.2300300E+2 7.1322400E+2 1.2416065E+2 7.1626977E+2
1.3388300E+2 7.7529800E+2 1.3652524E+2 7.7880613E+2
1.4565100E+2 8.4321600E+2 1.4946020E+2 8.4632037E+2
1.5786500E+2 9.1721500E+2 1.6280313E+2 9.1934268E+2
1.7079900E+2 9.9695700E+2 1.7638362E+2 9.9850743E+2
1.8386900E+2 1.0845200E+3 1.9003756E+2 1.0845608E+3
1.9761100E+2 1.1790800E+3 2.0362114E+2 1.1783640E+3
2.1179900E+2 1.2830300E+3 2.1702309E+2 1.2808943E+3
2.2515900E+2 1.3959600E+3 2.3017360E+2 1.3932421E+3
2.3880600E+2 1.5199700E+3 2.4304974E+2 1.5166095E+3
2.5442300E+2 1.6570400E+3 2.5567744E+2 1.6523088E+3
2.6813100E+2 1.8067200E+3 2.6813100E+2 1.8017645E+3
2.8038700E+2 1.9706700E+3 2.8053106E+2 1.9665172E+3
2.9502300E+2 2.1526000E+3 2.9304236E+2 2.1482328E+3
3.1050000E+2 2.3504300E+3 3.0587216E+2 2.3487132E+3
3.2382800E+2 2.5701500E+3 3.1927016E+2 2.5699116E+3
3.3782200E+2 2.8121400E+3 3.3353038E+2 2.8139498E+3
3.4972500E+2 3.0761100E+3 3.4899548E+2 3.0831379E+3
3.7369100E+2 3.3717500E+3 3.6606367E+2 3.3799961E+3
3.8976000E+2 3.7049600E+3 3.8519846E+2 3.7072782E+3
4.1430300E+2 4.0549800E+3 4.0694161E+2 4.0679972E+3
4.3991200E+2 4.4545800E+3 4.3192942E+2 4.4654523E+3
4.5705100E+2 4.8912800E+3 4.6091298E+2 4.9032572E+3
5.0754900E+2 5.3738800E+3 4.9478285E+2 5.3853708E+3
5.4184300E+2 5.8898500E+3 5.3459896E+2 5.9161293E+3
5.9047300E+2 6.4774000E+3 5.8162662E+2 6.5002791E+3
6.3436000E+2 7.1114400E+3 6.3737981E+2 7.1430116E+3
7.1335500E+2 7.8283000E+3 7.0367315E+2 7.8499992E+3
7.9409300E+2 8.6223500E+3 7.8268398E+2 8.6274298E+3
8.6225300E+2 9.4360100E+3 8.7702674E+2 9.4820428E+3
9.7298300E+2 1.0356500E+4 9.8984161E+2 1.0421161E+4
1.1023400E+3 1.1419200E+4 1.1249000E+3 1.1452721E+4
1.2867300E+3 1.2524700E+4 1.2867300E+3 1.2585292E+4
1.4549200E+3 1.3746500E+4 1.4807641E+3 1.3828091E+4
1.6936500E+3 1.5167600E+4 1.7135136E+3 1.5190977E+4
1.9339900E+3 1.6644700E+4 1.9927726E+3 1.6684434E+4
2.2405900E+3 1.8285500E+4 2.3278533E+3 1.8319503E+4
2.6956500E+3 2.0107700E+4 2.7298583E+3 2.0107700E+4
3.1998900E+3 2.2051300E+4 3.2119896E+3 2.2060871E+4
3.7627100E+3 2.4232000E+4 3.7898893E+3 2.4190959E+4
4.4693800E+3 2.6574100E+4 4.4820176E+3 2.6509713E+4
5.3655900E+3 2.8946600E+4 5.3100463E+3 2.9028254E+4
6.3412600E+3 3.1726100E+4 6.2992626E+3 3.1756514E+4
7.5459600E+3 3.4759400E+4 7.4789386E+3 3.4702482E+4
8.8078800E+3 3.8118400E+4 8.8826447E+3 3.7871270E+4
1.0582200E+4 4.1560500E+4 1.0548423E+4 4.1263921E+4
1.2480300E+4 4.5126500E+4 1.2518758E+4 4.4875990E+4
1.4974200E+4 4.8772200E+4 1.4840204E+4 4.8695849E+4
1.7847600E+4 5.3033100E+4 1.7562599E+4 5.2702852E+4
2.0765600E+4 5.7374500E+4 2.0737621E+4 5.6865304E+4
2.4124900E+4 6.1219100E+4 2.4416592E+4 6.1138514E+4
2.8804800E+4 6.5710100E+4 2.8647567E+4 6.5463325E+4
3.4159000E+4 7.0085700E+4 3.3471191E+4 6.9764932E+4
3.9094600E+4 7.4215900E+4 3.8916237E+4 7.3953306E+4
4.5568700E+4 7.7570600E+4 4.4994082E+4 7.7924608E+4
5.1203700E+4 8.2169500E+4 5.1693766E+4 8.1564998E+4
5.9850500E+4 8.4756200E+4 5.8977453E+4 8.4756200E+4
6.6674100E+4 8.8232000E+4 6.6777916E+4 8.7383156E+4
7.8037700E+4 8.7959500E+4 7.4998341E+4 8.9342839E+4
8.3901000E+4 8.9957600E+4 8.3515397E+4 9.0553357E+4
9.2378300E+4 9.0502900E+4 9.2186113E+4 9.0961980E+4
