T nFsrh nFBsrh dnsrh nF nFB dn
290 1.149209631E+00 1.158197549E+0 -8.987918000E-03 1.149209631E+00 1.158197549E+0 -8.987918000E-03
295 1.152820219E+00 1.155356873E+0 -2.536654000E-03 1.152820219E+00 1.155356873E+0 -2.536654000E-03
300 1.144345871E+00 1.146071642E+0 -1.725771000E-03 1.144345871E+00 1.146071642E+0 -1.725771000E-03
305 1.125380650E+00 1.126611596E+0 -1.230946000E-03 1.125380650E+00 1.126611596E+0 -1.230946000E-03
310 1.109666544E+00 1.096831057E+0 1.283548700E-02 1.109666544E+00 1.096831057E+0 1.283548700E-02
315 1.084877804E+00 1.063957425E+0 2.092037900E-02 1.084877804E+00 1.063957425E+0 2.092037900E-02
320 1.055697025E+00 1.037279850E+0 1.841717500E-02 1.055697025E+00 1.037279850E+0 1.841717500E-02
325 1.010460923E+00 1.020098542E+0 -9.637619000E-03 1.010460923E+00 1.020098542E+0 -9.637619000E-03
330 1.009531637E+00 1.010457451E+0 -9.258140000E-04 1.009531637E+00 1.010457451E+0 -9.258140000E-04
335 1.010053862E+00 1.005394086E+0 4.659776000E-03 1.010053862E+00 1.005394086E+0 4.659776000E-03
340 1.012141502E+00 1.002797432E+0 9.344070000E-03 1.012141502E+00 1.002797432E+0 9.344070000E-03
