f G/w
1.0000000E+6 1.5726610E-5
8.9779585E+5 1.6536157E-5
8.0603739E+5 1.7379992E-5
7.2365703E+5 1.8043737E-5
6.4969628E+5 1.8808013E-5
5.8329463E+5 1.9638672E-5
5.2367949E+5 2.0600105E-5
4.7015728E+5 2.1573482E-5
4.2210526E+5 2.2581155E-5
3.7896435E+5 2.3749139E-5
3.4023262E+5 2.4958327E-5
3.0545943E+5 2.6212908E-5
2.7424021E+5 2.7429687E-5
2.4621173E+5 2.8957133E-5
2.2104787E+5 3.0450046E-5
1.9845586E+5 3.1989988E-5
1.7817285E+5 3.3633738E-5
1.5996284E+5 3.5459811E-5
1.4361398E+5 3.7572827E-5
1.2893603E+5 3.9503959E-5
1.1575824E+5 4.1623782E-5
1.0392726E+5 4.4079386E-5
9.3305466E+4 4.6714287E-5
8.3769261E+4 4.9214754E-5
7.5207695E+4 5.1697904E-5
6.7521156E+4 5.4732146E-5
6.0620214E+4 5.7787001E-5
5.4424577E+4 6.1236389E-5
4.8862159E+4 6.4247800E-5
4.3868244E+4 6.7799170E-5
3.9384728E+4 7.0841958E-5
3.5359445E+4 7.4216516E-5
3.1745563E+4 7.7276729E-5
2.8501035E+4 8.0239415E-5
2.5588111E+4 8.3338158E-5
2.2972900E+4 8.5616958E-5
2.0624974E+4 8.7772833E-5
1.8517016E+4 8.9690307E-5
1.6624501E+4 9.1405412E-5
1.4925408E+4 9.2682070E-5
1.3399969E+4 9.2599505E-5
1.2030437E+4 9.4380478E-5
1.0800876E+4 9.4612220E-5
9.6969820E+3 9.4790457E-5
8.7059100E+3 9.5260850E-5
7.8161300E+3 9.5905041E-5
7.0172890E+3 9.6594553E-5
6.3000930E+3 9.8177941E-5
5.6561970E+3 1.0010148E-4
5.0781110E+3 1.0282630E-4
4.5591070E+3 1.0589783E-4
4.0931470E+3 1.1076046E-4
3.6748100E+3 1.1610679E-4
3.2992300E+3 1.2296246E-4
2.9620350E+3 1.3067733E-4
2.6593020E+3 1.3850329E-4
2.3875110E+3 1.5014988E-4
2.1434970E+3 1.6194515E-4
1.9244230E+3 1.7480772E-4
1.7277390E+3 1.9067621E-4
1.5511570E+3 2.0862785E-4
1.3926220E+3 2.2866580E-4
1.2502900E+3 2.5039894E-4
1.1225050E+3 2.7485924E-4
1.0077810E+3 3.0356976E-4
9.0478100E+2 3.3318115E-4
8.1230900E+2 3.6897694E-4
7.2928800E+2 4.0649868E-4
6.5475100E+2 4.5360242E-4
5.8783300E+2 4.9757968E-4
5.2775400E+2 5.4831174E-4
4.7381500E+2 5.9808128E-4
4.2539000E+2 6.6162580E-4
3.8191300E+2 7.2554813E-4
3.4288000E+2 8.1062206E-4
3.0783600E+2 8.9048509E-4
2.7637400E+2 9.7772608E-4
2.4812700E+2 1.0868045E-3
2.2276800E+2 1.1923507E-3
2.0000000E+2 1.3203104E-3
