fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
01FR 1fr.dat 291.3 39.8 2.220E+001 3.375E+002 4.521E-010 3.874E+007 1.839E-009 3.399E-002 1.387E-009 1.260E-011 2.675E-001 2.767E-002 
03FR 3fr.dat 295.5 39.24 2.178E+001 3.123E+002 7.631E-010 2.037E+007 4.098E-009 4.344E-002 3.335E-009 3.933E-011 2.715E-001 2.309E-002 
05FR 5fr.dat 300.1 38.63 2.182E+001 2.571E+002 1.010E-009 1.911E+007 4.486E-009 3.975E-002 3.475E-009 3.758E-011 2.720E-001 2.128E-002 
07FR 7fr.dat 304 38.14 2.229E+001 2.896E+002 1.126E-009 1.206E+007 5.413E-009 3.538E-002 4.287E-009 4.029E-011 2.656E-001 2.141E-002 
09FR 9fr.dat 309.2 37.5 2.249E+001 2.548E+002 1.614E-009 9.853E+006 6.725E-009 3.293E-002 5.111E-009 4.479E-011 2.661E-001 2.494E-002 
11FR 11fr.dat 316.4 36.64 2.249E+001 2.398E+002 2.503E-009 1.335E+007 5.308E-009 1.929E-002 2.805E-009 1.424E-011 2.633E-001 1.725E-002 
13FR 13fr.dat 320.5 36.18 2.277E+001 2.639E+002 2.945E-009 6.661E+006 5.272E-009 1.031E-002 2.327E-009 6.116E-012 2.549E-001 1.187E-002 
15FR 15fr.dat 327.8 35.37 2.339E+001 2.748E+002 3.909E-009 4.768E+006 5.324E-009 4.619E-003 1.415E-009 1.647E-012 2.521E-001 6.333E-003 
17FR 17fr.dat 332.7 34.85 2.294E+001 2.606E+002 6.235E-009 5.771E+006 8.480E-009 6.843E-003 2.245E-009 3.912E-012 2.546E-001 6.393E-003 
19FR 19fr.dat 337.9 34.31 2.322E+001 2.642E+002 7.585E-009 3.001E+006 9.574E-009 3.846E-003 1.990E-009 1.928E-012 2.519E-001 4.051E-003 
21FR 21fr.dat 342.9 33.81 2.358E+001 2.652E+002 1.049E-008 2.985E+006 1.187E-008 2.339E-003 1.378E-009 8.105E-013 2.514E-001 3.764E-003 
