T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.239077563E+00 1.216386619E+00 2.269094400E-02 1.239043325E+00 1.216342794E+00 2.270053100E-02 3.423800000E-05 4.382500000E-05
295 1.238834036E+00 1.072568556E+00 1.662654800E-01 1.238804313E+00 1.072524874E+00 1.662794390E-01 2.972300000E-05 4.368200000E-05
300 1.238937277E+00 1.216666541E+00 2.227073600E-02 1.238911242E+00 1.216631116E+00 2.228012600E-02 2.603500000E-05 3.542500000E-05
305 1.238745631E+00 1.085370285E+00 1.533753460E-01 1.238722429E+00 1.085323543E+00 1.533988860E-01 2.320200000E-05 4.674200000E-05
310 1.237522293E+00 1.219169027E+00 1.835326600E-02 1.237501150E+00 1.219138302E+00 1.836284800E-02 2.114300000E-05 3.072500000E-05
315 1.233617600E+00 1.093824263E+00 1.397933370E-01 1.233597955E+00 1.093776197E+00 1.398217580E-01 1.964500000E-05 4.806600000E-05
320 1.224455688E+00 1.221134243E+00 3.321445000E-03 1.224437519E+00 1.221103827E+00 3.333692000E-03 1.816900000E-05 3.041600000E-05
325 1.205542343E+00 1.085740216E+00 1.198021270E-01 1.205526602E+00 1.085696743E+00 1.198298590E-01 1.574100000E-05 4.347300000E-05
330 1.170287716E+00 1.215744326E+00 -4.545661000E-02 1.170276977E+00 1.215708785E+00 -4.543180800E-02 1.073900000E-05 3.554100000E-05
335 1.110238633E+00 1.026768062E+00 8.347057100E-02 1.110237593E+00 1.026748071E+00 8.348952200E-02 1.040000000E-06 1.999100000E-05
340 1.019773204E+00 1.177545207E+00 -1.577720030E-01 1.019787693E+00 1.177502500E+00 -1.577148070E-01 -1.448900000E-05 4.270700000E-05
