Model MSEn MRE MedRE R2
ExpRf1p360e15EfC 1.357031e-01 5.940061e-01 2.601964e-01 8.712140e-01
ExpGb1p360e15EfC 1.484462e-01 6.407496e-01 2.219299e-01 9.336009e-01
ExpXg1p360e15EfC 3.669797e-02 2.523324e-01 1.980249e-01 9.729664e-01
Exp1p360e15EfC 2.143712e-02 1.493706e-01 1.508006e-01 9.476156e-01
ExpSv1p360e15EfC 2.698753e-02 2.127926e-01 1.568984e-01 9.753927e-01
ExpRf1p360e15EfP 1.211962e-01 5.281169e-01 1.644203e-01 9.519662e-01
ExpGb1p360e15EfP 1.968932e-01 8.052432e-01 3.671324e-01 8.748551e-01
ExpXg1p360e15EfP 4.694166e-02 2.912863e-01 2.143283e-01 9.685889e-01
Exp1p360e15EfP 2.579697e-02 2.195506e-01 1.783248e-01 9.304980e-01
ExpSv1p360e15EfP 4.333894e-02 2.763126e-01 2.104408e-01 9.705017e-01
ExpRf1p360e15RsC 5.994225e-01 2.417527e+00 8.070486e-01 6.442571e-01
ExpGb1p360e15RsC 1.057406e+00 4.444906e+00 6.543387e-01 4.366600e-01
ExpXg1p360e15RsC 5.716745e-01 2.252584e+00 5.815418e-01 6.060994e-01
Exp1p360e15RsC 2.616221e-01 1.225748e+00 5.623896e-01 8.003307e-01
ExpSv1p360e15RsC 1.549473e-01 2.651520e+00 1.264236e+00 -1.577051e+01
ExpRf1p360e15RsP 2.727846e-01 1.031086e+00 4.510434e-01 7.551623e-01
ExpGb1p360e15RsP 2.132000e-01 8.484009e-01 4.149695e-01 7.929588e-01
ExpXg1p360e15RsP 1.031718e-01 4.156312e-01 3.438017e-01 6.517294e-01
Exp1p360e15RsP 3.550580e-01 1.370362e+00 1.133647e+00 4.207751e-01
ExpSv1p360e15RsP 1.097705e-01 4.296922e-01 3.410051e-01 6.110649e-01
ExpRf1p360e15MbC 1.686179e-01 7.132453e-01 2.768264e-01 8.936708e-01
ExpGb1p360e15MbC 1.930463e-01 7.919831e-01 3.041058e-01 9.514589e-01
ExpXg1p360e15MbC 1.156668e-01 4.823135e-01 2.745804e-01 8.246489e-01
Exp1p360e15MbC 1.046664e-01 5.164758e-01 3.557027e-01 4.994211e-01
ExpSv1p360e15MbC 2.237078e-01 9.605945e-01 6.337100e-01 7.409112e-01
ExpRf1p360e15YOL 3.335059e-01 1.326926e+00 6.691650e-01 6.871407e-01
ExpGb1p360e15YOL 4.576164e-01 1.628418e+00 7.343709e-01 5.276507e-01
ExpXg1p360e15YOL 1.321763e-01 5.489933e-01 3.466728e-01 7.408129e-01
Exp1p360e15YOL 2.978542e-01 1.230689e+00 9.707204e-01 6.762520e-01
ExpSv1p360e15YOL 3.926709e-01 1.505718e+00 1.191144e+00 6.762772e-01
ExpRf1p360e15MbP 2.314305e-01 9.941058e-01 5.891798e-01 8.486333e-01
ExpGb1p360e15MbP 2.432403e-01 9.268347e-01 3.872506e-01 7.660103e-01
ExpXg1p360e15MbP 6.708838e-02 3.223844e-01 2.737968e-01 8.030393e-01
Exp1p360e15MbP 2.030278e-01 9.003518e-01 7.719625e-01 7.133716e-01
ExpSv1p360e15MbP 6.671014e-02 3.274655e-01 2.486731e-01 8.120806e-01
ExpRf1p360e15XcC 1.853994e-01 8.798751e-01 5.096196e-01 8.773023e-01
ExpGb1p360e15XcC 2.320582e-01 1.041612e+00 6.633098e-01 7.805742e-01
ExpXg1p360e15XcC 1.552032e-01 5.418425e-01 2.262120e-01 7.298381e-01
Exp1p360e15XcC 1.236172e-01 7.160951e-01 6.055542e-01 3.736213e-01
ExpSv1p360e15XcC 1.435652e-01 7.276039e-01 5.812152e-01 7.204222e-01
ExpRf1p360e15XcP 2.209428e-01 8.030018e-01 4.494167e-01 7.283974e-01
ExpGb1p360e15XcP 3.024291e-01 1.067554e+00 5.241976e-01 5.760251e-01
ExpXg1p360e15XcP 6.206484e-02 3.041817e-01 2.655981e-01 8.231459e-01
Exp1p360e15XcP 2.611373e-01 1.091949e+00 8.499982e-01 -2.154327e-01
ExpSv1p360e15XcP 5.841339e-02 2.940820e-01 2.442978e-01 8.358120e-01
ExpRf1p360e15NNC 1.251866e-01 5.680471e-01 2.114990e-01 9.226913e-01
ExpGb1p360e15NNC 2.170225e-01 9.078287e-01 2.699711e-01 9.613297e-01
ExpXg1p360e15NNC 1.740579e-01 6.236224e-01 4.355909e-01 6.068643e-01
Exp1p360e15NNC 1.689403e-02 1.712110e-01 1.609960e-01 9.168654e-01
ExpSv1p360e15NNC 1.257592e-01 4.965070e-01 2.846419e-01 8.137306e-01
ExpRf1p360e15NNP 1.844003e-01 8.140361e-01 4.779869e-01 9.221001e-01
ExpGb1p360e15NNP 3.427828e-01 1.250502e+00 4.794125e-01 7.043554e-01
ExpXg1p360e15NNP 9.047276e-02 4.074479e-01 3.305273e-01 6.955067e-01
Exp1p360e15NNP 1.604129e-01 7.589021e-01 6.825066e-01 7.017176e-01
ExpSv1p360e15NNP 8.944177e-02 4.070922e-01 3.306707e-01 6.942183e-01
ExpRf1p360e15YOL2 3.758051e-01 1.353658e+00 5.086515e-01 6.450139e-01
ExpGb1p360e15YOL2 4.435637e-01 1.563170e+00 6.679866e-01 5.651138e-01
ExpXg1p360e15YOL2 1.094923e-01 4.687597e-01 3.779389e-01 6.992517e-01
Exp1p360e15YOL2 1.143233e-01 5.584625e-01 3.288245e-01 8.914162e-01
ExpSv1p360e15YOL2 3.230927e-01 1.251650e+00 8.766958e-01 8.036585e-01
ExpSv1p360e15YOfl 1.605978e-01 5.890150e-01 4.184435e-01 5.358244e-01
ExpSv1p360e15YOfl2 1.454220e-01 5.294638e-01 4.088759e-01 5.452289e-01
ExpRf1p360e15EfPp 2.267072e-01 9.253271e-01 4.733952e-01 8.315204e-01
ExpGb1p360e15EfPp 4.453411e-01 1.666531e+00 4.273725e-01 7.549139e-01
ExpXg1p360e15EfPp 4.013368e-02 2.523463e-01 1.980377e-01 9.748189e-01
Exp1p360e15EfPp 3.912892e-02 2.754821e-01 2.106129e-01 8.744926e-01
ExpSv1p360e15EfPp 4.014393e-02 2.537765e-01 1.880592e-01 9.747276e-01
ExpRf1p360e15YOflp 4.317053e-01 1.395902e+00 5.214839e-01 6.429315e-01
ExpGb1p360e15YOflp 8.214294e-01 2.170802e+00 7.382859e-01 -1.100918e-01
ExpXg1p360e15YOflp 3.063432e-01 9.972392e-01 4.861734e-01 5.796995e-01
Exp1p360e15YOflp 2.916635e-01 1.183319e+00 9.161859e-01 6.853261e-01
ExpSv1p360e15YOflp 3.656593e-01 1.393591e+00 1.030748e+00 7.167144e-01
ExpRf1p360e15MbPp 3.530381e-01 1.356767e+00 5.833500e-01 8.124829e-01
ExpGb1p360e15MbPp 6.413413e-01 1.918500e+00 6.242459e-01 1.480139e-01
ExpXg1p360e15MbPp 6.882937e-02 3.187911e-01 2.816624e-01 8.034502e-01
Exp1p360e15MbPp 7.063327e-02 3.722665e-01 2.041367e-01 7.937654e-01
ExpSv1p360e15MbPp 6.798599e-02 3.184574e-01 2.743610e-01 8.043558e-01
ExpRf1p360e15NNCp 5.070513e-01 1.852576e+00 6.140625e-01 8.316044e-01
ExpGb1p360e15NNCp 5.326677e-01 1.969518e+00 5.207390e-01 6.169837e-01
ExpXg1p360e15NNCp 2.184586e-01 6.774715e-01 4.684566e-01 4.906930e-01
Exp1p360e15NNCp 1.301077e-01 6.597889e-01 4.529332e-01 7.659676e-01
ExpSv1p360e15NNCp 1.293326e-01 6.312640e-01 3.670030e-01 8.732290e-01
ExpRf1p360e15YOfl2p 8.340955e-01 1.541753e+00 7.156878e-01 -1.490685e-01
ExpGb1p360e15YOfl2p 8.615633e-01 1.681551e+00 7.605421e-01 -2.871791e-01
