Ytrue Ypred RelError Label
1.780000e+11 4.493135e+11 1.524233e+00 SC2973
2.150000e+11 5.665855e+11 1.635281e+00 SC312v2
2.670000e+11 6.515389e+11 1.440220e+00 SC312v6
7.090000e+12 5.701802e+12 1.957966e-01 SC3132v3
3.870000e+12 3.528437e+12 8.825910e-02 SC3132v5
1.910000e+12 1.881532e+12 1.490457e-02 SC3152v1
3.100000e+12 2.685262e+12 1.337865e-01 SC3152v3
3.630000e+11 6.686451e+11 8.419974e-01 SC320v10
4.500000e+11 7.674853e+11 7.055230e-01 SC320v7
1.940000e+11 6.085324e+11 2.136765e+00 SC3252v1
1.170000e+11 4.345326e+11 2.713954e+00 SC3383v1
9.310000e+11 1.485479e+12 5.955735e-01 SC3383v2
8.780000e+12 6.214176e+12 2.922351e-01 SC3411v10
7.570000e+12 5.172031e+12 3.167727e-01 SC3411v9
7.170000e+11 1.231419e+12 7.174605e-01 SC342v1
5.310000e+12 2.909253e+12 4.521181e-01 SC3491v2
7.230000e+12 2.655427e+12 6.327210e-01 SC3492v1
1.630000e+13 8.438151e+12 4.823220e-01 SC3501v6
1.600000e+13 6.908641e+12 5.682099e-01 SC3501v9
9.880000e+12 7.951063e+12 1.952365e-01 SC3502v10
1.520000e+13 7.518387e+12 5.053693e-01 SC3502v8
1.440000e+13 8.365482e+12 4.190637e-01 SC3503
1.490000e+12 1.673982e+12 1.234778e-01 SC3753v2
3.000000e+12 2.644194e+12 1.186021e-01 SC3753v5
3.200000e+12 2.991890e+12 6.503426e-02 SC3753v7
4.480000e+12 3.548287e+12 2.079716e-01 SC4023v2
7.210000e+12 5.891225e+12 1.829092e-01 SC4023v3
2.070000e+12 2.392150e+12 1.556280e-01 SC4023v5
