Ytrue Ypred RelError Label
1.780000e+11 9.664386e+11 4.429430e+00 SC2973
2.150000e+11 1.292656e+12 5.012353e+00 SC312v2
2.670000e+11 1.370752e+12 4.133901e+00 SC312v6
7.090000e+12 6.823793e+12 3.754682e-02 SC3132v3
3.870000e+12 5.342063e+12 3.803779e-01 SC3132v5
1.910000e+12 3.037892e+12 5.905196e-01 SC3152v1
3.100000e+12 5.548625e+12 7.898790e-01 SC3152v3
3.630000e+11 1.383125e+12 2.810263e+00 SC320v10
4.500000e+11 1.257762e+12 1.795026e+00 SC320v7
1.940000e+11 1.214987e+12 5.262820e+00 SC3252v1
1.170000e+11 9.306048e+11 6.953887e+00 SC3383v1
9.310000e+11 2.791600e+12 1.998496e+00 SC3383v2
8.780000e+12 6.466403e+12 2.635077e-01 SC3411v10
7.570000e+12 8.760495e+12 1.572649e-01 SC3411v9
7.170000e+11 2.221710e+12 2.098620e+00 SC342v1
5.310000e+12 5.921407e+12 1.151425e-01 SC3491v2
7.230000e+12 4.978539e+12 3.114053e-01 SC3492v1
1.630000e+13 7.202540e+12 5.581264e-01 SC3501v6
1.600000e+13 8.061903e+12 4.961310e-01 SC3501v9
9.880000e+12 7.907052e+12 1.996911e-01 SC3502v10
1.520000e+13 7.293667e+12 5.201535e-01 SC3502v8
1.440000e+13 7.456796e+12 4.821670e-01 SC3503
1.490000e+12 2.954457e+12 9.828568e-01 SC3753v2
3.000000e+12 5.280644e+12 7.602146e-01 SC3753v5
3.200000e+12 5.585451e+12 7.454536e-01 SC3753v7
4.480000e+12 5.436998e+12 2.136156e-01 SC4023v2
7.210000e+12 7.055210e+12 2.146873e-02 SC4023v3
2.070000e+12 5.482278e+12 1.648444e+00 SC4023v5
