Ytrue Ypred RelError Label
1.780000e+11 2.645694e+11 4.863450e-01 SC2973
2.150000e+11 4.474139e+11 1.080995e+00 SC312v2
2.670000e+11 4.104592e+11 5.373003e-01 SC312v6
7.090000e+12 7.190778e+12 1.421406e-02 SC3132v3
3.870000e+12 3.720190e+12 3.871070e-02 SC3132v5
1.910000e+12 2.124908e+12 1.125172e-01 SC3152v1
3.100000e+12 3.218623e+12 3.826537e-02 SC3152v3
3.630000e+11 3.545785e+11 2.319973e-02 SC320v10
4.500000e+11 3.807226e+11 1.539498e-01 SC320v7
1.940000e+11 3.268846e+11 6.849719e-01 SC3252v1
1.170000e+11 2.719386e+11 1.324262e+00 SC3383v1
9.310000e+11 1.219618e+12 3.100086e-01 SC3383v2
8.780000e+12 7.230168e+12 1.765184e-01 SC3411v10
7.570000e+12 7.811201e+12 3.186271e-02 SC3411v9
7.170000e+11 1.057795e+12 4.753069e-01 SC342v1
5.310000e+12 2.925982e+12 4.489675e-01 SC3491v2
7.230000e+12 3.636794e+12 4.969857e-01 SC3492v1
1.630000e+13 1.050562e+13 3.554836e-01 SC3501v6
1.600000e+13 9.863767e+12 3.835146e-01 SC3501v9
9.880000e+12 6.937434e+12 2.978306e-01 SC3502v10
1.520000e+13 9.928873e+12 3.467847e-01 SC3502v8
1.440000e+13 1.057688e+13 2.654943e-01 SC3503
1.490000e+12 1.964227e+12 3.182732e-01 SC3753v2
3.000000e+12 3.411702e+12 1.372341e-01 SC3753v5
3.200000e+12 3.618292e+12 1.307162e-01 SC3753v7
4.480000e+12 4.345997e+12 2.991149e-02 SC4023v2
7.210000e+12 7.400598e+12 2.643519e-02 SC4023v3
2.070000e+12 2.484194e+12 2.000937e-01 SC4023v5
