Ytrue Ypred RelError Label
1.780000e+11 6.382159e+11 2.585483e+00 SC2973
2.150000e+11 8.657267e+11 3.026636e+00 SC312v2
2.670000e+11 8.313984e+11 2.113852e+00 SC312v6
7.090000e+12 8.947107e+12 2.619332e-01 SC3132v3
3.870000e+12 4.450442e+12 1.499851e-01 SC3132v5
1.910000e+12 2.526533e+12 3.227924e-01 SC3152v1
3.100000e+12 3.744978e+12 2.080576e-01 SC3152v3
3.630000e+11 7.057958e+11 9.443410e-01 SC320v10
4.500000e+11 7.430800e+11 6.512889e-01 SC320v7
1.940000e+11 7.491955e+11 2.861833e+00 SC3252v1
1.170000e+11 6.683789e+11 4.712640e+00 SC3383v1
9.310000e+11 1.397354e+12 5.009173e-01 SC3383v2
8.780000e+12 1.036727e+13 1.807826e-01 SC3411v10
7.570000e+12 1.001464e+13 3.229377e-01 SC3411v9
7.170000e+11 1.314256e+12 8.329935e-01 SC342v1
5.310000e+12 4.081392e+12 2.313763e-01 SC3491v2
7.230000e+12 4.358392e+12 3.971796e-01 SC3492v1
1.630000e+13 1.690460e+13 3.709208e-02 SC3501v6
1.600000e+13 1.468607e+13 8.212049e-02 SC3501v9
9.880000e+12 9.545061e+12 3.390074e-02 SC3502v10
1.520000e+13 1.466858e+13 3.496204e-02 SC3502v8
1.440000e+13 1.566710e+13 8.799306e-02 SC3503
1.490000e+12 2.051888e+12 3.771063e-01 SC3753v2
3.000000e+12 3.661379e+12 2.204598e-01 SC3753v5
3.200000e+12 3.649991e+12 1.406222e-01 SC3753v7
4.480000e+12 4.655779e+12 3.923632e-02 SC4023v2
7.210000e+12 9.267872e+12 2.854192e-01 SC4023v3
2.070000e+12 3.170382e+12 5.315856e-01 SC4023v5
