Ytrue Ypred RelError Label
1.780000e+11 1.449869e+12 7.145332e+00 SC2973
2.150000e+11 1.541080e+12 6.167815e+00 SC312v2
2.670000e+11 1.468750e+12 4.500938e+00 SC312v6
7.090000e+12 3.786299e+12 4.659663e-01 SC3132v3
3.870000e+12 2.776167e+12 2.826443e-01 SC3132v5
1.910000e+12 2.188276e+12 1.456941e-01 SC3152v1
3.100000e+12 3.235958e+12 4.385732e-02 SC3152v3
3.630000e+11 1.696833e+12 3.674470e+00 SC320v10
4.500000e+11 1.736604e+12 2.859120e+00 SC320v7
1.940000e+11 1.408340e+12 6.259485e+00 SC3252v1
1.170000e+11 1.509204e+12 1.189918e+01 SC3383v1
9.310000e+11 2.333768e+12 1.506732e+00 SC3383v2
8.780000e+12 4.762173e+12 4.576113e-01 SC3411v10
7.570000e+12 5.500612e+12 2.733669e-01 SC3411v9
7.170000e+11 2.061082e+12 1.874591e+00 SC342v1
5.310000e+12 2.883039e+12 4.570547e-01 SC3491v2
7.230000e+12 2.954696e+12 5.913284e-01 SC3492v1
1.630000e+13 4.408219e+12 7.295571e-01 SC3501v6
1.600000e+13 4.067077e+12 7.458077e-01 SC3501v9
9.880000e+12 3.387226e+12 6.571634e-01 SC3502v10
1.520000e+13 4.616419e+12 6.962882e-01 SC3502v8
1.440000e+13 4.210616e+12 7.075961e-01 SC3503
1.490000e+12 2.176112e+12 4.604777e-01 SC3753v2
3.000000e+12 2.905251e+12 3.158292e-02 SC3753v5
3.200000e+12 2.815513e+12 1.201523e-01 SC3753v7
4.480000e+12 3.407236e+12 2.394562e-01 SC4023v2
7.210000e+12 3.973854e+12 4.488413e-01 SC4023v3
2.070000e+12 2.641092e+12 2.758897e-01 SC4023v5
