Ytrue Ypred RelError Label
1.780000e+11 4.189427e+11 1.353611e+00 SC2973
2.150000e+11 5.723342e+11 1.662019e+00 SC312v2
2.670000e+11 6.596631e+11 1.470648e+00 SC312v6
7.090000e+12 9.261386e+12 3.062604e-01 SC3132v3
3.870000e+12 5.237447e+12 3.533454e-01 SC3132v5
1.910000e+12 2.459271e+12 2.875766e-01 SC3152v1
3.100000e+12 3.853510e+12 2.430676e-01 SC3152v3
3.630000e+11 7.348234e+11 1.024307e+00 SC320v10
4.500000e+11 8.134538e+11 8.076751e-01 SC320v7
1.940000e+11 6.048624e+11 2.117847e+00 SC3252v1
1.170000e+11 4.430906e+11 2.787099e+00 SC3383v1
9.310000e+11 1.471500e+12 5.805588e-01 SC3383v2
8.780000e+12 1.063378e+13 2.111368e-01 SC3411v10
7.570000e+12 9.312451e+12 2.301785e-01 SC3411v9
7.170000e+11 1.132879e+12 5.800270e-01 SC342v1
5.310000e+12 4.627629e+12 1.285068e-01 SC3491v2
7.230000e+12 5.123724e+12 2.913245e-01 SC3492v1
1.630000e+13 2.052283e+13 2.590695e-01 SC3501v6
1.600000e+13 1.763126e+13 1.019540e-01 SC3501v9
9.880000e+12 1.103547e+13 1.169503e-01 SC3502v10
1.520000e+13 1.735884e+13 1.420288e-01 SC3502v8
1.440000e+13 2.041206e+13 4.175044e-01 SC3503
1.490000e+12 2.121131e+12 4.235776e-01 SC3753v2
3.000000e+12 4.141982e+12 3.806607e-01 SC3753v5
3.200000e+12 4.471240e+12 3.972624e-01 SC3753v7
4.480000e+12 5.443497e+12 2.150663e-01 SC4023v2
7.210000e+12 9.498230e+12 3.173689e-01 SC4023v3
2.070000e+12 3.040334e+12 4.687603e-01 SC4023v5
