N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.157452659E+00 1.140457648E+00 1.124871784E+00 1.111262771E+00
1.016672606E+01 1.159824637E+00 1.142796339E+00 1.127275163E+00 1.113830808E+00
1.033324570E+01 1.161763630E+00 1.144900533E+00 1.129662201E+00 1.116617834E+00
1.049996187E+01 1.163543971E+00 1.147064551E+00 1.132356901E+00 1.119985569E+00
1.066670514E+01 1.165416091E+00 1.149578945E+00 1.135698137E+00 1.124325279E+00
1.083333839E+01 1.167629135E+00 1.152750906E+00 1.140053324E+00 1.130058235E+00
1.100000000E+01 1.170449142E+00 1.156913709E+00 1.145810080E+00 1.137599719E+00
1.116672606E+01 1.174165794E+00 1.162412346E+00 1.153327089E+00 1.147263553E+00
1.133324570E+01 1.179076943E+00 1.169548125E+00 1.162825947E+00 1.159099622E+00
1.149996187E+01 1.185436413E+00 1.178469272E+00 1.174228959E+00 1.172708823E+00
1.166670514E+01 1.193354897E+00 1.189021887E+00 1.187009784E+00 1.187169698E+00
1.183333839E+01 1.202670880E+00 1.200637866E+00 1.200199752E+00 1.201241684E+00
1.200000000E+01 1.212862996E+00 1.212393475E+00 1.212669305E+00 1.213836368E+00
1.216672606E+01 1.223119178E+00 1.223312214E+00 1.223581073E+00 1.224441526E+00
1.233324570E+01 1.232612868E+00 1.232760948E+00 1.232677506E+00 1.233159000E+00
1.249996187E+01 1.240838063E+00 1.240632612E+00 1.240188091E+00 1.240404337E+00
1.266670514E+01 1.247742193E+00 1.247197364E+00 1.246520913E+00 1.246598336E+00
1.283333839E+01 1.253579167E+00 1.252824553E+00 1.252031121E+00 1.252045039E+00
1.300000000E+01 1.258670132E+00 1.257811937E+00 1.256961836E+00 1.256938160E+00
