N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+16 340 2.000E-4 1.230148520E+00 1.284083409E+00
1.468000E+10 3.162E+16 340 2.000E-4 1.245097290E+00 1.284307388E+00
2.154000E+10 3.162E+16 340 2.000E-4 1.256607242E+00 1.284631424E+00
3.162000E+10 3.162E+16 340 2.000E-4 1.265330114E+00 1.285097183E+00
4.642000E+10 3.162E+16 340 2.000E-4 1.271960015E+00 1.285760436E+00
6.813000E+10 3.162E+16 340 2.000E-4 1.277135572E+00 1.286692532E+00
1.000000E+11 3.162E+16 340 2.000E-4 1.281403019E+00 1.287978634E+00
1.468000E+11 3.162E+16 340 2.000E-4 1.285208539E+00 1.289709598E+00
2.154000E+11 3.162E+16 340 2.000E-4 1.288895550E+00 1.291964577E+00
3.162000E+11 3.162E+16 340 2.000E-4 1.292697338E+00 1.294784920E+00
4.642000E+11 3.162E+16 340 2.000E-4 1.296727993E+00 1.298147566E+00
6.813000E+11 3.162E+16 340 2.000E-4 1.300986623E+00 1.301954648E+00
1.000000E+12 3.162E+16 340 2.000E-4 1.305388557E+00 1.306052511E+00
1.468000E+12 3.162E+16 340 2.000E-4 1.309810848E+00 1.310272765E+00
2.154000E+12 3.162E+16 340 2.000E-4 1.314434491E+00 1.314760025E+00
3.162000E+12 3.162E+16 340 2.000E-4 1.318656263E+00 1.318894087E+00
4.642000E+12 3.162E+16 340 2.000E-4 1.322630616E+00 1.322809050E+00
6.813000E+12 3.162E+16 340 2.000E-4 1.326552351E+00 1.326689832E+00
1.000000E+13 3.162E+16 340 2.000E-4 1.330200344E+00 1.330309081E+00
