T d154 d184 d214 d244
d 150 180 210 240
290 1.481029000E-03 1.469117000E-03 1.463136000E-03 1.458862000E-03
295 1.425260000E-03 1.412075000E-03 1.407890000E-03 1.419529000E-03
300 1.349283000E-03 1.340344000E-03 1.342902000E-03 1.339458000E-03
305 1.256904000E-03 1.242078000E-03 1.249351000E-03 1.246047000E-03
310 1.154753000E-03 1.141350000E-03 1.144172000E-03 1.145320000E-03
315 1.048914000E-03 1.036270000E-03 1.037174000E-03 1.038116000E-03
320 9.455170000E-04 9.329990000E-04 9.301300000E-04 9.326030000E-04
325 8.499050000E-04 8.378630000E-04 8.338220000E-04 8.372360000E-04
330 7.669230000E-04 7.552850000E-04 7.502890000E-04 7.506400000E-04
335 6.992100000E-04 6.892090000E-04 6.840740000E-04 6.840970000E-04
340 6.505540000E-04 6.418470000E-04 6.366430000E-04 6.347990000E-04
