fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0T01 10:37:14 295.1 39.29 1.000E+000 6.450E-001 1.035E-006 1.353E+004 2.659E+000 1.344E-008 2.964E-004 
0T02 10:40:34 295 39.3 1.000E+000 6.450E-001 1.016E-006 1.354E+004 2.660E+000 1.332E-008 3.023E-004 
0T03 10:43:14 295.1 39.29 1.000E+000 6.450E-001 1.023E-006 1.355E+004 2.660E+000 1.341E-008 3.008E-004 
0T04 10:46:08 295.1 39.29 1.000E+000 6.450E-001 1.033E-006 1.344E+004 2.656E+000 1.349E-008 2.405E-004 
0T05 10:48:48 295 39.3 1.000E+000 6.450E-001 1.021E-006 1.335E+004 2.656E+000 1.341E-008 3.129E-004 
0T06 10:51:52 295.1 39.29 1.000E+000 6.450E-001 1.022E-006 1.371E+004 2.662E+000 1.334E-008 2.394E-004 
0T07 10:56:26 295 39.3 1.000E+000 6.450E-001 1.021E-006 1.366E+004 2.659E+000 1.332E-008 3.191E-004 
0T08 11:02:20 295 39.3 1.000E+000 6.450E-001 1.042E-006 1.318E+004 2.657E+000 1.336E-008 6.059E-003 
0T09 11:08:12 295.1 39.29 1.000E+000 6.450E-001 1.041E-006 1.359E+004 2.659E+000 1.337E-008 2.243E-004 
0T10 11:12:48 295.1 39.29 1.000E+000 6.450E-001 1.032E-006 1.348E+004 2.658E+000 1.343E-008 2.661E-004 
0T11 11:17:38 295.1 39.29 1.000E+000 6.450E-001 1.050E-006 1.365E+004 2.660E+000 1.337E-008 2.674E-004 
0T12 11:21:02 295.1 39.29 1.000E+000 6.450E-001 1.048E-006 1.353E+004 2.661E+000 1.333E-008 2.712E-004 
