x Ef Eg
10 0.21830912 1.106989
9.9999 0.21830952 1.106989
9.999799 0.21830992 1.106989
9.999693 0.21831034 1.106989
9.999579 0.21831079 1.106989
9.999455 0.21831128 1.106989
9.999316 0.21831183 1.106989
9.999156 0.21831245 1.106989
9.998971 0.21831317 1.106989
9.998751 0.21831402 1.106989
9.998487 0.21831503 1.106989
9.998166 0.21831625 1.106989
9.997769 0.21831774 1.106989
9.997276 0.21831958 1.106989
9.996655 0.21832184 1.106989
9.995867 0.21832465 1.106989
9.994862 0.21832814 1.106989
9.993572 0.21833248 1.106989
9.991907 0.21833782 1.106989
9.989751 0.21834435 1.106989
9.986951 0.21835222 1.106989
9.98331 0.2183615 1.106989
9.978574 0.21837213 1.106989
9.972413 0.21838384 1.106989
9.96441 0.21839611 1.106989
9.954038 0.21840814 1.106989
9.940637 0.21841896 1.106989
9.92339 0.2184277 1.106989
9.901299 0.21843386 1.106989
9.873159 0.21843754 1.106989
9.837538 0.21843933 1.106989
9.79276 0.21844002 1.106989
9.736902 0.21844022 1.106989
9.667796 0.21844027 1.106989
9.583061 0.21844027 1.106989
9.48014 0.21844028 1.106989
9.356379 0.21844028 1.106989
9.209113 0.21844028 1.106989
9.035797 0.21844028 1.106989
8.834139 0.21844028 1.106989
8.602264 0.21844028 1.106989
8.338876 0.21844029 1.106989
8.043417 0.21844029 1.106989
7.716204 0.21844029 1.106989
7.358533 0.21844029 1.106989
6.97274 0.2184403 1.106989
6.562193 0.2184403 1.106989
6.131229 0.2184403 1.106989
5.685025 0.21844031 1.106989
5.229404 0.21844031 1.106989
4.770596 0.21844031 1.106989
4.314975 0.21844032 1.106989
3.868771 0.21844032 1.106989
3.437807 0.21844032 1.106989
3.02726 0.21844033 1.106989
2.641467 0.21844033 1.106989
2.283796 0.21844033 1.106989
1.956583 0.21844033 1.106989
1.661124 0.21844033 1.106989
1.397736 0.21844034 1.106989
1.165861 0.21844034 1.106989
0.964203000000001 0.21844034 1.106989
0.790887000000001 0.21844034 1.106989
0.643621 0.21844042 1.106989
0.519860000000001 0.21844167 1.106989
0.416938999999999 0.21845704 1.106989
0.332204000000001 0.21859189 1.106989
0.263097999999999 0.21944189 1.106989
0.207239999999999 0.22329396 1.106989
0.162462000000001 0.23566493 1.106989
0.144652000000001 0.24727413 1.106989
0.126840999999999 0.26424784 1.106989
0.112770999999999 0.2824465 1.106989
0.0987009999999984 0.3053923 1.106989
0.0876550000000016 0.32696163 1.106989
0.0766099999999987 0.35174742 1.106989
0.0679860000000012 0.37336629 1.106989
0.0593630000000012 0.39698523 1.106989
0.0526620000000015 0.41672228 1.106989
0.0459619999999994 0.43767165 1.106989
0.040776000000001 0.45471843 1.106989
0.0355899999999991 0.47249203 1.106989
0.0275870000000005 0.50134556 1.106989
0.0214260000000017 0.52473811 1.106989
0.0166900000000005 0.54342111 1.106989
0.0130489999999988 0.55819223 1.106989
0.0102490000000017 0.56979498 1.106989
0.0080929999999988 0.57887609 1.106989
0.00642799999999966 0.58597476 1.106989
0.00513799999999875 0.59152813 1.106989
0.0041329999999995 0.59588385 1.106989
0.00334499999999949 0.59931467 1.106989
0.00272400000000061 0.60203257 1.106989
0.00223099999999832 0.60420133 1.106989
0.00183399999999878 0.60594697 1.106989
0.00151299999999921 0.6073663 1.106989
0.00124900000000139 0.60853375 1.106989
0.00102899999999906 0.60950666 1.106989
0.000844000000000733 0.61032941 1.106989
0.000683999999999685 0.61103663 1.106989
0.000544999999998907 0.61165561 1.106989
0.000420999999999339 0.61220827 1.106989
0.000306999999999391 0.61271261 1.106989
0.000201000000000562 0.61318397 1.106989
9.99999999997669E-5 0.61363605 1.106989
0 0.61408185 1.106989
