name time T kT_1 I
01RV 01rv.dat 297.7 38.95 3.684E-007
02RV 02rv.dat 297.8 38.93 3.549E-007
03RV 03rv.dat 300 38.65 4.097E-007
04RV 04rv.dat 300 38.65 3.842E-007
05RV 05rv.dat 300 38.65 3.840E-007
06RV 06rv.dat 302.6 38.32 4.518E-007
07RV 07rv.dat 302.5 38.33 4.745E-007
08RV 08rv.dat 302.5 38.33 4.546E-007
09RV 09rv.dat 305.1 38 5.591E-007
10RV 10rv.dat 305 38.01 5.174E-007
11RV 11rv.dat 305 38.01 5.508E-007
12RV 12rv.dat 307.6 37.69 5.683E-007
13RV 13rv.dat 307.5 37.7 5.794E-007
14RV 14rv.dat 307.6 37.69 6.064E-007
15RV 15rv.dat 307.5 37.7 5.805E-007
16RV 16rv.dat 310.1 37.39 6.346E-007
17RV 17rv.dat 310 37.4 6.686E-007
18RV 18rv.dat 310 37.4 6.808E-007
19RV 19rv.dat 312.5 37.1 7.026E-007
20RV 20rv.dat 312.5 37.1 7.643E-007
21RV 21rv.dat 312.5 37.1 7.299E-007
22RV 22rv.dat 315.1 36.8 8.416E-007
23RV 23rv.dat 315 36.81 7.891E-007
24RV 24rv.dat 315.1 36.8 8.068E-007
25RV 25rv.dat 317.5 36.52 9.207E-007
26RV 26rv.dat 317.5 36.52 9.026E-007
27RV 27rv.dat 317.5 36.52 8.633E-007
28RV 28rv.dat 320.1 36.22 9.879E-007
29RV 29rv.dat 320.1 36.22 1.032E-006
30RV 30rv.dat 320 36.23 1.004E-006
31RV 31rv.dat 322.6 35.94 1.116E-006
32RV 32rv.dat 322.5 35.95 1.070E-006
33RV 33rv.dat 322.5 35.95 1.104E-006
34RV 34rv.dat 325.1 35.66 1.093E-006
35RV 35rv.dat 325 35.67 1.228E-006
36RV 36rv.dat 325 35.67 1.166E-006
37RV 37rv.dat 327.5 35.4 1.297E-006
38RV 38rv.dat 327.5 35.4 1.310E-006
39RV 39rv.dat 327.5 35.4 1.332E-006
40RV 40rv.dat 330.1 35.12 1.484E-006
41RV 41rv.dat 330 35.13 1.466E-006
42RV 42rv.dat 330 35.13 1.364E-006
43RV 43rv.dat 332.5 34.87 1.480E-006
44RV 44rv.dat 332.5 34.87 1.513E-006
45RV 45rv.dat 332.5 34.87 1.510E-006
46RV 46rv.dat 335.1 34.6 1.704E-006
47RV 47rv.dat 335 34.61 1.684E-006
48RV 48rv.dat 335 34.61 1.705E-006
49RV 49rv.dat 337.6 34.34 1.878E-006
50RV 50rv.dat 337.5 34.35 1.908E-006
51RV 51rv.dat 337.5 34.35 1.923E-006
52RV 52rv.dat 340.1 34.09 2.179E-006
53RV 53rv.dat 340 34.1 2.200E-006
54RV 54rv.dat 340 34.1 2.103E-006
55RV 55rv.dat 340.1 34.09 2.236E-006
