name time T kT_1 I
01RV 01rv.dat 297.7 38.95 5.164E-006
02RV 02rv.dat 297.8 38.93 5.247E-006
03RV 03rv.dat 300 38.65 5.680E-006
04RV 04rv.dat 300 38.65 5.616E-006
05RV 05rv.dat 300 38.65 5.675E-006
06RV 06rv.dat 302.6 38.32 6.061E-006
07RV 07rv.dat 302.5 38.33 6.247E-006
08RV 08rv.dat 302.5 38.33 6.175E-006
09RV 09rv.dat 305.1 38 6.864E-006
10RV 10rv.dat 305 38.01 6.658E-006
11RV 11rv.dat 305 38.01 6.557E-006
12RV 12rv.dat 307.6 37.69 6.980E-006
13RV 13rv.dat 307.5 37.7 7.159E-006
14RV 14rv.dat 307.6 37.69 7.305E-006
15RV 15rv.dat 307.5 37.7 7.147E-006
16RV 16rv.dat 310.1 37.39 7.721E-006
17RV 17rv.dat 310 37.4 7.901E-006
18RV 18rv.dat 310 37.4 8.260E-006
19RV 19rv.dat 312.5 37.1 8.379E-006
20RV 20rv.dat 312.5 37.1 8.777E-006
21RV 21rv.dat 312.5 37.1 8.651E-006
22RV 22rv.dat 315.1 36.8 9.135E-006
23RV 23rv.dat 315 36.81 9.300E-006
24RV 24rv.dat 315.1 36.8 9.462E-006
25RV 25rv.dat 317.5 36.52 1.022E-005
26RV 26rv.dat 317.5 36.52 9.303E-006
27RV 27rv.dat 317.5 36.52 9.921E-006
28RV 28rv.dat 320.1 36.22 1.063E-005
29RV 29rv.dat 320.1 36.22 1.081E-005
30RV 30rv.dat 320 36.23 1.078E-005
31RV 31rv.dat 322.6 35.94 1.108E-005
32RV 32rv.dat 322.5 35.95 1.111E-005
33RV 33rv.dat 322.5 35.95 1.171E-005
34RV 34rv.dat 325.1 35.66 1.181E-005
35RV 35rv.dat 325 35.67 1.216E-005
36RV 36rv.dat 325 35.67 1.277E-005
37RV 37rv.dat 327.5 35.4 1.266E-005
38RV 38rv.dat 327.5 35.4 1.291E-005
39RV 39rv.dat 327.5 35.4 1.322E-005
40RV 40rv.dat 330.1 35.12 1.392E-005
41RV 41rv.dat 330 35.13 1.363E-005
42RV 42rv.dat 330 35.13 1.490E-005
43RV 43rv.dat 332.5 34.87 1.558E-005
44RV 44rv.dat 332.5 34.87 1.543E-005
45RV 45rv.dat 332.5 34.87 1.590E-005
46RV 46rv.dat 335.1 34.6 1.754E-005
47RV 47rv.dat 335 34.61 1.676E-005
48RV 48rv.dat 335 34.61 1.726E-005
49RV 49rv.dat 337.6 34.34 1.835E-005
50RV 50rv.dat 337.5 34.35 1.915E-005
51RV 51rv.dat 337.5 34.35 1.878E-005
52RV 52rv.dat 340.1 34.09 2.015E-005
53RV 53rv.dat 340 34.1 1.986E-005
54RV 54rv.dat 340 34.1 2.054E-005
55RV 55rv.dat 340.1 34.09 2.035E-005
