name time T kT_1 I
01RV 01rv.dat 297.7 38.95 1.603E-006
02RV 02rv.dat 297.8 38.93 1.639E-006
03RV 03rv.dat 300 38.65 1.823E-006
04RV 04rv.dat 300 38.65 1.795E-006
05RV 05rv.dat 300 38.65 1.852E-006
06RV 06rv.dat 302.6 38.32 2.013E-006
07RV 07rv.dat 302.5 38.33 2.129E-006
08RV 08rv.dat 302.5 38.33 2.084E-006
09RV 09rv.dat 305.1 38 2.298E-006
10RV 10rv.dat 305 38.01 2.247E-006
11RV 11rv.dat 305 38.01 2.326E-006
12RV 12rv.dat 307.6 37.69 2.456E-006
13RV 13rv.dat 307.5 37.7 2.503E-006
14RV 14rv.dat 307.6 37.69 2.571E-006
15RV 15rv.dat 307.5 37.7 2.469E-006
16RV 16rv.dat 310.1 37.39 2.797E-006
17RV 17rv.dat 310 37.4 2.877E-006
18RV 18rv.dat 310 37.4 2.991E-006
19RV 19rv.dat 312.5 37.1 2.977E-006
20RV 20rv.dat 312.5 37.1 3.122E-006
21RV 21rv.dat 312.5 37.1 3.169E-006
22RV 22rv.dat 315.1 36.8 3.261E-006
23RV 23rv.dat 315 36.81 3.336E-006
24RV 24rv.dat 315.1 36.8 3.415E-006
25RV 25rv.dat 317.5 36.52 3.769E-006
26RV 26rv.dat 317.5 36.52 3.555E-006
27RV 27rv.dat 317.5 36.52 3.649E-006
28RV 28rv.dat 320.1 36.22 3.909E-006
29RV 29rv.dat 320.1 36.22 4.015E-006
30RV 30rv.dat 320 36.23 3.950E-006
31RV 31rv.dat 322.6 35.94 4.222E-006
32RV 32rv.dat 322.5 35.95 4.415E-006
33RV 33rv.dat 322.5 35.95 4.249E-006
34RV 34rv.dat 325.1 35.66 4.630E-006
35RV 35rv.dat 325 35.67 4.754E-006
36RV 36rv.dat 325 35.67 4.923E-006
37RV 37rv.dat 327.5 35.4 5.262E-006
38RV 38rv.dat 327.5 35.4 5.161E-006
39RV 39rv.dat 327.5 35.4 5.207E-006
40RV 40rv.dat 330.1 35.12 5.798E-006
41RV 41rv.dat 330 35.13 5.676E-006
42RV 42rv.dat 330 35.13 5.779E-006
43RV 43rv.dat 332.5 34.87 6.161E-006
44RV 44rv.dat 332.5 34.87 6.138E-006
45RV 45rv.dat 332.5 34.87 6.282E-006
46RV 46rv.dat 335.1 34.6 6.677E-006
47RV 47rv.dat 335 34.61 6.752E-006
48RV 48rv.dat 335 34.61 6.738E-006
49RV 49rv.dat 337.6 34.34 7.331E-006
50RV 50rv.dat 337.5 34.35 7.497E-006
51RV 51rv.dat 337.5 34.35 7.353E-006
52RV 52rv.dat 340.1 34.09 8.123E-006
53RV 53rv.dat 340 34.1 8.057E-006
54RV 54rv.dat 340 34.1 8.123E-006
55RV 55rv.dat 340.1 34.09 8.025E-006
