N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 7.4662831E-06 -6.3910822E-03 -4.9757287E-03 -1.6783538E-03 9.0836103E-06 -6.3559316E-03 -4.9657706E-03 -1.6500492E-03 1.1394404E-03 9.0827405E-03 -7.2399678E-03 5.9393399E-03
1.000000E+10 1.000E+15 3.800E-4 1.8555002E-06 -6.4766375E-03 -5.0007944E-03 -1.7456258E-03 1.8634476E-06 -6.4022754E-03 -4.9798598E-03 -1.6838213E-03 2.1747554E-06 9.0910779E-03 -7.9488066E-03 6.9171006E-03
1.000000E+10 1.778E+15 1.800E-4 8.8777396E-06 -6.3610327E-03 -4.9776076E-03 -1.6414701E-03 1.9060509E-05 -6.3143218E-03 -4.9598335E-03 -1.6163089E-03 8.6656047E-03 1.8420058E-02 -6.0214719E-02 1.1501864E-02
1.000000E+10 1.778E+15 3.800E-4 3.9901496E-06 -6.4116302E-03 -5.0023339E-03 -1.6692924E-03 2.2173207E-05 -6.3323376E-03 -4.9665526E-03 -1.6334667E-03 5.9018540E-03 1.4483683E-02 -7.4458154E-02 8.8779429E-03
1.000000E+10 3.162E+15 1.800E-4 1.2526156E-05 -6.3272616E-03 -4.9688849E-03 -1.6147321E-03 3.3954181E-05 -6.2849202E-03 -4.9511651E-03 -1.6054244E-03 2.9700594E-02 3.5262967E-02 1.1617087E+00 1.3324085E-02
1.000000E+10 3.162E+15 3.800E-4 8.9638739E-06 -6.3556140E-03 -4.9827262E-03 -1.6291134E-03 4.9073609E-05 -6.2714824E-03 -4.9482399E-03 -1.6072029E-03 2.0610688E-02 3.0225352E-02 3.2788023E-01 1.6930847E-02
1.000000E+10 5.623E+15 1.800E-4 2.0761567E-05 -6.3026947E-03 -4.9579950E-03 -1.6060284E-03 5.9479254E-05 -6.2548934E-03 -4.9447704E-03 -1.6020030E-03 -3.8841179E-01 -3.4127888E-01 -7.1537418E-02 2.9004334E-02
1.000000E+10 5.623E+15 3.800E-4 1.8793973E-05 -6.3066305E-03 -4.9588326E-03 -1.6074318E-03 9.0089685E-05 -6.2177757E-03 -4.9338184E-03 -1.6000139E-03 -1.4594568E+00 -8.4562544E-01 -8.3339709E-02 2.8428226E-02
1.000000E+10 1.000E+16 1.800E-4 3.8115008E-05 -6.2780867E-03 -4.9502853E-03 -1.6026764E-03 1.0556160E-04 -6.2119366E-03 -4.9411439E-03 -1.6008015E-03 -4.3162461E-02 -3.6715076E-02 -1.8753607E-02 -4.2365594E-02
1.000000E+10 1.000E+16 3.800E-4 3.6508267E-05 -6.2671309E-03 -4.9402724E-03 -1.5989882E-03 1.5577958E-04 -6.1497559E-03 -4.9240372E-03 -1.5959025E-03 -3.5157039E-02 -3.1414493E-02 -1.8414046E-02 -3.9682548E-02
