N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+17 290 1.800E-4 4.898480E-1 2.593360E+1 5.207250E-1 8.133630E+1 4.741891E-1 2.503920E+1 5.195440E-1 8.130880E+1 -3.3022480E+00 -3.5719991E+00 -2.2731472E-01 -3.3821677E-02
1.468000E+10 1.000E+17 290 1.800E-4 4.890141E-1 2.588590E+1 5.206630E-1 8.133460E+1 4.669894E-1 2.462810E+1 5.189590E-1 8.129820E+1 -4.7163169E+00 -5.1071743E+00 -3.2834964E-01 -4.4773439E-02
2.154000E+10 1.000E+17 290 1.800E-4 4.877999E-1 2.581630E+1 5.205730E-1 8.133210E+1 4.571578E-1 2.405440E+1 5.181540E-1 8.123840E+1 -6.7027403E+00 -7.3246475E+00 -4.6684962E-01 -1.1533954E-01
3.162000E+10 1.000E+17 290 1.800E-4 4.860384E-1 2.571540E+1 5.204410E-1 8.132850E+1 4.441013E-1 2.331170E+1 5.170690E-1 8.121460E+1 -9.4431383E+00 -1.0311131E+01 -6.5213734E-01 -1.4024572E-01
4.642000E+10 1.000E+17 290 1.800E-4 4.834966E-1 2.556990E+1 5.202500E-1 8.132330E+1 4.273679E-1 2.236300E+1 5.156520E-1 8.118270E+1 -1.3133579E+01 -1.4340205E+01 -8.9168664E-01 -1.7318961E-01
6.813000E+10 1.000E+17 290 1.800E-4 4.798566E-1 2.536160E+1 5.199730E-1 8.131590E+1 4.068243E-1 2.120310E+1 5.138600E-1 8.114050E+1 -1.7951804E+01 -1.9612698E+01 -1.1896236E+00 -2.1616825E-01
1.000000E+11 1.000E+17 290 1.800E-4 4.747001E-1 2.506680E+1 5.195550E-1 8.130890E+1 3.827950E-1 1.985230E+1 5.116750E-1 8.108530E+1 -2.4008960E+01 -2.6266478E+01 -1.5400401E+00 -2.7575898E-01
1.468000E+11 1.000E+17 290 1.800E-4 4.675054E-1 2.465570E+1 5.189680E-1 8.129830E+1 3.560559E-1 1.835600E+1 5.090320E-1 8.102260E+1 -3.1301124E+01 -3.4319569E+01 -1.9519402E+00 -3.4027543E-01
2.154000E+11 1.000E+17 290 1.800E-4 4.576732E-1 2.408180E+1 5.181600E-1 8.123840E+1 3.276418E-1 1.676390E+1 5.059140E-1 8.090780E+1 -3.9687061E+01 -4.3652730E+01 -2.4205695E+00 -4.0861326E-01
3.162000E+11 1.000E+17 290 1.800E-4 4.446037E-1 2.333800E+1 5.170700E-1 8.121430E+1 2.985685E-1 1.515630E+1 5.024750E-1 8.082110E+1 -4.8911791E+01 -5.3982172E+01 -2.9046221E+00 -4.8650662E-01
4.642000E+11 1.000E+17 290 1.800E-4 4.278353E-1 2.238700E+1 5.156450E-1 8.118210E+1 2.696431E-1 1.356710E+1 4.986220E-1 8.072700E+1 -5.8667253E+01 -6.5009471E+01 -3.4140090E+00 -5.6375190E-01
6.813000E+11 1.000E+17 290 1.800E-4 4.072255E-1 2.122300E+1 5.138420E-1 8.113960E+1 2.414451E-1 1.202070E+1 4.943160E-1 8.057460E+1 -6.8661737E+01 -7.6553778E+01 -3.9501048E+00 -7.0121353E-01
1.000000E+12 1.000E+17 290 1.800E-4 3.830957E-1 1.986620E+1 5.116410E-1 8.108370E+1 2.144075E-1 1.055840E+1 4.897030E-1 8.044810E+1 -7.8676446E+01 -8.8155402E+01 -4.4798582E+00 -7.9007459E-01
1.468000E+12 1.000E+17 290 1.800E-4 3.562301E-1 1.836240E+1 5.089750E-1 8.102040E+1 1.888831E-1 9.183300E+0 4.845270E-1 8.027460E+1 -8.8598186E+01 -9.9954265E+01 -5.0457456E+00 -9.2906100E-01
2.154000E+12 1.000E+17 290 1.800E-4 3.276842E-1 1.676270E+1 5.058340E-1 8.090440E+1 1.651556E-1 7.924100E+0 4.790600E-1 8.012330E+1 -9.8409379E+01 -1.1154074E+02 -5.5888615E+00 -9.7487248E-01
3.162000E+12 1.000E+17 290 1.800E-4 2.984980E-1 1.514860E+1 5.023700E-1 8.081620E+1 1.434245E-1 6.778000E+0 4.731020E-1 7.991280E+1 -1.0812204E+02 -1.2349661E+02 -6.1864038E+00 -1.1304822E+00
4.642000E+12 1.000E+17 290 1.800E-4 2.694946E-1 1.355490E+1 4.984830E-1 8.072100E+1 1.237960E-1 5.759900E+0 4.667800E-1 7.974150E+1 -1.1769249E+02 -1.3533221E+02 -6.7918506E+00 -1.2283441E+00
6.813000E+12 1.000E+17 290 1.800E-4 2.412552E-1 1.200600E+1 4.941520E-1 8.056580E+1 1.062880E-1 4.859400E+0 4.601810E-1 7.948090E+1 -1.2698254E+02 -1.4706754E+02 -7.3820953E+00 -1.3649820E+00
1.000000E+13 1.000E+17 290 1.800E-4 2.142040E-1 1.054260E+1 4.894990E-1 8.043800E+1 9.084557E-2 4.076500E+0 4.531060E-1 7.922680E+1 -1.3578915E+02 -1.5861891E+02 -8.0318954E+00 -1.5287756E+00
