Complexity,Loss,Equation
1,0.42223287,"2.2390075"
2,0.42223284,"PowInv(0.44664496)"
3,0.4222328,"4.3139668 + -2.0748494"
4,0.017242393,"3.471699 / exp(por)"
5,0.001855565,"(-2.7423384 * por) + 3.491744"
7,0.0016979434,"3.444729 + ((por ^ 1.0629231) * -2.7437842)"
8,0.0015819324,"((3.0891135 ^ tanh(por)) * -1.915677) + 5.350724"
9,0.0009318894,"(0.9972511 ^ lb) + (3.4876597 + (por * -2.7527096))"
10,0.0005710951,"(3.475552 + (-2.7372363 * por)) / cos(-266.15662 / lb)"
12,0.0003930528,"((-2.7388425 * (por ^ 1.066566)) + 3.425897) / cos(267.341 / lb)"
13,0.0002676984,"((sin(por ^ 1.1955041) * -3.0255196) + 3.3877249) / cos(-269.1328 / lb)"
14,0.00024901304,"((3.4052205 + (por * -3.707353)) / cos(306.44052 / lb)) + (por ^ 0.817378)"
15,0.00014610498,"(((sin(por ^ 1.1771628) * -4.114345) + 3.365697) / cos(305.42212 / lb)) + por"
16,0.00014172128,"sin(por) + (((sin(por ^ 1.1444606) * -4.0027213) + 3.3783267) / cos(-302.58994 / lb))"
17,0.00011074889,"((sin(por ^ 1.1929432) * -3.0067072) + 3.3830285) / cos((-301.4092 + (lb ^ por)) / lb)"
19,8.846842e-5,"(3.6140456 + (-2.829821 * sin((0.16758665 + por) ^ 1.4307456))) / cos((-302.17828 + (lb ^ por)) / lb)"
20,8.8467874e-5,"((sin((tanh(0.16900523) + por) ^ 1.430563) * -2.8300064) + 3.6137636) / cos((-302.17822 + (lb ^ por)) / lb)"
21,7.3178424e-5,"((sin(((0.46509844 + por) * por) ^ 0.81174505) * -2.4989657) + 3.4241765) / cos(((lb ^ por) + -301.38916) / lb)"
23,6.789365e-5,"((sin(((por + 0.4941187) * por) ^ 0.8252387) * -2.4607437) + 3.4199002) / cos(310.7898 / ((lb ^ (0.22000854 + por)) + lb))"
25,6.344599e-5,"(3.420772 + (sin((por * (por + 0.497832)) ^ 0.8274638) * -2.4577236)) / cos(283.20602 / (-61.773636 + (lb + (lb ^ (por + 0.20866401)))))"
