Ytrue por Lambda Ypred RelError
2.756100e+00 2.700000e+01 7.013000e+03 2.762780e+00 2.423763e-03
2.812230e+00 2.600000e+01 2.680000e+03 2.802991e+00 3.285252e-03
3.080490e+00 1.400000e+01 5.329000e+03 3.093270e+00 4.148817e-03
2.828490e+00 2.500000e+01 3.063000e+03 2.825714e+00 9.814088e-04
3.359370e+00 3.000000e+00 6.270000e+03 3.344681e+00 4.372676e-03
1.602150e+00 6.800000e+01 7.426000e+03 1.604130e+00 1.235585e-03
2.382480e+00 4.100000e+01 7.613000e+03 2.372355e+00 4.249762e-03
2.734770e+00 2.900000e+01 2.134000e+03 2.731178e+00 1.313335e-03
1.399850e+00 7.600000e+01 7.830000e+03 1.402930e+00 2.199959e-03
1.772310e+00 6.200000e+01 3.350000e+03 1.770798e+00 8.533017e-04
1.573390e+00 6.900000e+01 2.101000e+03 1.584238e+00 6.894427e-03
1.350850e+00 7.900000e+01 1.569000e+03 1.339536e+00 8.375531e-03
2.561250e+00 3.400000e+01 4.894000e+03 2.573539e+00 4.798003e-03
1.563130e+00 6.900000e+01 8.622000e+03 1.577655e+00 9.292495e-03
1.991430e+00 5.400000e+01 7.903000e+03 1.995188e+00 1.886848e-03
3.144600e+00 1.200000e+01 2.678000e+03 3.154231e+00 3.062737e-03
3.049570e+00 1.600000e+01 2.932000e+03 3.055493e+00 1.942141e-03
2.244130e+00 4.600000e+01 5.468000e+03 2.228998e+00 6.742884e-03
2.371620e+00 4.100000e+01 7.145000e+03 2.372566e+00 3.986965e-04
3.434140e+00 3.000000e+00 1.236000e+03 3.439858e+00 1.665080e-03
2.631190e+00 3.200000e+01 8.101000e+03 2.626392e+00 1.823618e-03
1.442310e+00 7.400000e+01 6.187000e+03 1.451231e+00 6.185376e-03
1.585070e+00 6.900000e+01 1.131000e+03 1.601509e+00 1.037141e-02
2.433270e+00 3.900000e+01 3.679000e+03 2.435010e+00 7.151466e-04
2.147660e+00 4.900000e+01 7.778000e+03 2.140368e+00 3.395111e-03
3.218540e+00 1.000000e+01 2.318000e+03 3.207249e+00 3.507958e-03
1.333830e+00 8.000000e+01 1.276000e+03 1.319790e+00 1.052580e-02
