Ytrue por Lambda Ypred RelError
4.148410e+00 0.000000e+00 5.300000e+02 4.144998e+00 8.224827e-04
4.042680e+00 0.000000e+00 5.600000e+02 4.048139e+00 1.350440e-03
3.960940e+00 0.000000e+00 5.900000e+02 3.970131e+00 2.320463e-03
3.895970e+00 0.000000e+00 6.200000e+02 3.906256e+00 2.640143e-03
3.842200e+00 0.000000e+00 6.500000e+02 3.853213e+00 2.866421e-03
3.798220e+00 0.000000e+00 6.800000e+02 3.808631e+00 2.741082e-03
3.761240e+00 0.000000e+00 7.100000e+02 3.770764e+00 2.532206e-03
3.729450e+00 0.000000e+00 7.400000e+02 3.738302e+00 2.373666e-03
3.701460e+00 0.000000e+00 7.700000e+02 3.710246e+00 2.373542e-03
3.677470e+00 0.000000e+00 8.000000e+02 3.685818e+00 2.269981e-03
3.656670e+00 0.000000e+00 8.300000e+02 3.664409e+00 2.116495e-03
3.637670e+00 0.000000e+00 8.600000e+02 3.645535e+00 2.162095e-03
3.621680e+00 0.000000e+00 8.900000e+02 3.628805e+00 1.967184e-03
3.606690e+00 0.000000e+00 9.200000e+02 3.613901e+00 1.999298e-03
3.593690e+00 0.000000e+00 9.500000e+02 3.600564e+00 1.912836e-03
3.581690e+00 0.000000e+00 9.800000e+02 3.588580e+00 1.923571e-03
3.569700e+00 0.000000e+00 1.010000e+03 3.577769e+00 2.260279e-03
3.560890e+00 0.000000e+00 1.040000e+03 3.567981e+00 1.991323e-03
3.551890e+00 0.000000e+00 1.070000e+03 3.559090e+00 2.027153e-03
3.543390e+00 0.000000e+00 1.100000e+03 3.550989e+00 2.144608e-03
3.536400e+00 0.000000e+00 1.130000e+03 3.543586e+00 2.032043e-03
3.529920e+00 0.000000e+00 1.160000e+03 3.536802e+00 1.949737e-03
3.523940e+00 0.000000e+00 1.190000e+03 3.530570e+00 1.881506e-03
3.518460e+00 0.000000e+00 1.220000e+03 3.524831e+00 1.810773e-03
3.513380e+00 0.000000e+00 1.250000e+03 3.519534e+00 1.751546e-03
3.508680e+00 0.000000e+00 1.280000e+03 3.514634e+00 1.696911e-03
3.504300e+00 0.000000e+00 1.310000e+03 3.510092e+00 1.652915e-03
