N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.546118800E-01 -1.516333340E-01 -1.492708740E-01 -1.472576320E-01
1.600000000E+01 2.944313000E-02 2.942288200E-02 2.895334900E-02 2.868993700E-02
1.700000000E+01 6.240514900E-02 6.092797400E-02 5.887787100E-02 5.885714200E-02
1.549996187E+01 -1.529756000E-03 -1.833849000E-03 -1.504000000E-04 1.438400000E-03
1.649996187E+01 5.027766700E-02 5.017590100E-02 4.950804000E-02 4.907657300E-02
1.674996808E+01 5.945024000E-02 5.690335100E-02 5.669868200E-02 5.607121600E-02
1.624993176E+01 3.944991200E-02 3.923023300E-02 3.890335800E-02 3.815965800E-02
1.574996808E+01 1.986569600E-02 1.969410900E-02 1.973732000E-02 2.073169400E-02
1.524993176E+01 -6.541949900E-02 -6.261751800E-02 -5.904663600E-02 -5.507220800E-02
