T d154 d184 d214 d244
d 150 180 210 240
290 4.058300000E-05 3.600000000E-05 3.309000000E-05 3.119100000E-05
295 3.606600000E-05 3.212400000E-05 2.946000000E-05 2.776000000E-05
300 3.280800000E-05 2.899500000E-05 2.691600000E-05 2.538400000E-05
305 3.037400000E-05 2.705900000E-05 2.549400000E-05 2.394500000E-05
310 2.881200000E-05 2.602300000E-05 2.428700000E-05 2.328300000E-05
315 2.776700000E-05 2.566200000E-05 2.444000000E-05 2.377600000E-05
320 2.726700000E-05 2.594100000E-05 2.549200000E-05 2.542800000E-05
325 2.554000000E-05 2.561800000E-05 2.643200000E-05 2.755800000E-05
330 1.954100000E-05 2.191500000E-05 2.509400000E-05 2.845000000E-05
335 3.942000000E-06 9.971000000E-06 1.695000000E-05 2.405900000E-05
340 1.896100000E-05 1.567800000E-05 1.369600000E-05 1.236600000E-05
