T d154 d184 d214 d244
d 150 180 210 240
290 1.296418000E-03 1.035367000E-03 8.623230000E-04 7.410460000E-04
295 1.170554000E-03 9.461830000E-04 7.995620000E-04 6.978220000E-04
300 1.096890000E-03 9.041820000E-04 7.784860000E-04 6.920530000E-04
305 1.054291000E-03 8.910200000E-04 7.841190000E-04 7.118500000E-04
310 1.039561000E-03 9.019880000E-04 8.107860000E-04 7.497700000E-04
315 1.028714000E-03 9.144130000E-04 8.373990000E-04 7.829360000E-04
320 9.985000000E-04 8.948250000E-04 8.231190000E-04 7.676000000E-04
325 9.231790000E-04 7.293390000E-04 6.490290000E-04 5.809240000E-04
330 4.400430000E-04 2.276920000E-04 1.286350000E-04 4.250300000E-05
335 6.363510000E-04 4.824790000E-04 3.846940000E-04 3.166880000E-04
340 6.732620000E-04 5.265300000E-04 4.307770000E-04 3.632930000E-04
