T d154 d184 d214 d244
d 150 180 210 240
290 2.458000000E-05 2.299800000E-05 2.200000000E-05 2.141100000E-05
295 2.180300000E-05 2.045000000E-05 1.947700000E-05 1.892400000E-05
300 1.962400000E-05 1.820700000E-05 1.749300000E-05 1.696100000E-05
305 1.785300000E-05 1.661300000E-05 1.598600000E-05 1.552500000E-05
310 1.659800000E-05 1.556600000E-05 1.497800000E-05 1.472400000E-05
315 1.575900000E-05 1.506200000E-05 1.474000000E-05 1.465600000E-05
320 1.563100000E-05 1.538400000E-05 1.552300000E-05 1.579200000E-05
325 1.575400000E-05 1.644700000E-05 1.739400000E-05 1.838800000E-05
330 1.546700000E-05 1.783400000E-05 2.034100000E-05 2.270000000E-05
335 1.290200000E-05 1.816700000E-05 2.326900000E-05 2.790700000E-05
340 6.081000000E-06 1.542100000E-05 2.406600000E-05 3.162000000E-05
