fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B565FE100_T 1317912114 0 555 4.858485589E-07 1.211000000E+00 6.771948535E-09 0.000000000E+00 2.200000000E+00 7.458842640E-04 
B565FE101_T 1317912114 0 555 5.045416014E-07 1.211000000E+00 5.320993605E-09 0.000000000E+00 2.200000000E+00 8.282359497E-04 
B565FE102_T 1317912114 0 555 5.235460247E-07 1.211000000E+00 5.291266715E-09 0.000000000E+00 2.200000000E+00 9.289666277E-04 
B565FE103_T 1317912114 0 555 5.598003864E-07 1.211000000E+00 5.420166134E-09 0.000000000E+00 2.200000000E+00 5.473060524E-04 
B565FE140_T 1317912114 0 555 4.910754191E-07 1.211000000E+00 6.264421966E-09 0.000000000E+00 2.200000000E+00 8.175845290E-04 
B565FE141_T 1317912114 0 555 5.065216763E-07 1.211000000E+00 5.286975587E-09 0.000000000E+00 2.200000000E+00 8.468777258E-04 
B565FE142_T 1317912114 0 555 5.289832194E-07 1.211000000E+00 5.319272032E-09 0.000000000E+00 2.200000000E+00 8.409701180E-04 
B565FE210_T 1317912114 0 555 4.953256788E-07 1.211000000E+00 5.907690947E-09 0.000000000E+00 2.200000000E+00 7.972821977E-04 
B565FE211_T 1317912114 0 555 5.089535590E-07 1.211000000E+00 5.286805386E-09 0.000000000E+00 2.200000000E+00 8.737136720E-04 
B565FE212_T 1317912114 0 555 5.347994686E-07 1.211000000E+00 5.177619708E-09 0.000000000E+00 2.200000000E+00 8.508714255E-04 
B565FE310_T 1317912114 0 555 4.984524654E-07 1.211000000E+00 5.666714583E-09 0.000000000E+00 2.200000000E+00 7.938209520E-04 
B565FE311_T 1317912114 0 555 5.116118614E-07 1.211000000E+00 5.279944086E-09 0.000000000E+00 2.200000000E+00 8.819518329E-04 
B565FE312_T 1317912114 0 555 5.408860168E-07 1.211000000E+00 5.385335064E-09 0.000000000E+00 2.200000000E+00 7.982074246E-04 
B565FE460_T 1317912114 0 555 5.008341734E-07 1.211000000E+00 5.503794261E-09 0.000000000E+00 2.200000000E+00 7.994307061E-04 
B565FE461_T 1317912114 0 555 5.146818962E-07 1.211000000E+00 5.262983821E-09 0.000000000E+00 2.200000000E+00 8.731145577E-04 
B565FE462_T 1317912114 0 555 5.472656750E-07 1.211000000E+00 5.386034031E-09 0.000000000E+00 2.200000000E+00 7.822216166E-04 
B565FE680_T 1317912114 0 555 5.027785586E-07 1.211000000E+00 5.394118544E-09 0.000000000E+00 2.200000000E+00 8.109653133E-04 
B565FE681_T 1317912114 0 555 5.185710671E-07 1.211000000E+00 5.254588908E-09 0.000000000E+00 2.200000000E+00 8.876184157E-04 
B565FE682_T 1317912114 0 555 5.536389049E-07 1.211000000E+00 5.422694837E-09 0.000000000E+00 2.200000000E+00 6.408224714E-04 
