d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.183211450E+00 1.198035371E+00 -1.482392100E-02 1.182679592E+00 1.196295167E+00 -1.361557500E-02 5.318580000E-04 1.740204000E-03
150 1.524993176E+01 1.211778536E+00 1.202583592E+00 9.194944000E-03 1.210583795E+00 1.200186403E+00 1.039739200E-02 1.194741000E-03 2.397189000E-03
150 1.549996187E+01 1.227311148E+00 1.206621566E+00 2.068958200E-02 1.225050917E+00 1.203374480E+00 2.167643700E-02 2.260231000E-03 3.247086000E-03
150 1.574996808E+01 1.239477229E+00 1.212931852E+00 2.654537700E-02 1.235380804E+00 1.208964625E+00 2.641617900E-02 4.096425000E-03 3.967227000E-03
150 1.600000000E+01 1.251650137E+00 1.218568955E+00 3.308118200E-02 1.244430057E+00 1.213877119E+00 3.055293800E-02 7.220080000E-03 4.691836000E-03
150 1.624993176E+01 1.264583815E+00 1.219279831E+00 4.530398400E-02 1.252358746E+00 1.213978159E+00 3.838058700E-02 1.222506900E-02 5.301672000E-03
150 1.649996187E+01 1.280004224E+00 1.219514050E+00 6.049017400E-02 1.260344630E+00 1.213364038E+00 4.698059200E-02 1.965959400E-02 6.150012000E-03
150 1.674996808E+01 1.297941567E+00 1.225075899E+00 7.286566800E-02 1.268066184E+00 1.217732423E+00 5.033376100E-02 2.987538300E-02 7.343476000E-03
150 1.700000000E+01 1.318641147E+00 1.237850886E+00 8.079026100E-02 1.275648218E+00 1.228709794E+00 4.693842400E-02 4.299292900E-02 9.141092000E-03
180 1.500000000E+01 1.177423613E+00 1.194967540E+00 -1.754392700E-02 1.176979715E+00 1.193561947E+00 -1.658223200E-02 4.438980000E-04 1.405593000E-03
180 1.524993176E+01 1.207902216E+00 1.199497780E+00 8.404436000E-03 1.206895326E+00 1.197546759E+00 9.348567000E-03 1.006890000E-03 1.951021000E-03
180 1.549996187E+01 1.223206554E+00 1.203521930E+00 1.968462400E-02 1.221312292E+00 1.200837980E+00 2.047431200E-02 1.894262000E-03 2.683950000E-03
180 1.574996808E+01 1.236503596E+00 1.210015725E+00 2.648787100E-02 1.233066285E+00 1.206689809E+00 2.637647600E-02 3.437311000E-03 3.325916000E-03
180 1.600000000E+01 1.248450042E+00 1.215642353E+00 3.280768900E-02 1.242330218E+00 1.211607663E+00 3.072255500E-02 6.119824000E-03 4.034690000E-03
180 1.624993176E+01 1.261485711E+00 1.216568174E+00 4.491753700E-02 1.250903272E+00 1.211849656E+00 3.905361600E-02 1.058243900E-02 4.718518000E-03
180 1.649996187E+01 1.275856346E+00 1.216730118E+00 5.912622800E-02 1.258374434E+00 1.211060939E+00 4.731349500E-02 1.748191200E-02 5.669179000E-03
180 1.674996808E+01 1.292294973E+00 1.222430612E+00 6.986436100E-02 1.265022676E+00 1.215427945E+00 4.959473100E-02 2.727229700E-02 7.002667000E-03
180 1.700000000E+01 1.313690889E+00 1.235116471E+00 7.857441800E-02 1.273524791E+00 1.226180429E+00 4.734436200E-02 4.016609800E-02 8.936042000E-03
210 1.500000000E+01 1.171461818E+00 1.192230528E+00 -2.076871000E-02 1.171075449E+00 1.191046094E+00 -1.997064500E-02 3.863690000E-04 1.184434000E-03
210 1.524993176E+01 1.204654280E+00 1.196744139E+00 7.910141000E-03 1.203768963E+00 1.195087682E+00 8.681281000E-03 8.853170000E-04 1.656457000E-03
210 1.549996187E+01 1.221082182E+00 1.200702358E+00 2.037982400E-02 1.219427710E+00 1.198417444E+00 2.101026600E-02 1.654472000E-03 2.284914000E-03
210 1.574996808E+01 1.233034742E+00 1.207356137E+00 2.567860500E-02 1.230040417E+00 1.204459347E+00 2.558107000E-02 2.994325000E-03 2.896790000E-03
210 1.600000000E+01 1.245866194E+00 1.213324761E+00 3.254143300E-02 1.240500911E+00 1.209724554E+00 3.077635700E-02 5.365283000E-03 3.600207000E-03
210 1.624993176E+01 1.258626595E+00 1.214219819E+00 4.440677600E-02 1.249215240E+00 1.209883306E+00 3.933193400E-02 9.411355000E-03 4.336513000E-03
210 1.649996187E+01 1.273035874E+00 1.214485596E+00 5.855027800E-02 1.257152971E+00 1.209096423E+00 4.805654800E-02 1.588290300E-02 5.389173000E-03
210 1.674996808E+01 1.289697975E+00 1.220477154E+00 6.922082100E-02 1.264353819E+00 1.213557070E+00 5.079674900E-02 2.534415600E-02 6.920084000E-03
210 1.700000000E+01 1.309498534E+00 1.233705513E+00 7.579302100E-02 1.271316758E+00 1.224854992E+00 4.646176600E-02 3.818177600E-02 8.850521000E-03
240 1.500000000E+01 1.164531199E+00 1.189788613E+00 -2.525741400E-02 1.164186855E+00 1.188760401E+00 -2.457354600E-02 3.443440000E-04 1.028212000E-03
240 1.524993176E+01 1.201647813E+00 1.194602404E+00 7.045409000E-03 1.200846172E+00 1.193151788E+00 7.694384000E-03 8.016410000E-04 1.450616000E-03
240 1.549996187E+01 1.218743996E+00 1.198621255E+00 2.012274100E-02 1.217254441E+00 1.196609881E+00 2.064456000E-02 1.489555000E-03 2.011374000E-03
240 1.574996808E+01 1.231040013E+00 1.204965244E+00 2.607476900E-02 1.228354667E+00 1.202371706E+00 2.598296100E-02 2.685346000E-03 2.593538000E-03
240 1.600000000E+01 1.242435768E+00 1.210779746E+00 3.165602200E-02 1.237611541E+00 1.207485834E+00 3.012570700E-02 4.824227000E-03 3.293912000E-03
240 1.624993176E+01 1.256154265E+00 1.212153334E+00 4.400093100E-02 1.247587128E+00 1.208073200E+00 3.951392800E-02 8.567137000E-03 4.080134000E-03
240 1.649996187E+01 1.270511018E+00 1.212618578E+00 5.789244000E-02 1.255823903E+00 1.207443200E+00 4.838070300E-02 1.468711500E-02 5.175378000E-03
