N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+16 340 2.100E-4 1.085747837E+00 1.281514251E+00
1.468000E+10 3.162E+16 340 2.100E-4 1.109491950E+00 1.281540477E+00
2.154000E+10 3.162E+16 340 2.100E-4 1.135566980E+00 1.281578881E+00
3.162000E+10 3.162E+16 340 2.100E-4 1.162190597E+00 1.281635114E+00
4.642000E+10 3.162E+16 340 2.100E-4 1.187441018E+00 1.281717336E+00
6.813000E+10 3.162E+16 340 2.100E-4 1.209795404E+00 1.281837383E+00
1.000000E+11 3.162E+16 340 2.100E-4 1.228450682E+00 1.282012308E+00
1.468000E+11 3.162E+16 340 2.100E-4 1.243316582E+00 1.282266290E+00
2.154000E+11 3.162E+16 340 2.100E-4 1.254796317E+00 1.282633187E+00
3.162000E+11 3.162E+16 340 2.100E-4 1.263530635E+00 1.283159482E+00
4.642000E+11 3.162E+16 340 2.100E-4 1.270210065E+00 1.283906760E+00
6.813000E+11 3.162E+16 340 2.100E-4 1.275474245E+00 1.284952720E+00
1.000000E+12 3.162E+16 340 2.100E-4 1.279871823E+00 1.286387840E+00
1.468000E+12 3.162E+16 340 2.100E-4 1.283849244E+00 1.288305049E+00
2.154000E+12 3.162E+16 340 2.100E-4 1.287743986E+00 1.290778809E+00
3.162000E+12 3.162E+16 340 2.100E-4 1.291774773E+00 1.293836711E+00
4.642000E+12 3.162E+16 340 2.100E-4 1.296033647E+00 1.297434296E+00
6.813000E+12 3.162E+16 340 2.100E-4 1.300496297E+00 1.301450633E+00
1.000000E+13 3.162E+16 340 2.100E-4 1.305060154E+00 1.305715395E+00
