N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+16 305 2.800E-4 2.912919E-1 2.695980E+1 4.679790E-1 7.910860E+1
1.468000E+10 1.000E+16 305 2.800E-4 2.902189E-1 2.682220E+1 4.674050E-1 7.909260E+1
2.154000E+10 1.000E+16 305 2.800E-4 2.886786E-1 2.662610E+1 4.665970E-1 7.906990E+1
3.162000E+10 1.000E+16 305 2.800E-4 2.864892E-1 2.635030E+1 4.654800E-1 7.903810E+1
4.642000E+10 1.000E+16 305 2.800E-4 2.834200E-1 2.596870E+1 4.639680E-1 7.899390E+1
6.813000E+10 1.000E+16 305 2.800E-4 2.791987E-1 2.545250E+1 4.619760E-1 7.893290E+1
1.000000E+11 1.000E+16 305 2.800E-4 2.735400E-1 2.477310E+1 4.593990E-1 7.885520E+1
1.468000E+11 1.000E+16 305 2.800E-4 2.662014E-1 2.389540E+1 4.561220E-1 7.871960E+1
2.154000E+11 1.000E+16 305 2.800E-4 2.570641E-1 2.284850E+1 4.523290E-1 7.860030E+1
3.162000E+11 1.000E+16 305 2.800E-4 2.462065E-1 2.163710E+1 4.479720E-1 7.847110E+1
4.642000E+11 1.000E+16 305 2.800E-4 2.339189E-1 2.028590E+1 4.431940E-1 7.827010E+1
6.813000E+11 1.000E+16 305 2.800E-4 2.206245E-1 1.887470E+1 4.381130E-1 7.810890E+1
1.000000E+12 1.000E+16 305 2.800E-4 2.067342E-1 1.741830E+1 4.327580E-1 7.787720E+1
1.468000E+12 1.000E+16 305 2.800E-4 1.925280E-1 1.597240E+1 4.271360E-1 7.769100E+1
2.154000E+12 1.000E+16 305 2.800E-4 1.781398E-1 1.452440E+1 4.212720E-1 7.741690E+1
3.162000E+12 1.000E+16 305 2.800E-4 1.636358E-1 1.310480E+1 4.149800E-1 7.719450E+1
4.642000E+12 1.000E+16 305 2.800E-4 1.491093E-1 1.170340E+1 4.083950E-1 7.687550E+1
6.813000E+12 1.000E+16 305 2.800E-4 1.347214E-1 1.034550E+1 4.014090E-1 7.652270E+1
1.000000E+13 1.000E+16 305 2.800E-4 1.206837E-1 9.058300E+0 3.939860E-1 7.620400E+1
1.468000E+13 1.000E+16 305 2.800E-4 1.072155E-1 7.844600E+0 3.862260E-1 7.577580E+1
2.154000E+13 1.000E+16 305 2.800E-4 9.450987E-2 6.726000E+0 3.781320E-1 7.528280E+1
3.162000E+13 1.000E+16 305 2.800E-4 8.271525E-2 5.712300E+0 3.697000E-1 7.472070E+1
4.642000E+13 1.000E+16 305 2.800E-4 7.192932E-2 4.807500E+0 3.608540E-1 7.408790E+1
6.813000E+13 1.000E+16 305 2.800E-4 6.220039E-2 4.010900E+0 3.516230E-1 7.335520E+1
1.000000E+14 1.000E+16 305 2.800E-4 5.353270E-2 3.320200E+0 3.419860E-1 7.254380E+1
