V d42 d61c d64b V1 d61a V2 d64a
-1.200000e+00 2.719500e-09 1.769781e-09 1.501070e-09 -1.200000e+00 1.932756e-09 -1.200000e+00 1.022275e-09
-1.000000e+00 2.992287e-09 2.085986e-09 1.759310e-09 -1.000000e+00 2.086818e-09 -1.000000e+00 1.466347e-09
-8.000000e-01 3.384601e-09 2.326346e-09 2.043496e-09 -8.000000e-01 2.517863e-09 -8.000000e-01 1.691887e-09
-6.000000e-01 3.758352e-09 2.617876e-09 2.313693e-09 -6.000000e-01 2.658938e-09 -6.000000e-01 2.505988e-09
-4.000000e-01 4.194598e-09 3.209146e-09 2.709651e-09 -4.000000e-01 3.272493e-09 -6.000000e-01 2.505988e-09
-2.000000e-01 7.079702e-09 3.973822e-09 3.856442e-09 -4.000000e-01 3.272493e-09 -4.000000e-01 2.873780e-09
0.000000e+00 7.626556e-09 4.676002e-09 3.094430e-09 -2.000000e-01 4.254098e-09 -2.000000e-01 3.600392e-09
2.000000e-01 8.295915e-09 8.415451e-09 6.632769e-09 0.000000e+00 6.003625e-09 0.000000e+00 3.550831e-09
4.000000e-01 7.146656e-08 9.818785e-09 6.529206e-09 2.000000e-01 1.068577e-08 2.000000e-01 4.680285e-09
NaN NaN NaN NaN 4.000000e-01 8.326747e-09 4.000000e-01 8.896864e-09
