T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.194855597E+00 1.194872841E+00 1.194898085E+00 1.194935041E+00 1.195013244E+00 1.195113469E+00 1.195242941E+00 1.195416619E+00 1.195661426E+00 1.196026265E+00 1.196526424E+00 1.197230060E+00 1.198226154E+00 1.199584354E+00 1.201416682E+00 1.203804795E+00 1.206798071E+00 1.210433663E+00 1.214612394E+00
295 1.194928571E+00 1.194944386E+00 1.194967540E+00 1.195001441E+00 1.195051041E+00 1.195123509E+00 1.195266657E+00 1.195456412E+00 1.195675981E+00 1.196006700E+00 1.196459150E+00 1.197096575E+00 1.197980092E+00 1.199190141E+00 1.200825935E+00 1.202939162E+00 1.205604049E+00 1.208822104E+00 1.212567498E+00
300 1.194432011E+00 1.194448992E+00 1.194473843E+00 1.194510192E+00 1.194563291E+00 1.194640696E+00 1.194753196E+00 1.194915982E+00 1.195165548E+00 1.195516001E+00 1.195976422E+00 1.196630718E+00 1.197506882E+00 1.198681522E+00 1.200221913E+00 1.202176060E+00 1.204599779E+00 1.207493916E+00 1.210835705E+00
305 1.191371244E+00 1.191395904E+00 1.191431975E+00 1.191484637E+00 1.191561355E+00 1.191672739E+00 1.191833662E+00 1.192064525E+00 1.192392473E+00 1.192852018E+00 1.193484225E+00 1.194333597E+00 1.195437151E+00 1.196838301E+00 1.198552809E+00 1.200592319E+00 1.202965134E+00 1.205675592E+00 1.208714433E+00
310 1.181627806E+00 1.181676097E+00 1.181746654E+00 1.181849531E+00 1.181999071E+00 1.182215495E+00 1.182526706E+00 1.182970083E+00 1.183593520E+00 1.184454062E+00 1.185612138E+00 1.187118783E+00 1.188996566E+00 1.191221206E+00 1.193719453E+00 1.196396015E+00 1.199178958E+00 1.202048274E+00 1.205019914E+00
315 1.155293319E+00 1.155401374E+00 1.155559211E+00 1.155789240E+00 1.156123400E+00 1.156606505E+00 1.157300102E+00 1.158285949E+00 1.159667114E+00 1.161562834E+00 1.164091223E+00 1.167333711E+00 1.171281866E+00 1.175786266E+00 1.180551355E+00 1.185218886E+00 1.189511870E+00 1.193341680E+00 1.196788201E+00
320 1.094825616E+00 1.095056068E+00 1.095392780E+00 1.095883726E+00 1.096597320E+00 1.097629833E+00 1.099113963E+00 1.101226799E+00 1.104193077E+00 1.108275062E+00 1.113734930E+00 1.120753422E+00 1.129300492E+00 1.138997848E+00 1.149083264E+00 1.158592367E+00 1.166747009E+00 1.173269528E+00 1.178365671E+00
325 1.013999108E+00 1.014002938E+00 1.014008589E+00 1.014016944E+00 1.014029338E+00 1.014047805E+00 1.014075492E+00 1.014117329E+00 1.014181181E+00 1.014279743E+00 1.016571729E+00 1.029342253E+00 1.045282291E+00 1.063854570E+00 1.083628781E+00 1.102517635E+00 1.118597683E+00 1.130979932E+00 1.139963900E+00
330 1.015154463E+00 1.015152139E+00 1.015148788E+00 1.015143995E+00 1.015137230E+00 1.015127875E+00 1.015115351E+00 1.015099483E+00 1.015081356E+00 1.015065112E+00 1.015061418E+00 1.015093405E+00 1.015205534E+00 1.015473662E+00 1.016011274E+00 1.016963528E+00 1.032438533E+00 1.054114167E+00 1.069740655E+00
335 1.018567305E+00 1.018556514E+00 1.018540779E+00 1.018517909E+00 1.018484817E+00 1.018437262E+00 1.018369603E+00 1.018274770E+00 1.018144788E+00 1.017972597E+00 1.017756293E+00 1.017507222E+00 1.017263223E+00 1.017104241E+00 1.017163509E+00 1.017620640E+00 1.018667491E+00 1.020458373E+00 1.023077184E+00
340 1.024997157E+00 1.024974901E+00 1.024942401E+00 1.024895055E+00 1.024826322E+00 1.024727056E+00 1.024584774E+00 1.024383084E+00 1.024101804E+00 1.023718819E+00 1.023215412E+00 1.022587911E+00 1.021866628E+00 1.021140874E+00 1.020578180E+00 1.020417909E+00 1.020922733E+00 1.022301873E+00 1.024654408E+00
