N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+15 335 1.008019961E+00 1.009196382E+00
1.468000E+10 1.000e+15 335 1.008347314E+00 1.009184023E+00
2.154000E+10 1.000e+15 335 1.008594816E+00 1.009165986E+00
3.162000E+10 1.000e+15 335 1.008779612E+00 1.009175611E+00
4.642000E+10 1.000e+15 335 1.008921413E+00 1.009196751E+00
6.813000E+10 1.000e+15 335 1.009039392E+00 1.009230431E+00
1.000000E+11 1.000e+15 335 1.009145808E+00 1.009278411E+00
1.468000E+11 1.000e+15 335 1.009249906E+00 1.009342053E+00
2.154000E+11 1.000e+15 335 1.009374357E+00 1.009438790E+00
3.162000E+11 1.000e+15 335 1.009531808E+00 1.009577179E+00
4.642000E+11 1.000e+15 335 1.009735773E+00 1.009768892E+00
6.813000E+11 1.000e+15 335 1.009874862E+00 1.009898345E+00
1.000000E+12 1.000e+15 335 1.010133842E+00 1.010150862E+00
1.468000E+12 1.000e+15 335 1.010714770E+00 1.010727838E+00
2.154000E+12 1.000e+15 335 1.011523924E+00 1.011534328E+00
3.162000E+12 1.000e+15 335 1.012370497E+00 1.012378977E+00
4.642000E+12 1.000e+15 335 1.013792861E+00 1.013800179E+00
6.813000E+12 1.000e+15 335 1.015707666E+00 1.015714227E+00
1.000000E+13 1.000e+15 335 1.017969518E+00 1.017974516E+00
