N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+15 310 1.139375606E+00 1.143037851E+00
1.468000E+10 1.000e+15 310 1.140444847E+00 1.143060891E+00
2.154000E+10 1.000e+15 310 1.141249207E+00 1.143094682E+00
3.162000E+10 1.000e+15 310 1.141853410E+00 1.143144229E+00
4.642000E+10 1.000e+15 310 1.142318699E+00 1.143216854E+00
6.813000E+10 1.000e+15 310 1.142699839E+00 1.143323267E+00
1.000000E+11 1.000e+15 310 1.143046216E+00 1.143479022E+00
1.468000E+11 1.000e+15 310 1.143405389E+00 1.143706703E+00
2.154000E+11 1.000e+15 310 1.143738081E+00 1.143832797E+00
3.162000E+11 1.000e+15 310 1.143941207E+00 1.144006600E+00
4.642000E+11 1.000e+15 310 1.144200626E+00 1.144246053E+00
6.813000E+11 1.000e+15 310 1.144536093E+00 1.144567816E+00
1.000000E+12 1.000e+15 310 1.144964304E+00 1.144986671E+00
1.468000E+12 1.000e+15 310 1.145495097E+00 1.145511054E+00
2.154000E+12 1.000e+15 310 1.146098513E+00 1.146109899E+00
3.162000E+12 1.000e+15 310 1.146811069E+00 1.146819368E+00
4.642000E+12 1.000e+15 310 1.147443612E+00 1.147449646E+00
6.813000E+12 1.000e+15 310 1.148007221E+00 1.148011702E+00
1.000000E+13 1.000e+15 310 1.148663082E+00 1.148666441E+00
