N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+15 300 1.136726014E+00 1.137991276E+00
1.468000E+10 1.000e+15 300 1.137131766E+00 1.137996625E+00
2.154000E+10 1.000e+15 300 1.137414452E+00 1.138005118E+00
3.162000E+10 1.000e+15 300 1.137613515E+00 1.138016732E+00
4.642000E+10 1.000e+15 300 1.137759225E+00 1.138034428E+00
6.813000E+10 1.000e+15 300 1.137871999E+00 1.138059863E+00
1.000000E+11 1.000e+15 300 1.137968688E+00 1.138096968E+00
1.468000E+11 1.000e+15 300 1.138062718E+00 1.138150361E+00
2.154000E+11 1.000e+15 300 1.138167128E+00 1.138227089E+00
3.162000E+11 1.000e+15 300 1.138294972E+00 1.138336057E+00
4.642000E+11 1.000e+15 300 1.138460360E+00 1.138488523E+00
6.813000E+11 1.000e+15 300 1.138678091E+00 1.138697488E+00
1.000000E+12 1.000e+15 300 1.138962500E+00 1.138975896E+00
1.468000E+12 1.000e+15 300 1.139323464E+00 1.139332756E+00
2.154000E+12 1.000e+15 300 1.139761503E+00 1.139767981E+00
3.162000E+12 1.000e+15 300 1.140183281E+00 1.140187832E+00
4.642000E+12 1.000e+15 300 1.140694289E+00 1.140697488E+00
6.813000E+12 1.000e+15 300 1.140929883E+00 1.140932138E+00
1.000000E+13 1.000e+15 300 1.141140699E+00 1.141142342E+00
