N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.155293319E+00 1.198149880E+00 1.210120392E+00 1.218415813E+00 1.225225500E+00 1.227312778E+00 1.226477316E+00 1.229518460E+00 1.238866530E+00
1.016672606E+01 1.155401374E+00 1.198186366E+00 1.210147387E+00 1.218452467E+00 1.225285995E+00 1.227425811E+00 1.226710131E+00 1.230003067E+00 1.239810405E+00
1.033324570E+01 1.155559211E+00 1.198239672E+00 1.210186876E+00 1.218506027E+00 1.225374207E+00 1.227589837E+00 1.227044673E+00 1.230687465E+00 1.241107995E+00
1.049996187E+01 1.155789240E+00 1.198317350E+00 1.210244523E+00 1.218584178E+00 1.225502466E+00 1.227826618E+00 1.227520923E+00 1.231638382E+00 1.242846005E+00
1.066670514E+01 1.156123400E+00 1.198430217E+00 1.210328499E+00 1.218697884E+00 1.225688157E+00 1.228165942E+00 1.228190080E+00 1.232930557E+00 1.245096592E+00
1.083333839E+01 1.156606505E+00 1.198593459E+00 1.210450413E+00 1.218862658E+00 1.225955358E+00 1.228647170E+00 1.229113426E+00 1.234635721E+00 1.247891215E+00
1.100000000E+01 1.157300102E+00 1.198827984E+00 1.210626523E+00 1.219100117E+00 1.226336525E+00 1.229338569E+00 1.230356976E+00 1.236803939E+00 1.251195976E+00
1.116672606E+01 1.158285949E+00 1.199161746E+00 1.210879168E+00 1.219439553E+00 1.226873715E+00 1.230252522E+00 1.231980143E+00 1.239441417E+00 1.254903815E+00
1.133324570E+01 1.159667114E+00 1.199630452E+00 1.211238121E+00 1.219919355E+00 1.227618247E+00 1.231475789E+00 1.234018892E+00 1.242495920E+00 1.258869734E+00
1.149996187E+01 1.161562834E+00 1.200276774E+00 1.211741405E+00 1.220587193E+00 1.228627639E+00 1.233067652E+00 1.236469139E+00 1.245862853E+00 1.262898311E+00
1.166670514E+01 1.164091223E+00 1.201146556E+00 1.212434809E+00 1.221497979E+00 1.229958056E+00 1.235038396E+00 1.239280400E+00 1.249415219E+00 1.266889451E+00
1.183333839E+01 1.167333711E+00 1.202281231E+00 1.213369077E+00 1.222708101E+00 1.231652888E+00 1.237393239E+00 1.242368154E+00 1.253043753E+00 1.270813191E+00
1.200000000E+01 1.171281866E+00 1.203707470E+00 1.214594183E+00 1.224265913E+00 1.233730731E+00 1.240079505E+00 1.245641658E+00 1.256685601E+00 1.274638087E+00
1.216672606E+01 1.175786266E+00 1.205428996E+00 1.216151353E+00 1.226200539E+00 1.236179321E+00 1.243057348E+00 1.249032899E+00 1.260330236E+00 1.278455596E+00
1.233324570E+01 1.180551355E+00 1.207427744E+00 1.218064870E+00 1.228514202E+00 1.238960503E+00 1.246250206E+00 1.252512250E+00 1.264007015E+00 1.282304831E+00
1.249996187E+01 1.185218886E+00 1.209676236E+00 1.220336870E+00 1.231182960E+00 1.242025168E+00 1.249617219E+00 1.256087502E+00 1.267766297E+00 1.286249761E+00
1.266670514E+01 1.189511870E+00 1.212151619E+00 1.222947667E+00 1.234166812E+00 1.245330649E+00 1.253146219E+00 1.259791580E+00 1.271663419E+00 1.290378925E+00
1.283333839E+01 1.193341680E+00 1.214838765E+00 1.225862553E+00 1.237424557E+00 1.248852778E+00 1.256850151E+00 1.263667516E+00 1.275751478E+00 1.294740530E+00
1.300000000E+01 1.196788201E+00 1.217723529E+00 1.229043394E+00 1.240926780E+00 1.252588703E+00 1.260756215E+00 1.267756602E+00 1.280090571E+00 1.299287145E+00
