fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00S1 9:20 309.1 37.51 1.000E+000 5.727E+000 1.617E-006 7.392E+002 2.411E+000 5.019E-008 1.547E-005 1.063E-002 1.534E-005 4.088E-008 2.507E-001 5.300E-003 7.568E-006 1.408E-003 
00S2 9:39 313.6 36.97 1.000E+000 6.779E+000 1.375E-006 7.591E+002 2.420E+000 5.432E-008 1.462E-005 1.010E-002 1.448E-005 3.665E-008 2.508E-001 5.100E-003 7.042E-006 1.261E-001 
00S3 10:15 316.8 36.6 1.000E+000 3.317E+000 1.739E-006 7.724E+002 2.419E+000 5.709E-008 1.650E-005 1.136E-002 1.642E-005 4.682E-008 2.511E-001 5.700E-003 8.070E-006 7.741E-003 
00S4 10:32 319.5 36.29 1.000E+000 3.758E+000 1.787E-006 7.830E+002 2.402E+000 6.295E-008 1.369E-005 9.446E-003 1.361E-005 3.228E-008 2.510E-001 4.700E-003 6.723E-006 1.054E-002 
00S5 10:50 322.2 35.98 1.000E+000 4.291E+000 1.829E-006 7.929E+002 2.396E+000 6.654E-008 1.445E-005 9.907E-003 1.436E-005 3.572E-008 2.511E-001 5.000E-003 6.999E-006 5.168E-004 
00S6 11:7 324.5 35.73 1.000E+000 4.917E+000 1.806E-006 8.007E+002 2.399E+000 6.838E-008 1.418E-005 9.626E-003 1.407E-005 3.404E-008 2.512E-001 4.800E-003 6.945E-006 2.183E-002 
00S7 11:31 327.5 35.4 1.000E+000 4.608E+000 1.929E-006 8.100E+002 2.402E+000 7.169E-008 1.326E-005 8.873E-003 1.317E-005 2.935E-008 2.512E-001 4.400E-003 6.522E-006 4.771E-004 
00S8 11:54 330.7 35.06 1.000E+000 5.805E+000 1.767E-006 8.186E+002 2.443E+000 7.066E-008 1.638E-005 1.061E-002 1.624E-005 4.337E-008 2.518E-001 5.300E-003 8.030E-006 1.360E-003 
00S9 12:15 334.4 34.67 1.000E+000 6.350E+000 2.108E-006 8.267E+002 2.370E+000 8.502E-008 1.241E-005 7.980E-003 1.229E-005 2.467E-008 2.515E-001 4.000E-003 6.014E-006 3.651E-004 
0S10 12:33 337.8 34.32 1.000E+000 6.634E+000 2.641E-006 8.323E+002 2.355E+000 9.180E-008 1.234E-005 7.708E-003 1.221E-005 2.368E-008 2.516E-001 3.900E-003 5.914E-006 3.566E-002 
0S11 12:59 341.5 33.95 1.000E+000 4.543E+000 2.201E-006 8.361E+002 2.368E+000 9.490E-008 1.282E-005 7.636E-003 1.273E-005 2.446E-008 2.518E-001 3.800E-003 6.271E-006 4.670E-004 
