N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 5.661775000E-03 -1.835140000E-03 -1.842672000E-02 -5.154863600E-02 -1.109353940E-01 -1.492708740E-01 -9.988257700E-02 -3.030085000E-03 9.621425000E-03 1.644725500E-02 2.557873600E-02
1.600000000E+01 3.175638200E-02 3.110772200E-02 3.072558800E-02 3.020938200E-02 2.977808600E-02 2.895334900E-02 2.763727300E-02 2.422629500E-02 1.642563500E-02 4.750050000E-03 -1.656440200E-02
1.700000000E+01 6.650158200E-02 6.402936800E-02 6.177548000E-02 6.035216200E-02 5.922624000E-02 5.887787100E-02 5.974091400E-02 6.115591800E-02 6.329227600E-02 6.678011400E-02 7.042491900E-02
1.549996187E+01 2.320024500E-02 2.260058900E-02 2.137271900E-02 1.819404500E-02 1.189981600E-02 -1.504000000E-04 -2.270215700E-02 -6.214930900E-02 -1.247030800E-01 -1.669814480E-01 -1.194317260E-01
1.649996187E+01 5.439335700E-02 5.236569800E-02 5.118858600E-02 4.992565500E-02 4.930693800E-02 4.950804000E-02 4.980570300E-02 5.035634200E-02 5.146190800E-02 5.185774600E-02 5.157129300E-02
1.674996808E+01 6.243536600E-02 6.014975600E-02 5.869020600E-02 5.730153900E-02 5.649699300E-02 5.669868200E-02 5.712900900E-02 5.817005400E-02 6.021826300E-02 6.217515400E-02 6.425795700E-02
1.624993176E+01 4.219444000E-02 4.084654800E-02 3.980481300E-02 3.945062600E-02 3.910919300E-02 3.890335800E-02 3.901175500E-02 3.856523500E-02 3.729281400E-02 3.497241000E-02 2.923775800E-02
1.574996808E+01 2.586115400E-02 2.593254100E-02 2.552716800E-02 2.472340000E-02 2.296767600E-02 1.973732000E-02 1.293224500E-02 2.175660000E-04 -2.221916400E-02 -6.073947400E-02 -1.198110010E-01
1.524993176E+01 1.604449500E-02 1.414121200E-02 9.263796000E-03 -1.045239000E-03 -2.143348300E-02 -5.904663600E-02 -1.218913720E-01 -1.567814180E-01 -1.062646190E-01 -1.094801900E-02 8.256451000E-03
