T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 -3.452067000E-03 1.273622200E-02 2.195035700E-02 2.595806100E-02 3.344382400E-02 4.596739500E-02 6.071203900E-02 7.163517300E-02 7.832186400E-02
295 -2.076871000E-02 7.910141000E-03 2.037982400E-02 2.567860500E-02 3.254143300E-02 4.440677600E-02 5.855027800E-02 6.922082100E-02 7.579302100E-02
300 -5.717648800E-02 -3.224987000E-03 1.721603200E-02 2.453053100E-02 3.188965400E-02 4.341989500E-02 5.798759300E-02 6.877247100E-02 7.465944700E-02
305 -1.250890250E-01 -2.611265700E-02 1.006226300E-02 2.239595300E-02 3.121305000E-02 4.352174300E-02 5.752091500E-02 6.888416800E-02 7.578230900E-02
310 -1.632565510E-01 -6.987611600E-02 -3.975278000E-03 1.822001400E-02 3.010569000E-02 4.346707700E-02 5.800493700E-02 7.018923200E-02 7.789978900E-02
315 -1.325081700E-01 -1.448977490E-01 -3.064609100E-02 1.040588200E-02 2.794731600E-02 4.338321200E-02 5.991858800E-02 7.348302800E-02 8.157997900E-02
320 -6.218373200E-02 -1.694235580E-01 -7.875014800E-02 -5.271120000E-03 2.416576600E-02 4.360767700E-02 6.153656800E-02 7.685012000E-02 8.782624200E-02
325 1.080813200E-02 -1.346040750E-01 -1.561917260E-01 -3.389008000E-02 1.563365400E-02 4.213040000E-02 6.319264700E-02 8.091542800E-02 9.437287400E-02
330 1.887785000E-02 -6.074751100E-02 -1.759236270E-01 -8.234841000E-02 -1.523114000E-03 3.837008000E-02 6.562609100E-02 8.682255000E-02 1.018570110E-01
335 2.939867300E-02 9.755702000E-03 -1.404377690E-01 -1.578958040E-01 -2.906074200E-02 3.153777700E-02 6.577593900E-02 9.143513000E-02 1.116558650E-01
340 4.235575800E-02 1.593556100E-02 -6.885897300E-02 -1.830827240E-01 -7.588777600E-02 1.665071600E-02 6.364902400E-02 9.545007900E-02 1.201603820E-01
