fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
00D1 30988 329.82 35.153 1.042348471E+00 6.411442473E-01 7.313623260E-09 1.000000000E+20 8.985879567E-01 2.407507843E-01 
00D2 31144 329.91 35.144 1.044338743E+00 6.197066829E-01 7.471893802E-09 1.000000000E+20 8.982394802E-01 5.630390201E-02 
00D3 31286 329.99 35.135 1.045441196E+00 6.370273056E-01 7.655976656E-09 1.000000000E+20 8.977783936E-01 2.567632222E-02 
00D4 31384 329.91 35.144 1.045381433E+00 6.251638797E-01 7.549596957E-09 1.000000000E+20 8.979450963E-01 1.257881566E-02 
00D5 31532 330.01 35.133 1.043524420E+00 6.475369295E-01 7.577373169E-09 1.000000000E+20 8.981299985E-01 3.987808049E-02 
00D6 31654 330.01 35.133 1.043114916E+00 6.496971669E-01 7.529262216E-09 1.000000000E+20 8.983112968E-01 2.168776179E-02 
00D7 31740 329.99 35.135 1.038971442E+00 6.858880000E-01 7.187526852E-09 1.000000000E+20 8.995754461E-01 5.417068911E-02 
00D8 31892 329.98 35.136 1.043073159E+00 6.671698477E-01 7.507759492E-09 1.000000000E+20 8.983058569E-01 4.021325409E-02 
00D9 32010 330.02 35.132 1.042396179E+00 6.712172030E-01 7.507118446E-09 1.000000000E+20 8.984240800E-01 1.634396291E-02 
0D10 32110 330.01 35.133 1.042575733E+00 6.709903259E-01 7.483037946E-09 1.000000000E+20 8.984865801E-01 1.562129170E-02 
0D11 32222 329.99 35.135 1.040137529E+00 6.797035040E-01 7.239600277E-09 1.000000000E+20 8.993699858E-01 9.205112213E-02 
0D12 32344 330.01 35.133 1.041093066E+00 6.731710650E-01 7.324950962E-09 1.000000000E+20 8.990943409E-01 4.576426195E-02 
0D13 32470 330.05 35.129 1.038361475E+00 6.988390970E-01 7.194174178E-09 1.000000000E+20 8.997230461E-01 2.210910430E-01 
0D14 32608 330.04 35.13 1.038579084E+00 6.897417336E-01 7.156876605E-09 1.000000000E+20 8.998420240E-01 1.580716044E-01 
0D15 32710 330.01 35.133 1.036824182E+00 7.066675360E-01 7.045104046E-09 1.000000000E+20 9.002030899E-01 1.756436476E-01 
0D16 32848 330.01 35.133 1.040788251E+00 6.821013709E-01 7.344771524E-09 1.000000000E+20 8.990174260E-01 1.182403718E-02 
0D17 32968 329.98 35.136 1.036970383E+00 7.058661432E-01 7.011766451E-09 1.000000000E+20 9.002510776E-01 1.541245452E-01 
0D18 33070 330.01 35.133 1.041205444E+00 6.693428366E-01 7.343225674E-09 1.000000000E+20 8.990234173E-01 9.224125663E-03 
0D19 33216 330.03 35.131 1.037109162E+00 7.088442708E-01 7.045871523E-09 1.000000000E+20 9.002579953E-01 3.153721065E-02 
0D20 33330 330.03 35.131 1.040463598E+00 6.972151255E-01 7.195008700E-09 1.000000000E+20 8.996617740E-01 1.398061474E-01 
0D21 33430 330.02 35.132 1.044478599E+00 6.846382050E-01 7.412021752E-09 1.000000000E+20 8.987869549E-01 4.679866402E-02 
0D22 33554 330.01 35.133 1.044205655E+00 6.912613071E-01 7.305324320E-09 1.000000000E+20 8.991707087E-01 1.954890589E-02 
0D23 33660 330.02 35.132 1.044633991E+00 7.074845256E-01 7.276134443E-09 1.000000000E+20 8.993136428E-01 1.890208244E-02 
0D24 33786 330.02 35.132 1.047207322E+00 6.701880543E-01 7.410590163E-09 1.000000000E+20 8.987924531E-01 2.764604350E-01 
0D25 33914 330.01 35.133 1.047557670E+00 6.777022210E-01 7.323137034E-09 1.000000000E+20 8.991013904E-01 2.398486649E-02 
0D26 34058 330.04 35.13 1.045958122E+00 7.183785614E-01 7.181713603E-09 1.000000000E+20 8.997434077E-01 2.946563053E-02 
0D27 34178 329.97 35.137 1.046321312E+00 7.039921088E-01 7.066082128E-09 1.000000000E+20 9.000024594E-01 3.734170498E-02 
0D28 34286 329.95 35.139 1.048621279E+00 6.870748531E-01 7.155829906E-09 1.000000000E+20 8.995852818E-01 6.717082854E-02 
0D29 34460 329.59 35.178 1.038574408E+00 1.064835611E+00 8.744477891E-09 1.000000000E+20 8.928422021E-01 3.521795371E-01 
0D30 34620 329.51 35.186 1.036228481E+00 1.063904043E+00 8.239112168E-09 1.000000000E+20 8.943035393E-01 7.370527245E-02 
0D31 34736 330.02 35.132 1.032438587E+00 1.042666548E+00 8.697623857E-09 1.000000000E+20 8.942341981E-01 9.081646258E-02 
0D32 34880 330.25 35.107 1.017692472E+00 1.129690126E+00 7.378485209E-09 1.000000000E+20 8.995822049E-01 4.035627497E-01 
0D33 34982 330.09 35.124 1.036206904E+00 9.991539677E-01 8.576181897E-09 1.000000000E+20 8.948362709E-01 6.900567017E-02 
0D34 35128 329.9 35.145 1.037523884E+00 9.931100325E-01 8.293855395E-09 1.000000000E+20 8.952408988E-01 5.677200875E-02 
0D35 35244 329.97 35.137 1.027832283E+00 1.042063740E+00 7.361185167E-09 1.000000000E+20 8.988380284E-01 2.334272899E-01 
0D36 35336 330.02 35.132 1.040057277E+00 9.396924842E-01 8.383996390E-09 1.000000000E+20 8.952795517E-01 2.445035150E-02 
0D37 35486 330.06 35.128 1.038673858E+00 9.267359252E-01 8.131880757E-09 1.000000000E+20 8.962641525E-01 6.696860079E-02 
0D38 35596 330.02 35.132 1.037964085E+00 9.544603762E-01 7.906715856E-09 1.000000000E+20 8.969479022E-01 7.340250420E-02 
0D39 35730 329.99 35.135 1.036801434E+00 9.370947918E-01 7.713447961E-09 1.000000000E+20 8.975655379E-01 6.446407671E-02 
0D40 35820 329.96 35.138 1.036882985E+00 9.427514084E-01 7.660933043E-09 1.000000000E+20 8.976731821E-01 6.930149770E-02 
0D41 35934 330 35.134 1.038812095E+00 8.916752863E-01 7.665765665E-09 1.000000000E+20 8.977709557E-01 8.185518766E-02 
0D42 36064 330.09 35.124 1.039440473E+00 8.834625868E-01 7.730816779E-09 1.000000000E+20 8.977907522E-01 6.863687391E-02 
0D43 36178 329.99 35.135 1.035452602E+00 9.456541475E-01 7.296256423E-09 1.000000000E+20 8.991481158E-01 8.770767874E-02 
0D44 36316 329.96 35.138 1.035432277E+00 9.151945386E-01 7.205532068E-09 1.000000000E+20 8.994172867E-01 1.045833402E-01 
0D45 36418 329.99 35.135 1.035735802E+00 8.848781597E-01 7.089214293E-09 1.000000000E+20 8.999674377E-01 1.050609561E-01 
0D46 36564 330.04 35.13 1.035154722E+00 8.845189872E-01 7.038935909E-09 1.000000000E+20 9.003150327E-01 1.609309590E-01 
0D47 36660 330.02 35.132 1.039290081E+00 8.467928978E-01 7.318286871E-09 1.000000000E+20 8.991492184E-01 3.762309390E-02 
0D48 36806 330.01 35.133 1.033116746E+00 8.771019683E-01 6.801704175E-09 1.000000000E+20 9.012038537E-01 1.527618208E-01 
0D49 36894 330.02 35.132 1.029925996E+00 8.650285448E-01 6.555811502E-09 1.000000000E+20 9.022809765E-01 4.411768684E-01 
0D50 37044 330.03 35.131 1.027612674E+00 9.353547481E-01 6.382355506E-09 1.000000000E+20 9.030733238E-01 4.628409850E-01 
0D51 37134 330.05 35.129 1.037153388E+00 8.256585638E-01 7.003355626E-09 1.000000000E+20 9.004882951E-01 6.796113755E-02 
0D52 37278 330.01 35.133 9.937309496E-01 1.144217407E+00 4.302769653E-09 1.000000000E+20 9.142376337E-01 5.202035732E-01 
0D53 37404 329.99 35.135 1.029246813E+00 8.760219821E-01 6.262546592E-09 1.000000000E+20 9.034963280E-01 3.156641204E-01 
0D54 37518 329.99 35.135 1.022867863E+00 9.057263994E-01 5.836057159E-09 1.000000000E+20 9.055037695E-01 3.226453824E-01 
0D55 37658 330.03 35.131 1.007378225E+00 9.837198777E-01 4.873887711E-09 1.000000000E+20 9.107488013E-01 5.477847613E-01 
0D56 37758 330.01 35.133 9.760483495E-01 1.205555139E+00 3.350344189E-09 1.000000000E+20 9.213590485E-01 7.891428184E-01 
0D57 37882 330.01 35.133 9.578069909E-01 1.283253471E+00 2.630452821E-09 1.000000000E+20 9.282445373E-01 7.177810499E-01 
0D58 37974 330 35.134 1.000386022E+00 9.908528228E-01 4.378831624E-09 1.000000000E+20 9.137094565E-01 5.317368132E-01 
0D59 38094 330.05 35.129 1.022865827E+00 8.903674533E-01 5.817450541E-09 1.000000000E+20 9.057696658E-01 4.849762838E-01 
0D60 38224 330.06 35.128 1.023117275E+00 8.909362360E-01 5.822851809E-09 1.000000000E+20 9.057724154E-01 5.035165239E-01 
0D61 38360 330 35.134 1.022159215E+00 9.112067890E-01 5.690680798E-09 1.000000000E+20 9.062509167E-01 5.063405070E-01 
0D62 38484 329.99 35.135 1.016345340E+00 8.873583394E-01 5.189921299E-09 1.000000000E+20 9.088433696E-01 2.999047627E-01 
0D63 38570 330 35.134 1.016145264E+00 9.036855571E-01 5.202215268E-09 1.000000000E+20 9.088052934E-01 5.078883118E-01 
0D64 38702 330.02 35.132 1.036173476E+00 7.811971789E-01 6.578209784E-09 1.000000000E+20 9.021838927E-01 3.080799267E-01 
0D65 38818 330.02 35.132 1.015612539E+00 9.185282164E-01 5.236541266E-09 1.000000000E+20 9.086766229E-01 6.043784185E-01 
0D66 38958 330.02 35.132 1.026923445E+00 8.085788652E-01 5.898783319E-09 1.000000000E+20 9.052869636E-01 5.114141190E-01 
0D67 39052 330.01 35.133 1.025842574E+00 8.595169800E-01 5.843210696E-09 1.000000000E+20 9.055272327E-01 3.102848649E-01 
0D68 39178 330.01 35.133 1.019667797E+00 8.766069765E-01 5.396019868E-09 1.000000000E+20 9.077934516E-01 3.059355367E-01 
0D69 39318 330.02 35.132 1.035884285E+00 7.823310188E-01 6.533944904E-09 1.000000000E+20 9.023760762E-01 1.273412816E-01 
0D70 39430 330.01 35.133 1.023048757E+00 8.739155067E-01 5.642433455E-09 1.000000000E+20 9.065224538E-01 5.034915318E-01 
0D71 39558 330.01 35.133 1.016627416E+00 8.965079295E-01 5.245400678E-09 1.000000000E+20 9.085992490E-01 4.947811968E-01 
0D72 39676 330.02 35.132 1.017743519E+00 8.976456007E-01 5.294958274E-09 1.000000000E+20 9.083608441E-01 4.871732112E-01 
0D73 39776 330.02 35.132 1.024056390E+00 8.407223006E-01 5.633014766E-09 1.000000000E+20 9.065992023E-01 4.882984775E-01 
0D74 39914 330.02 35.132 1.012731879E+00 9.201045249E-01 4.983929889E-09 1.000000000E+20 9.100839654E-01 4.683456041E-01 
0D75 40016 330 35.134 1.016189158E+00 9.117339198E-01 5.205693397E-09 1.000000000E+20 9.087862702E-01 4.886581355E-01 
0D76 40132 330.01 35.133 1.012958948E+00 8.998929033E-01 4.954707493E-09 1.000000000E+20 9.102220449E-01 4.646477734E-01 
0D77 40254 330.02 35.132 1.032649221E+00 7.848666191E-01 6.210310957E-09 1.000000000E+20 9.038220564E-01 4.657470562E-01 
0D78 40396 330.01 35.133 1.019461254E+00 8.853916339E-01 5.390331417E-09 1.000000000E+20 9.078234733E-01 4.747936078E-01 
0D79 40520 329.99 35.135 9.776359572E-01 1.062235901E+00 3.169342879E-09 1.000000000E+20 9.228804858E-01 8.041937427E-01 
0D80 40616 330 35.134 1.031924803E+00 7.898125324E-01 6.150471068E-09 1.000000000E+20 9.040394150E-01 4.554048769E-01 
0D81 40768 330.02 35.132 9.835652160E-01 1.105700149E+00 3.538320000E-09 1.000000000E+20 9.198348603E-01 6.631342381E-01 
0D82 40880 330.02 35.132 1.007274609E+00 9.316165550E-01 4.629351141E-09 1.000000000E+20 9.121846821E-01 5.728737534E-01 
0D83 40974 330.02 35.132 1.003177533E+00 9.458669798E-01 4.386766549E-09 1.000000000E+20 9.137167493E-01 5.230372073E-01 
0D84 41096 330 35.134 9.783554944E-01 1.138215595E+00 3.296642385E-09 1.000000000E+20 9.217893183E-01 7.531772933E-01 
0D85 41240 330.08 35.125 1.015274417E+00 8.764834308E-01 5.162612821E-09 1.000000000E+20 9.092569672E-01 5.568768551E-01 
0D86 41364 330.05 35.129 1.008633862E+00 8.985054535E-01 4.697533305E-09 1.000000000E+20 9.118565698E-01 5.259202585E-01 
0D87 41456 329.98 35.136 9.962537957E-01 9.712510606E-01 3.976206918E-09 1.000000000E+20 9.163957747E-01 5.043602547E-01 
0D88 41590 329.94 35.14 1.010893627E+00 9.525695634E-01 4.873787180E-09 1.000000000E+20 9.104855019E-01 5.120454937E-01 
0D89 41724 330.02 35.132 1.016911563E+00 8.758421544E-01 5.199368116E-09 1.000000000E+20 9.088794053E-01 4.728428063E-01 
0D90 41818 330.04 35.13 1.002447950E+00 9.616147439E-01 4.387156989E-09 1.000000000E+20 9.137730394E-01 5.822412292E-01 
0D91 41934 330.05 35.129 1.020603299E+00 8.696517764E-01 5.503547455E-09 1.000000000E+20 9.073486982E-01 5.793678065E-01 
0D92 42074 330 35.134 9.380669147E-01 1.363214243E+00 1.951513556E-09 1.000000000E+20 9.367121853E-01 7.209887263E-01 
0D93 42196 329.98 35.136 9.891657648E-01 1.020647420E+00 3.675840255E-09 1.000000000E+20 9.186312713E-01 3.931731677E-01 
0D94 42326 330 35.134 1.007665596E+00 9.552033772E-01 4.715867964E-09 1.000000000E+20 9.115989323E-01 6.134221011E-01 
0D95 42448 330.03 35.131 1.003431140E+00 9.734459996E-01 4.504799324E-09 1.000000000E+20 9.129903863E-01 5.376302892E-01 
0D96 42556 330.01 35.133 1.007488723E+00 9.265974151E-01 4.702415036E-09 1.000000000E+20 9.117095948E-01 4.680563781E-01 
0D97 42656 330.02 35.132 1.018723068E+00 8.705961875E-01 5.355895037E-09 1.000000000E+20 9.080351356E-01 5.139154749E-01 
0D98 42798 330.01 35.133 1.019338284E+00 8.643591464E-01 5.368781306E-09 1.000000000E+20 9.079374956E-01 5.949461133E-01 
0D99 42894 330 35.134 1.027257614E+00 8.239674438E-01 5.869594113E-09 1.000000000E+20 9.053698430E-01 3.209192345E-01 
D100 43056 330.02 35.132 1.019801020E+00 8.678104375E-01 5.398220845E-09 1.000000000E+20 9.078110768E-01 6.496225323E-01 
D101 43156 330 35.134 1.025534055E+00 8.343043922E-01 5.733530201E-09 1.000000000E+20 9.060374040E-01 5.717242090E-01 
D102 43258 329.96 35.138 1.023592574E+00 8.536742207E-01 5.614130941E-09 1.000000000E+20 9.065195919E-01 5.329334833E-01 
D103 43394 330.01 35.133 1.021290673E+00 8.137851371E-01 5.465357450E-09 1.000000000E+20 9.074300340E-01 3.125932369E-01 
D104 43528 330.06 35.128 1.033986869E+00 7.811093201E-01 6.364857831E-09 1.000000000E+20 9.032387425E-01 5.234948626E-01 
D105 43618 330 35.134 1.007278444E+00 9.821535993E-01 4.736430673E-09 1.000000000E+20 9.114750964E-01 4.787899371E-01 
D106 43738 329.97 35.137 1.022137604E+00 8.540019093E-01 5.484547208E-09 1.000000000E+20 9.072133939E-01 3.086335091E-01 
D107 43858 329.98 35.136 1.035231080E+00 7.612230219E-01 6.364971388E-09 1.000000000E+20 9.030055092E-01 3.101264546E-01 
D108 43978 329.01 35.24 1.025649584E+00 8.323288641E-01 4.961580265E-09 1.000000000E+20 9.072523063E-01 4.874589281E-01 
D109 44110 329.66 35.17 1.025771089E+00 8.320645211E-01 5.516976513E-09 1.000000000E+20 9.061400098E-01 5.078615232E-01 
D110 44232 330.27 35.105 1.028180410E+00 8.318570271E-01 6.159412935E-09 1.000000000E+20 9.047842936E-01 3.271437239E-01 
D111 44338 330.28 35.104 1.030103242E+00 7.956586228E-01 6.223321067E-09 1.000000000E+20 9.045193683E-01 5.254591266E-01 
D112 44462 330.02 35.132 1.026475624E+00 8.335977886E-01 5.783807166E-09 1.000000000E+20 9.058472525E-01 5.078952490E-01 
D113 44576 329.91 35.144 1.023603767E+00 8.210754301E-01 5.442894945E-09 1.000000000E+20 9.072550055E-01 4.816619611E-01 
D114 44716 329.96 35.138 1.023827835E+00 8.403932296E-01 5.557565437E-09 1.000000000E+20 9.068077870E-01 3.155401735E-01 
D115 44816 330.01 35.133 1.021931117E+00 8.575721885E-01 5.468394025E-09 1.000000000E+20 9.074142240E-01 4.869183799E-01 
D116 44962 330.02 35.132 1.023860991E+00 8.382415121E-01 5.596796427E-09 1.000000000E+20 9.067828083E-01 4.901827280E-01 
D117 45076 330.01 35.133 1.011804338E+00 8.443463455E-01 4.729890881E-09 1.000000000E+20 9.115437696E-01 4.738721230E-01 
D118 45200 330 35.134 1.013101873E+00 9.110330251E-01 4.924816574E-09 1.000000000E+20 9.103649678E-01 4.984188760E-01 
D119 45294 330 35.134 1.013176439E+00 9.930146293E-01 5.018014667E-09 1.000000000E+20 9.098313716E-01 5.867909846E-01 
D120 45442 330.01 35.133 1.022916208E+00 8.271773436E-01 5.442934269E-09 1.000000000E+20 9.075470533E-01 5.161875357E-01 
D121 45536 330.01 35.133 1.026929414E+00 8.003153907E-01 5.778130824E-09 1.000000000E+20 9.058460275E-01 5.111109239E-01 
D122 45660 330.01 35.133 1.028367448E+00 8.239459409E-01 5.888815010E-09 1.000000000E+20 9.053059481E-01 3.148512367E-01 
D123 45778 330.01 35.133 1.029414624E+00 8.154326821E-01 5.946929722E-09 1.000000000E+20 9.050264298E-01 3.291702138E-01 
D124 45894 330.01 35.133 1.035287016E+00 7.683555113E-01 6.333119713E-09 1.000000000E+20 9.032355752E-01 5.260596753E-01 
D125 46008 330.01 35.133 1.031095826E+00 7.983708729E-01 6.034800168E-09 1.000000000E+20 9.046089386E-01 3.191092134E-01 
D126 46140 330.01 35.133 1.034695851E+00 7.727395829E-01 6.260393996E-09 1.000000000E+20 9.035643224E-01 3.047976549E-01 
D127 46274 330.02 35.132 1.016011481E+00 8.623829797E-01 5.145607520E-09 1.000000000E+20 9.091752528E-01 4.793819404E-01 
D128 46394 330.01 35.133 1.000475597E+00 9.967533075E-01 4.245357215E-09 1.000000000E+20 9.146199807E-01 4.463309540E-01 
D129 46522 330.01 35.133 1.008093036E+00 9.124535489E-01 4.560501118E-09 1.000000000E+20 9.125818177E-01 4.609169013E-01 
D130 46616 330.02 35.132 1.004342864E+00 9.664327845E-01 4.452822967E-09 1.000000000E+20 9.132913269E-01 4.734889079E-01 
D131 46742 330.02 35.132 1.028425560E+00 8.053361025E-01 5.820172672E-09 1.000000000E+20 9.056688448E-01 3.137336226E-01 
D132 46854 330.02 35.132 9.991800621E-01 9.778613748E-01 4.193190518E-09 1.000000000E+20 9.150013541E-01 3.020403787E-01 
D133 46972 330.02 35.132 1.034314891E+00 7.833581006E-01 6.273765583E-09 1.000000000E+20 9.035326954E-01 5.223466568E-01 
D134 47118 330.01 35.133 1.035423405E+00 7.736036537E-01 6.349283520E-09 1.000000000E+20 9.031630216E-01 5.752402250E-02 
D135 47218 330.02 35.132 1.034236010E+00 7.806720355E-01 6.252558331E-09 1.000000000E+20 9.036290762E-01 3.243551764E-01 
D136 47338 330.01 35.133 1.021697256E+00 8.626647575E-01 5.431093267E-09 1.000000000E+20 9.076090422E-01 6.519112641E-01 
D137 47480 330.01 35.133 1.033290988E+00 7.817551921E-01 6.146085045E-09 1.000000000E+20 9.040888402E-01 3.548539477E-01 
D138 47572 330.01 35.133 1.030233713E+00 8.065014759E-01 5.967329769E-09 1.000000000E+20 9.049289576E-01 4.000486925E-01 
