T nFsrh nFBsrh dnsrh nF nFB dn
290 1.144305302E+00 1.122466529E+0 2.183877300E-02 1.144305302E+00 1.122466529E+0 2.183877300E-02
295 1.135419983E+00 1.120267458E+0 1.515252500E-02 1.135419983E+00 1.120267458E+0 1.515252500E-02
300 1.117794604E+00 1.113079419E+0 4.715185000E-03 1.117794604E+00 1.113079419E+0 4.715185000E-03
305 1.096657587E+00 1.098014684E+0 -1.357097000E-03 1.096657587E+00 1.098014684E+0 -1.357097000E-03
310 1.072684800E+00 1.074960476E+0 -2.275676000E-03 1.072684800E+00 1.074960476E+0 -2.275676000E-03
315 1.034212378E+00 1.049511790E+0 -1.529941200E-02 1.034212378E+00 1.049511790E+0 -1.529941200E-02
320 1.007955384E+00 1.028859700E+0 -2.090431600E-02 1.007955384E+00 1.028859700E+0 -2.090431600E-02
325 1.007187774E+00 1.015559019E+0 -8.371245000E-03 1.007187774E+00 1.015559019E+0 -8.371245000E-03
330 1.008148339E+00 1.008095496E+0 5.284300000E-05 1.008148339E+00 1.008095496E+0 5.284300000E-05
335 1.010342856E+00 1.004175760E+0 6.167096000E-03 1.010342856E+00 1.004175760E+0 6.167096000E-03
340 1.017780748E+00 1.002165594E+0 1.561515400E-02 1.017780748E+00 1.002165594E+0 1.561515400E-02
